Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
25,White,Male,never married,Not-in-family,United States,cleaning and maintenance sector,private sector employee,0,0,high school graduate,47,False
32,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector",private sector employee,0,0,associate's degree,40,False
34,Black,Female,married,Other-relative,Haiti,protective services sector,private sector employee,0,0,college for less than one year,25,False
71,White,Male,married,Husband,Cuba,protective services sector,private sector employee,0,0,finished 9th class,39,False
52,White,Male,married,Husband,United States,,,0,0,high school graduate,35,False
53,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,3137,0,college for less than one year,40,False
24,White,Female,divorced,Not-in-family,United States,sales sector,private sector employee,0,0,high school graduate,30,False
29,White,Female,never married,Not-in-family,United States,professional specialty,private sector employee,0,0,college for less than one year,40,False
30,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
34,White,Female,never married,Own-child,United States,professional specialty,private sector employee,0,0,bachelor's degree,15,False
47,White,Male,married,Husband,United States,protective services sector,local government,0,0,associate's degree,40,True
42,White,Male,married,Husband,Ecuador,professional specialty,private sector employee,0,0,master's degree,55,True
57,Black,Female,widowed,Not-in-family,United States,technology and support sector,private sector employee,0,0,high school graduate,54,False
18,White,Male,never married,Own-child,United States,service sector,private sector employee,0,0,college for less than one year,20,False
30,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,finished 11th class,40,False
31,White,Female,married,Wife,United States,service sector,private sector employee,0,0,college for less than one year,40,False
44,White,Male,married,Husband,United States,execution and management,"owner of a incorporated business, professional practice, or farm",0,0,bachelor's degree,60,True
25,White,Female,divorced,Own-child,United States,technology and support sector,private sector employee,0,1594,associate's degree,25,False
48,White,Female,divorced,Unmarried,United States,office and administrative support,private sector employee,0,0,associate's degree,40,False
90,White,Male,widowed,Not-in-family,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",1086,0,professional degree,60,False
39,White,Male,married,Husband,United States,professional specialty,local government,0,1977,master's degree,45,True
38,White,Male,married,Husband,United States,professional specialty,local government,0,0,college for less than one year,44,False
40,White,Female,never married,Not-in-family,United States,office and administrative support,federal government,0,0,college for less than one year,50,False
26,White,Female,never married,Unmarried,United States,,,0,0,college for less than one year,40,False
32,White,Male,never married,Own-child,United States,sales sector,private sector employee,0,1876,college for less than one year,60,False
41,White,Male,married,Husband,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",15024,0,professional degree,50,True
37,White,Male,married,Husband,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,high school graduate,40,False
44,Black,Male,married,Husband,United States,professional specialty,state government,7688,0,master's degree,40,True
40,White,Male,divorced,Not-in-family,United States,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
20,White,Female,never married,Own-child,United States,,,0,0,college for less than one year,8,False
35,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,bachelor's degree,40,False
29,White,Female,never married,Not-in-family,United States,technology and support sector,private sector employee,0,0,bachelor's degree,40,False
54,White,Female,divorced,Not-in-family,Germany,,,0,0,high school graduate,60,False
44,White,Female,divorced,Unmarried,United States,execution and management,private sector employee,0,0,college for less than one year,42,False
41,White,Male,divorced,Not-in-family,United States,craft and repair sector,"owner of a incorporated business, professional practice, or farm",0,0,high school graduate,55,False
44,White,Male,married,Husband,United States,execution and management,private sector employee,15024,0,bachelor's degree,48,True
37,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,finished 9th class,50,True
25,White,Male,divorced,Not-in-family,United States,service sector,private sector employee,0,0,high school graduate,50,False
42,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,bachelor's degree,40,False
44,White,Male,married,Husband,United States,execution and management,private sector employee,0,1977,associate's degree,50,True
30,White,Female,never married,Not-in-family,United States,office and administrative support,private sector employee,0,0,high school graduate,45,False
43,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector",private sector employee,0,0,bachelor's degree,50,True
49,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,finished 8th class,48,False
30,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,35,False
38,White,Female,never married,Not-in-family,United States,technology and support sector,private sector employee,2354,0,college for one or more years without a degree,40,False
28,,Male,separated,Not-in-family,United States,cleaning and maintenance sector,private sector employee,0,0,high school graduate,30,False
50,White,Male,married,Husband,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,master's degree,40,False
30,White,Male,married,Husband,United States,protective services sector,local government,0,0,college for one or more years without a degree,40,False
30,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,college for less than one year,30,False
23,White,Female,never married,Not-in-family,United States,service sector,private sector employee,0,0,finished 10th class,40,False
28,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,bachelor's degree,50,True
31,White,Female,never married,Not-in-family,United States,professional specialty,private sector employee,0,0,bachelor's degree,40,False
36,White,Male,never married,Unmarried,United States,professional specialty,local government,0,0,bachelor's degree,40,False
55,White,Female,divorced,Not-in-family,United States,sales sector,private sector employee,0,0,high school graduate,40,False
27,White,Male,never married,Own-child,United States,office and administrative support,private sector employee,0,0,master's degree,45,False
43,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,high school graduate,80,True
44,,Male,married,Husband,Puerto-Rico,craft and repair sector,private sector employee,0,0,high school graduate,40,False
