Buying price,Doors,Maintenance costs,Persons,Safety score,Trunk size,label
low,five or more,medium,four,low,medium,0
high,five or more,low,more than four,medium,medium,1
medium,two,very high,two,medium,medium,0
very high,five or more,very high,more than four,high,small,0
low,three,low,four,medium,medium,1
very high,four,medium,four,medium,medium,1
low,five or more,high,four,high,medium,3
high,five or more,high,more than four,high,big,1
very high,five or more,very high,two,medium,big,0
medium,three,very high,four,high,medium,1
high,two,low,four,high,medium,1
very high,four,low,two,medium,small,0
very high,two,very high,more than four,medium,small,0
low,two,medium,more than four,low,big,0
very high,two,low,two,high,medium,0
medium,four,medium,four,low,medium,0
very high,five or more,high,four,high,medium,0
high,five or more,high,four,low,big,0
very high,three,low,two,high,big,0
low,two,low,more than four,medium,small,0
very high,four,high,four,high,big,0
very high,five or more,very high,two,medium,medium,0
low,four,medium,more than four,medium,medium,2
very high,three,very high,more than four,medium,medium,0
low,two,medium,four,medium,medium,1
low,four,medium,four,medium,medium,2
very high,four,low,four,high,medium,1
very high,five or more,high,four,medium,medium,0
medium,two,medium,more than four,high,big,3
high,four,medium,two,medium,big,0
medium,two,medium,more than four,medium,big,1
very high,three,low,four,high,big,1
high,two,low,more than four,high,medium,1
medium,two,medium,four,medium,big,1
low,two,high,two,high,big,0
medium,three,medium,more than four,medium,medium,1
medium,three,medium,more than four,medium,small,1
medium,three,medium,more than four,medium,big,1
low,four,very high,two,high,big,0
low,three,low,four,medium,big,2
very high,four,medium,two,medium,small,0
low,three,high,four,medium,big,1
high,three,medium,more than four,high,big,1
very high,three,very high,four,high,big,0
very high,five or more,low,two,low,big,0
very high,five or more,high,four,medium,big,0
medium,four,medium,two,low,big,0
medium,two,high,four,medium,small,0
very high,three,medium,more than four,high,big,1
medium,three,low,four,low,medium,0
medium,five or more,very high,more than four,high,small,1
medium,two,high,more than four,medium,big,1
high,five or more,high,four,low,medium,0
medium,five or more,high,more than four,low,medium,0
medium,two,very high,four,high,small,1
low,four,low,more than four,low,big,0
high,five or more,very high,two,low,big,0
low,two,medium,more than four,medium,big,2
medium,two,low,two,medium,small,0
medium,four,medium,more than four,medium,big,1
low,four,very high,more than four,high,medium,1
high,three,low,four,high,small,1
high,five or more,very high,four,high,big,0
low,two,medium,more than four,medium,medium,1
medium,three,low,four,medium,big,2
medium,five or more,medium,two,medium,big,0
very high,four,very high,more than four,medium,medium,0
very high,four,high,two,low,small,0
low,two,high,four,low,big,0
low,three,low,more than four,high,medium,3
medium,five or more,medium,two,high,big,0
very high,five or more,very high,more than four,medium,big,0
medium,three,medium,more than four,low,big,0
very high,five or more,high,four,low,small,0
low,four,high,two,medium,medium,0
low,five or more,high,four,medium,medium,1
very high,two,medium,more than four,high,small,0
medium,five or more,very high,four,high,big,1
high,five or more,medium,two,low,medium,0
medium,three,very high,two,high,small,0
high,two,low,two,low,big,0
low,two,low,two,high,big,0
medium,three,very high,two,medium,small,0
medium,four,low,more than four,high,big,3
high,three,very high,four,high,medium,0
high,three,medium,four,medium,medium,0
very high,four,very high,more than four,low,small,0
medium,four,very high,four,low,small,0
low,three,medium,two,low,medium,0
very high,four,medium,four,low,small,0
low,two,low,more than four,low,medium,0
high,three,medium,two,high,small,0
very high,two,medium,two,high,big,0
very high,four,high,two,low,big,0
low,two,high,four,low,medium,0
low,three,very high,four,low,medium,0
medium,five or more,medium,four,low,medium,0
very high,four,low,more than four,low,big,0
very high,four,very high,more than four,high,medium,0
medium,five or more,very high,four,medium,big,1
low,three,medium,two,high,medium,0
medium,five or more,low,more than four,low,medium,0
high,five or more,low,four,high,medium,1
low,two,medium,more than four,high,small,0
medium,three,medium,four,low,medium,0
medium,five or more,high,more than four,low,small,0
very high,three,low,two,high,medium,0
low,five or more,low,more than four,low,medium,0
high,three,medium,two,low,medium,0
medium,four,very high,more than four,high,big,1
very high,five or more,high,more than four,high,big,0
medium,two,medium,four,high,small,1
high,three,high,two,medium,big,0
low,four,high,four,high,small,1
medium,three,very high,two,high,big,0
low,three,medium,two,medium,medium,0
low,four,low,four,low,medium,0
high,four,low,more than four,high,small,1
low,three,high,four,low,small,0
very high,two,medium,more than four,low,medium,0
medium,four,low,more than four,high,small,2
medium,two,medium,four,medium,small,1
medium,five or more,low,four,low,small,0
high,two,medium,more than four,medium,big,1
high,two,high,two,low,big,0
medium,five or more,medium,four,medium,big,1
very high,two,low,two,low,small,0
medium,five or more,high,two,medium,big,0
