Buying price,Doors,Maintenance costs,Persons,Safety score,Trunk size,label
medium,five or more,medium,more than four,high,medium,3
low,four,low,two,low,medium,0
medium,five or more,low,two,high,small,0
very high,two,low,two,medium,medium,0
low,five or more,medium,two,low,medium,0
medium,five or more,low,more than four,low,small,0
low,four,medium,more than four,medium,medium,2
medium,four,low,two,high,medium,0
high,two,low,two,low,small,0
medium,four,high,four,high,medium,1
medium,two,medium,more than four,high,big,3
medium,five or more,very high,two,medium,medium,0
medium,three,high,two,low,medium,0
low,two,very high,more than four,medium,small,0
high,four,very high,four,high,small,0
medium,two,very high,four,high,big,1
very high,two,low,two,low,big,0
high,two,high,more than four,high,big,1
high,three,high,four,low,big,0
medium,three,low,four,low,small,0
medium,two,low,two,medium,small,0
very high,five or more,high,more than four,low,big,0
high,five or more,very high,two,high,big,0
low,two,very high,two,high,small,0
very high,three,very high,four,low,medium,0
low,two,very high,four,medium,small,0
high,three,high,more than four,medium,small,0
high,five or more,very high,two,high,medium,0
high,four,very high,four,low,big,0
high,two,very high,more than four,high,big,0
low,three,high,four,low,small,0
low,two,very high,four,low,medium,0
