Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
54,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,college for less than one year,40,False
52,White,Male,married,Husband,United States,execution and management,"owner of a incorporated business, professional practice, or farm",0,0,bachelor's degree,60,False
39,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,college for less than one year,40,True
47,White,Female,never married,Not-in-family,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,True
58,White,Male,divorced,Not-in-family,United States,execution and management,"owner of a non-incorporated business, professional practice, or farm",0,0,high school graduate,70,False
34,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,high school graduate,45,True
36,White,Female,divorced,Unmarried,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
50,White,Male,married,Husband,Italy,execution and management,"owner of a non-incorporated business, professional practice, or farm",0,0,bachelor's degree,40,True
38,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,bachelor's degree,55,True
21,White,Female,never married,Own-child,United States,service sector,private sector employee,0,0,college for less than one year,40,False
23,,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,finished 9th class,55,False
54,White,Female,divorced,Not-in-family,United States,office and administrative support,private sector employee,0,0,college for less than one year,37,False
47,White,Male,married,Husband,United States,professional specialty,private sector employee,5013,0,high school graduate,24,False
38,White,Male,married,Husband,United States,"transportation, communication, and other public utilities sector",private sector employee,7298,0,college for less than one year,60,True
52,White,Male,never married,Unmarried,United States,cleaning and maintenance sector,private sector employee,0,0,high school graduate,40,False
35,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,master's degree,45,True
55,White,Male,married,Husband,United States,service sector,private sector employee,0,0,high school graduate,15,False
48,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,college for one or more years without a degree,40,True
33,White,Male,married,Husband,United States,service sector,state government,0,0,finished 10th class,40,False
30,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,college for less than one year,40,False
37,White,Female,divorced,Own-child,United States,sales sector,"owner of a non-incorporated business, professional practice, or farm",0,0,high school graduate,40,False
37,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,high school graduate,55,False
42,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,high school graduate,99,True
39,White,Male,married,Husband,United States,professional specialty,local government,0,1977,master's degree,45,True
30,White,Male,never married,Other-relative,Mexico,craft and repair sector,private sector employee,0,0,college for less than one year,40,False
26,White,Male,never married,Not-in-family,United States,professional specialty,private sector employee,0,0,bachelor's degree,50,False
54,White,Female,never married,Not-in-family,United States,,,0,0,finished 8th class,25,False
19,White,Female,married,Own-child,United States,,,0,0,high school graduate,20,False
49,White,Male,married,Other-relative,Italy,service sector,local government,0,0,high school graduate,40,False
42,White,Female,divorced,Not-in-family,United States,service sector,private sector employee,0,0,high school graduate,25,False
51,White,Female,widowed,Not-in-family,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,False
42,White,Male,separated,Unmarried,United States,,,0,0,high school graduate,40,False
47,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector",private sector employee,0,0,bachelor's degree,65,False
34,White,Male,divorced,Not-in-family,United States,craft and repair sector,private sector employee,0,0,finished 9th class,40,False
23,White,Female,never married,Own-child,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
30,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,college for less than one year,55,False
52,White,Male,married,Husband,United States,protective services sector,state government,0,0,high school graduate,40,True
48,White,Male,married,Husband,United States,sales sector,private sector employee,0,2415,bachelor's degree,50,True
66,White,Female,widowed,Not-in-family,United States,execution and management,private sector employee,0,0,high school graduate,25,False
37,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,college for less than one year,48,True
21,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
35,White,Female,never married,Unmarried,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
34,White,Male,married,Husband,United States,service sector,private sector employee,0,0,high school graduate,20,False
21,White,Female,never married,Not-in-family,United States,service sector,state government,0,0,college for less than one year,35,False
38,White,Female,never married,Not-in-family,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,professional degree,32,False
40,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,False
21,White,Male,never married,Unmarried,United States,craft and repair sector,private sector employee,0,0,high school graduate,50,False
43,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,college for less than one year,40,False
32,White,Male,never married,Not-in-family,United States,machine operator and inspector,private sector employee,0,0,high school graduate,45,False
45,White,Male,divorced,Not-in-family,United States,sales sector,private sector employee,99999,0,doctoral degree,55,True
37,White,Male,married,Husband,Mexico,machine operator and inspector,private sector employee,0,0,finished 10th class,40,False
32,White,Male,never married,Own-child,United States,sales sector,private sector employee,13550,0,bachelor's degree,35,True
42,Black,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,True
27,White,Female,never married,Own-child,United States,sales sector,private sector employee,0,0,bachelor's degree,40,False
31,Black,Female,married,Wife,United States,sales sector,private sector employee,0,0,college for less than one year,40,False
51,White,Male,married,Husband,Mexico,professional specialty,local government,0,0,master's degree,40,True
44,White,Male,divorced,Not-in-family,United States,service sector,private sector employee,0,0,high school graduate,37,False
30,Black,Female,married,Wife,United States,,never worked,0,0,high school graduate,40,False
26,Asian-Pac-Islander,Male,never married,Not-in-family,South,sales sector,private sector employee,0,0,bachelor's degree,20,False
46,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,True
41,Black,Female,divorced,Not-in-family,United States,machine operator and inspector,private sector employee,0,0,finished 12th class without diploma,40,False
34,White,Female,never married,Unmarried,United States,office and administrative support,private sector employee,0,0,college for less than one year,38,False
51,Black,Male,married,Husband,United States,protective services sector,"owner of a incorporated business, professional practice, or farm",0,0,bachelor's degree,40,True
37,White,Male,never married,Not-in-family,United States,office and administrative support,federal government,0,0,high school graduate,40,True
29,Asian-Pac-Islander,Male,never married,Own-child,Philippines,professional specialty,private sector employee,0,0,bachelor's degree,64,True
68,White,Male,married,Husband,United States,office and administrative support,private sector employee,3818,0,high school graduate,40,False
39,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,False
32,White,Female,never married,Not-in-family,United States,craft and repair sector,private sector employee,0,0,college for less than one year,40,False
51,White,Male,married,Husband,,execution and management,private sector employee,99999,0,master's degree,50,True
34,White,Female,never married,Not-in-family,United States,office and administrative support,private sector employee,4416,0,finished 11th class,30,False
57,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,bachelor's degree,55,True
18,White,Female,never married,Own-child,United States,professional specialty,private sector employee,0,0,college for less than one year,40,False
44,White,Female,divorced,Not-in-family,United States,professional specialty,state government,0,1092,doctoral degree,40,False
76,White,Female,never married,Other-relative,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
65,White,Male,married,Husband,United States,sales sector,"owner of a non-incorporated business, professional practice, or farm",10605,0,master's degree,44,True
43,White,Female,divorced,Unmarried,United States,office and administrative support,private sector employee,0,0,high school graduate,58,False
31,White,Female,married,Wife,United States,office and administrative support,private sector employee,0,0,bachelor's degree,40,False
42,White,Male,divorced,Unmarried,United States,craft and repair sector,"owner of a non-incorporated business, professional practice, or farm",0,0,college for less than one year,55,False
42,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,bachelor's degree,65,False
30,Black,Male,never married,Not-in-family,United States,professional specialty,private sector employee,0,0,bachelor's degree,40,False
20,White,Male,never married,Own-child,United States,office and administrative support,private sector employee,0,0,college for less than one year,28,False
30,White,Female,separated,Unmarried,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
50,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,finished 10th class,40,True
45,White,Male,never married,Not-in-family,United States,craft and repair sector,private sector employee,0,0,college for less than one year,50,False
43,White,Female,married,Wife,United States,office and administrative support,federal government,0,0,high school graduate,40,True
32,White,Female,married,Wife,United States,execution and management,private sector employee,0,1485,associate's degree,40,True
45,White,Male,divorced,Not-in-family,United States,craft and repair sector,private sector employee,0,0,college for less than one year,50,False
32,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,high school graduate,40,False
