Buying price,Doors,Maintenance costs,Persons,Safety score,Trunk size,label
low,two,high,more than four,medium,big,1
very high,four,very high,four,medium,small,0
medium,three,very high,more than four,low,big,0
medium,four,low,four,low,medium,0
low,four,low,two,low,big,0
low,five or more,low,more than four,high,medium,3
very high,two,very high,two,high,medium,0
high,two,high,two,medium,medium,0
medium,two,low,more than four,low,small,0
medium,three,high,two,high,small,0
medium,four,low,more than four,low,medium,0
low,three,high,two,medium,big,0
very high,four,very high,more than four,high,big,0
medium,four,medium,two,low,small,0
low,five or more,low,four,high,small,2
very high,three,medium,four,low,big,0
medium,three,very high,two,medium,small,0
very high,four,high,more than four,medium,big,0
medium,five or more,medium,more than four,low,big,0
medium,four,low,two,medium,medium,0
low,five or more,high,two,high,big,0
low,four,medium,two,low,medium,0
medium,four,low,two,low,small,0
low,four,very high,four,low,small,0
high,four,very high,more than four,high,small,0
medium,two,very high,more than four,high,small,0
low,three,low,more than four,medium,small,1
high,two,low,two,high,small,0
low,five or more,high,more than four,high,medium,3
medium,three,very high,two,high,big,0
low,five or more,low,more than four,high,big,3
medium,four,high,four,high,big,1
low,three,very high,two,high,medium,0
very high,four,high,four,medium,small,0
medium,two,high,four,medium,medium,0
medium,five or more,high,two,high,medium,0
low,three,low,more than four,high,big,3
high,three,high,two,high,small,0
low,four,very high,more than four,low,medium,0
medium,four,very high,two,medium,medium,0
medium,four,high,two,medium,big,0
medium,five or more,medium,two,medium,big,0
low,five or more,high,two,high,small,0
very high,five or more,medium,four,high,medium,1
very high,five or more,low,four,low,big,0
medium,four,low,four,high,big,3
medium,five or more,low,two,medium,small,0
very high,two,very high,two,high,small,0
high,two,high,two,high,big,0
medium,three,medium,two,medium,small,0
low,two,medium,more than four,high,medium,2
low,five or more,very high,four,high,small,1
medium,five or more,very high,two,high,big,0
very high,two,very high,four,medium,big,0
high,two,low,more than four,high,big,1
medium,three,very high,more than four,medium,big,1
medium,two,medium,more than four,high,big,3
medium,three,very high,more than four,high,big,1
very high,four,very high,four,high,medium,0
medium,four,low,two,high,small,0
medium,two,very high,four,low,medium,0
high,five or more,high,two,low,big,0
high,five or more,high,more than four,low,big,0
high,four,high,four,low,medium,0
