buying,doors,maint,persons,safety_dict,lug_boot,label
high,2,med,more,high,small,0
low,3,med,more,low,med,0
med,4,low,4,med,small,1
vhigh,5more,vhigh,2,high,small,0
high,3,low,more,low,small,0
high,5more,vhigh,2,high,big,0
high,4,med,2,low,med,0
med,5more,low,2,med,med,0
vhigh,5more,vhigh,more,high,big,0
vhigh,3,low,2,low,big,0
high,4,vhigh,2,low,med,0
med,4,vhigh,more,low,small,0
vhigh,4,low,more,med,small,0
low,3,vhigh,more,med,med,1
high,5more,med,4,high,big,1
vhigh,2,med,2,high,small,0
low,5more,vhigh,more,med,small,0
high,3,high,more,high,med,1
high,3,vhigh,more,low,small,0
low,5more,vhigh,4,high,big,1
high,3,low,4,low,med,0
low,3,high,4,med,small,1
high,4,high,4,med,med,1
low,3,low,4,low,big,0
med,3,vhigh,4,med,med,0
vhigh,4,med,4,med,small,0
low,4,med,more,high,big,3
high,5more,vhigh,4,high,big,0
high,4,low,more,high,small,1
med,4,low,4,med,med,2
med,3,med,2,high,big,0
med,5more,med,4,med,big,1
