Buying price,Doors,Maintenance costs,Persons,Safety score,Trunk size,label
high,two,medium,more than four,high,small,0
low,three,medium,more than four,low,medium,0
medium,four,low,four,medium,small,1
very high,five or more,very high,two,high,small,0
high,three,low,more than four,low,small,0
high,five or more,very high,two,high,big,0
high,four,medium,two,low,medium,0
medium,five or more,low,two,medium,medium,0
very high,five or more,very high,more than four,high,big,0
very high,three,low,two,low,big,0
high,four,very high,two,low,medium,0
medium,four,very high,more than four,low,small,0
very high,four,low,more than four,medium,small,0
low,three,very high,more than four,medium,medium,1
high,five or more,medium,four,high,big,1
very high,two,medium,two,high,small,0
low,five or more,very high,more than four,medium,small,0
high,three,high,more than four,high,medium,1
high,three,very high,more than four,low,small,0
low,five or more,very high,four,high,big,1
high,three,low,four,low,medium,0
low,three,high,four,medium,small,1
high,four,high,four,medium,medium,1
low,three,low,four,low,big,0
medium,three,very high,four,medium,medium,0
very high,four,medium,four,medium,small,0
low,four,medium,more than four,high,big,3
high,five or more,very high,four,high,big,0
high,four,low,more than four,high,small,1
medium,four,low,four,medium,medium,2
medium,three,medium,two,high,big,0
medium,five or more,medium,four,medium,big,1
