age,type of job,marital status,education,has credit in default?,"average yearly balance, in euros",has housing loan?,has personal loan?,contact communication type,last contact day of the month,last contact month of year,"last contact duration, in seconds",number of contacts performed during this campaign and for this client,number of days that passed by after the client was last contacted from a previous campaign,number of contacts performed before this campaign and for this client,outcome of the previous marketing campaign,label
40,self-employed,married,tertiary,no,13669,no,no,cellular,15,oct,138,1,136,8,other,False
52,retired,married,secondary,no,5423,no,yes,cellular,17,nov,93,1,115,1,failure,False
30,management,married,tertiary,no,739,no,no,cellular,17,mar,163,2,client was not previously contacted,0,unknown,False
58,retired,married,primary,no,0,no,no,cellular,4,aug,506,1,client was not previously contacted,0,unknown,False
43,services,divorced,secondary,no,130,yes,no,unknown,8,may,193,1,client was not previously contacted,0,unknown,False
35,management,single,tertiary,no,304,yes,no,cellular,19,nov,274,2,client was not previously contacted,0,unknown,False
33,management,single,tertiary,no,1724,no,no,cellular,3,feb,252,6,client was not previously contacted,0,unknown,False
34,services,single,secondary,no,1239,yes,no,unknown,23,may,164,1,client was not previously contacted,0,unknown,False
45,management,divorced,tertiary,no,2307,no,no,cellular,14,aug,126,3,client was not previously contacted,0,unknown,False
27,services,single,secondary,no,194,yes,no,unknown,16,may,326,1,client was not previously contacted,0,unknown,False
47,services,married,secondary,no,223,no,no,cellular,15,may,133,2,client was not previously contacted,0,unknown,False
27,management,single,tertiary,no,948,yes,no,cellular,12,mar,121,2,207,1,failure,False
40,entrepreneur,divorced,tertiary,no,224,no,no,unknown,20,jun,606,1,client was not previously contacted,0,unknown,False
58,technician,married,secondary,no,86,no,no,cellular,30,jul,95,3,client was not previously contacted,0,unknown,False
46,technician,divorced,secondary,no,111,yes,no,cellular,19,nov,178,3,183,2,other,False
58,blue-collar,single,primary,no,26,yes,no,cellular,12,may,600,4,client was not previously contacted,0,unknown,False
43,blue-collar,married,secondary,no,500,yes,no,cellular,14,jul,324,2,client was not previously contacted,0,unknown,False
