age,type of job,marital status,education,has credit in default?,"average yearly balance, in euros",has housing loan?,has personal loan?,contact communication type,last contact day of the month,last contact month of year,"last contact duration, in seconds",number of contacts performed during this campaign and for this client,number of days that passed by after the client was last contacted from a previous campaign,number of contacts performed before this campaign and for this client,outcome of the previous marketing campaign,label
34,blue-collar,single,primary,no,359,yes,no,unknown,9,may,154,3,client was not previously contacted,0,unknown,False
51,services,married,secondary,no,657,no,no,cellular,3,apr,66,2,client was not previously contacted,0,unknown,False
28,self-employed,married,tertiary,no,0,yes,no,unknown,9,jul,139,1,client was not previously contacted,0,unknown,False
44,management,married,tertiary,no,0,no,yes,cellular,29,jul,129,6,client was not previously contacted,0,unknown,False
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,client was not previously contacted,0,unknown,False
43,management,married,primary,no,1880,yes,no,cellular,17,jul,63,6,client was not previously contacted,0,unknown,False
42,self-employed,married,tertiary,no,10072,no,no,cellular,16,nov,137,3,208,1,failure,False
42,blue-collar,married,secondary,no,-274,yes,no,cellular,10,jul,75,1,client was not previously contacted,0,unknown,False
42,housemaid,married,secondary,no,327,no,no,cellular,14,aug,110,1,client was not previously contacted,0,unknown,False
45,blue-collar,married,primary,no,302,yes,no,telephone,15,may,258,3,client was not previously contacted,0,unknown,False
30,management,single,tertiary,no,7845,yes,no,unknown,3,jun,59,1,client was not previously contacted,0,unknown,False
36,technician,single,secondary,no,524,yes,no,cellular,8,apr,95,1,client was not previously contacted,0,unknown,False
39,services,married,secondary,no,3870,yes,no,cellular,20,apr,72,1,client was not previously contacted,0,unknown,False
31,management,married,tertiary,no,392,no,no,cellular,26,aug,119,3,client was not previously contacted,0,unknown,False
55,blue-collar,married,primary,no,761,no,no,unknown,18,jun,67,1,client was not previously contacted,0,unknown,False
26,blue-collar,married,primary,no,0,yes,no,unknown,21,may,425,1,client was not previously contacted,0,unknown,False
45,blue-collar,married,secondary,no,-258,yes,no,telephone,20,apr,384,5,client was not previously contacted,0,unknown,False
49,entrepreneur,married,tertiary,no,388,yes,no,unknown,16,jun,142,2,client was not previously contacted,0,unknown,False
21,student,single,secondary,no,6,no,no,unknown,9,may,622,1,client was not previously contacted,0,unknown,False
60,retired,married,primary,no,414,no,no,unknown,8,may,395,1,client was not previously contacted,0,unknown,False
38,services,married,secondary,no,507,yes,no,cellular,17,apr,55,1,344,1,failure,False
86,retired,single,secondary,no,614,no,no,telephone,9,dec,595,1,client was not previously contacted,0,unknown,True
57,technician,single,tertiary,no,711,no,no,unknown,25,jun,411,1,client was not previously contacted,0,unknown,False
37,entrepreneur,married,tertiary,no,836,yes,no,unknown,27,may,129,2,client was not previously contacted,0,unknown,False
37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,3,client was not previously contacted,0,unknown,True
32,blue-collar,married,secondary,no,23,yes,no,unknown,16,may,77,1,client was not previously contacted,0,unknown,False
34,management,single,tertiary,no,549,no,no,cellular,6,oct,1246,2,client was not previously contacted,0,unknown,True
46,blue-collar,married,secondary,no,6253,yes,no,cellular,9,jul,411,1,client was not previously contacted,0,unknown,False
52,admin.,married,secondary,no,190,no,no,cellular,27,aug,276,3,client was not previously contacted,0,unknown,False
34,management,married,tertiary,no,2287,yes,no,unknown,26,may,895,4,client was not previously contacted,0,unknown,True
39,blue-collar,divorced,secondary,no,150,no,no,cellular,29,jul,735,4,client was not previously contacted,0,unknown,False
31,services,married,secondary,no,525,yes,yes,unknown,21,may,159,1,client was not previously contacted,0,unknown,False
44,services,divorced,secondary,no,0,no,yes,cellular,17,jul,275,17,client was not previously contacted,0,unknown,False
35,blue-collar,married,secondary,no,229,no,no,unknown,26,may,435,3,client was not previously contacted,0,unknown,False
55,blue-collar,married,secondary,no,660,no,no,unknown,5,jun,348,1,client was not previously contacted,0,unknown,False
50,housemaid,married,primary,no,85,no,no,cellular,21,nov,714,1,client was not previously contacted,0,unknown,False
25,management,single,tertiary,no,4578,no,no,cellular,2,jun,100,1,client was not previously contacted,0,unknown,False
36,self-employed,married,primary,no,0,no,no,cellular,29,aug,97,2,client was not previously contacted,0,unknown,False
41,technician,married,tertiary,no,177,yes,no,telephone,11,jul,117,2,client was not previously contacted,0,unknown,False
29,admin.,married,secondary,no,252,yes,no,cellular,15,may,1223,3,371,1,failure,False
58,blue-collar,married,primary,no,1357,yes,no,unknown,13,may,150,2,client was not previously contacted,0,unknown,False
30,blue-collar,married,primary,no,1023,yes,no,unknown,21,may,168,3,client was not previously contacted,0,unknown,False
48,technician,married,primary,no,4656,no,no,cellular,17,nov,44,1,client was not previously contacted,0,unknown,False
46,blue-collar,married,primary,no,346,yes,no,unknown,15,may,402,1,client was not previously contacted,0,unknown,False
39,blue-collar,married,primary,no,1387,no,no,unknown,9,jun,52,3,client was not previously contacted,0,unknown,False
52,management,married,secondary,no,0,no,no,cellular,30,jul,249,3,client was not previously contacted,0,unknown,False
42,blue-collar,married,secondary,no,366,yes,no,cellular,5,feb,150,1,client was not previously contacted,0,unknown,False
27,services,single,secondary,no,9636,yes,no,unknown,28,may,184,2,client was not previously contacted,0,unknown,False
33,services,married,secondary,no,22,yes,no,unknown,5,may,71,1,client was not previously contacted,0,unknown,False
26,technician,single,secondary,no,252,no,no,cellular,29,jan,706,2,client was not previously contacted,0,unknown,False
41,management,married,tertiary,no,0,no,yes,cellular,9,jul,55,1,client was not previously contacted,0,unknown,False
41,blue-collar,single,unknown,no,387,no,no,unknown,20,jun,114,10,client was not previously contacted,0,unknown,False
43,management,single,tertiary,no,1304,no,no,cellular,6,aug,501,2,client was not previously contacted,0,unknown,True
47,blue-collar,married,secondary,no,4840,no,no,unknown,16,jun,53,1,client was not previously contacted,0,unknown,False
36,blue-collar,married,primary,no,650,yes,no,unknown,12,may,170,2,client was not previously contacted,0,unknown,False
29,entrepreneur,married,secondary,no,65,yes,no,cellular,28,jul,19,14,client was not previously contacted,0,unknown,False
52,management,married,tertiary,no,751,no,no,cellular,14,may,165,4,371,5,failure,False
52,management,single,tertiary,no,2290,no,no,cellular,30,apr,195,2,268,2,other,False
23,technician,single,secondary,no,4545,no,no,cellular,3,jun,200,1,client was not previously contacted,0,unknown,False
27,blue-collar,married,secondary,no,1,yes,no,cellular,17,jul,259,1,client was not previously contacted,0,unknown,False
35,management,married,tertiary,no,739,yes,no,telephone,12,may,13,7,172,4,other,False
40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,558,5,client was not previously contacted,0,unknown,False
39,services,divorced,secondary,no,-152,yes,no,cellular,3,apr,179,3,client was not previously contacted,0,unknown,False
27,management,single,secondary,no,145,yes,no,cellular,5,feb,67,3,client was not previously contacted,0,unknown,False
42,services,married,secondary,no,0,no,no,unknown,18,jun,118,6,client was not previously contacted,0,unknown,False
56,admin.,married,secondary,no,550,yes,no,cellular,12,may,398,2,client was not previously contacted,0,unknown,False
44,blue-collar,married,primary,no,2,no,yes,telephone,7,jul,46,2,client was not previously contacted,0,unknown,False
41,blue-collar,married,secondary,no,4900,yes,no,telephone,31,jul,121,2,client was not previously contacted,0,unknown,False
29,blue-collar,married,secondary,no,76,yes,no,cellular,6,feb,198,3,client was not previously contacted,0,unknown,False
42,technician,married,secondary,no,297,no,no,unknown,20,jun,65,1,client was not previously contacted,0,unknown,False
56,unknown,married,unknown,no,33,no,no,telephone,31,jul,26,15,client was not previously contacted,0,unknown,False
54,blue-collar,married,secondary,yes,381,yes,yes,telephone,16,jul,198,1,client was not previously contacted,0,unknown,False
31,self-employed,single,secondary,no,202,yes,no,cellular,18,nov,216,1,client was not previously contacted,0,unknown,False
56,blue-collar,divorced,secondary,no,9898,yes,no,cellular,21,nov,147,3,client was not previously contacted,0,unknown,False
60,retired,married,primary,no,6307,yes,no,unknown,11,jun,362,1,client was not previously contacted,0,unknown,False
30,management,married,tertiary,no,101,yes,no,cellular,17,nov,348,1,123,1,failure,False
26,admin.,single,secondary,no,321,yes,no,cellular,22,jul,242,7,client was not previously contacted,0,unknown,False
50,services,married,secondary,no,1683,no,no,telephone,9,jul,56,1,client was not previously contacted,0,unknown,False
24,student,single,secondary,no,745,yes,no,telephone,8,apr,93,2,client was not previously contacted,0,unknown,False
53,admin.,married,tertiary,no,944,yes,no,cellular,24,feb,128,1,client was not previously contacted,0,unknown,False
31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,2,client was not previously contacted,0,unknown,True
41,management,married,tertiary,no,1254,no,no,cellular,4,aug,272,1,client was not previously contacted,0,unknown,False
42,admin.,married,unknown,no,642,yes,yes,unknown,16,may,509,2,client was not previously contacted,0,unknown,False
40,blue-collar,married,secondary,no,1245,yes,no,unknown,9,may,306,1,client was not previously contacted,0,unknown,False
60,housemaid,married,unknown,no,15681,no,no,cellular,30,jul,140,3,client was not previously contacted,0,unknown,False
48,self-employed,married,primary,no,1204,yes,no,unknown,19,jun,53,1,client was not previously contacted,0,unknown,False
30,technician,single,secondary,no,151,no,no,cellular,3,feb,276,2,client was not previously contacted,0,unknown,False
62,retired,married,tertiary,no,4692,yes,no,cellular,15,oct,73,1,client was not previously contacted,0,unknown,False
32,blue-collar,single,secondary,no,395,yes,yes,cellular,20,apr,339,1,client was not previously contacted,0,unknown,False
36,management,married,tertiary,no,-1629,yes,yes,cellular,28,jul,337,2,client was not previously contacted,0,unknown,False
35,blue-collar,married,secondary,no,328,yes,no,cellular,13,may,484,3,364,1,other,False
55,retired,married,secondary,no,393,no,yes,cellular,25,may,176,1,client was not previously contacted,0,unknown,False
45,management,married,secondary,no,672,yes,no,telephone,28,jan,227,3,187,1,other,False
50,technician,divorced,secondary,no,-556,yes,yes,cellular,22,jul,270,2,client was not previously contacted,0,unknown,False
26,blue-collar,married,secondary,no,0,yes,no,cellular,6,may,320,3,client was not previously contacted,0,unknown,False
38,technician,married,secondary,no,1063,yes,no,cellular,21,nov,51,5,113,2,failure,False
57,technician,married,tertiary,no,0,no,no,cellular,21,aug,242,5,client was not previously contacted,0,unknown,False
44,services,married,primary,no,764,no,no,cellular,3,feb,224,1,client was not previously contacted,0,unknown,False
44,blue-collar,married,secondary,no,233,no,yes,cellular,9,jul,150,3,client was not previously contacted,0,unknown,False
32,technician,single,secondary,no,562,yes,no,unknown,30,may,722,3,client was not previously contacted,0,unknown,True
54,retired,single,secondary,no,515,yes,no,cellular,6,feb,115,2,234,1,failure,False
42,technician,married,secondary,no,1355,no,no,cellular,13,aug,113,6,client was not previously contacted,0,unknown,False
49,blue-collar,married,secondary,no,2015,yes,no,cellular,16,apr,449,2,client was not previously contacted,0,unknown,False
35,services,married,secondary,no,372,yes,no,cellular,17,apr,202,2,280,1,failure,False
30,management,married,tertiary,no,131,yes,no,cellular,11,aug,384,6,client was not previously contacted,0,unknown,True
34,admin.,single,secondary,no,66,yes,no,unknown,26,may,237,1,client was not previously contacted,0,unknown,False
44,technician,married,secondary,no,196,no,no,cellular,22,jul,367,1,client was not previously contacted,0,unknown,False
28,services,single,secondary,no,-221,no,yes,cellular,23,jul,1090,12,client was not previously contacted,0,unknown,False
32,technician,divorced,secondary,no,273,yes,no,unknown,4,jun,204,1,client was not previously contacted,0,unknown,False
39,management,married,tertiary,no,278,no,yes,cellular,28,jul,60,3,client was not previously contacted,0,unknown,False
34,services,married,secondary,no,0,yes,no,cellular,21,apr,95,1,client was not previously contacted,0,unknown,False
32,admin.,single,tertiary,no,725,no,no,cellular,27,aug,53,4,client was not previously contacted,0,unknown,False
44,blue-collar,married,secondary,no,2017,yes,no,unknown,14,may,74,3,client was not previously contacted,0,unknown,False
39,services,married,secondary,no,100,yes,no,cellular,8,may,132,1,client was not previously contacted,0,unknown,False
36,services,divorced,secondary,no,543,yes,no,cellular,17,apr,101,1,269,2,failure,False
31,admin.,single,secondary,no,17,yes,no,unknown,2,jun,52,3,client was not previously contacted,0,unknown,False
28,management,single,tertiary,no,191,yes,no,unknown,4,jun,238,1,client was not previously contacted,0,unknown,False
30,management,single,tertiary,no,355,yes,no,cellular,15,may,153,2,client was not previously contacted,0,unknown,False
