age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
53.0,management,married,tertiary,no,12.0,no,no,cellular,27.0,aug,345.0,10.0,-1.0,0.0,unknown,False
32.0,management,single,secondary,no,916.0,yes,no,unknown,16.0,may,381.0,2.0,-1.0,0.0,unknown,False
35.0,technician,married,secondary,no,712.0,yes,no,unknown,27.0,may,266.0,4.0,-1.0,0.0,unknown,False
48.0,retired,married,secondary,no,67.0,no,no,telephone,14.0,jul,251.0,2.0,-1.0,0.0,unknown,False
36.0,blue-collar,married,secondary,no,89.0,yes,no,cellular,7.0,may,62.0,6.0,366.0,2.0,failure,False
53.0,admin.,divorced,secondary,no,1151.0,yes,no,unknown,5.0,may,412.0,1.0,-1.0,0.0,unknown,False
30.0,management,single,secondary,no,269.0,no,yes,cellular,7.0,jul,1165.0,2.0,-1.0,0.0,unknown,False
48.0,admin.,divorced,secondary,no,362.0,no,no,cellular,13.0,aug,529.0,1.0,-1.0,0.0,unknown,True
85.0,retired,married,primary,no,1255.0,no,no,cellular,15.0,jan,233.0,3.0,-1.0,0.0,unknown,True
26.0,student,single,secondary,no,141.0,no,no,cellular,22.0,jul,128.0,1.0,-1.0,0.0,unknown,False
38.0,management,single,tertiary,no,889.0,no,no,unknown,19.0,may,197.0,4.0,-1.0,0.0,unknown,False
68.0,retired,married,tertiary,no,2812.0,no,no,cellular,4.0,aug,651.0,1.0,1.0,7.0,success,True
34.0,admin.,married,tertiary,no,882.0,no,no,cellular,13.0,aug,135.0,1.0,113.0,5.0,success,False
31.0,admin.,single,secondary,no,396.0,yes,no,unknown,19.0,may,104.0,1.0,-1.0,0.0,unknown,False
50.0,management,married,unknown,no,0.0,no,no,cellular,9.0,jul,99.0,2.0,-1.0,0.0,unknown,False
47.0,services,married,secondary,no,0.0,yes,no,cellular,9.0,jul,173.0,1.0,-1.0,0.0,unknown,False
33.0,admin.,divorced,secondary,no,392.0,yes,yes,unknown,26.0,may,245.0,3.0,-1.0,0.0,unknown,False
25.0,management,single,tertiary,no,530.0,no,no,cellular,26.0,may,88.0,1.0,-1.0,0.0,unknown,False
42.0,entrepreneur,married,secondary,no,-480.0,yes,yes,unknown,2.0,jun,351.0,6.0,-1.0,0.0,unknown,False
22.0,student,single,unknown,no,549.0,no,no,cellular,2.0,sep,154.0,1.0,-1.0,0.0,unknown,False
37.0,blue-collar,single,secondary,no,5818.0,no,no,unknown,17.0,jun,652.0,2.0,-1.0,0.0,unknown,False
48.0,blue-collar,married,primary,no,147.0,no,no,cellular,19.0,aug,158.0,8.0,-1.0,0.0,unknown,False
28.0,unemployed,married,secondary,no,-353.0,no,yes,cellular,21.0,jul,299.0,1.0,-1.0,0.0,unknown,False
28.0,blue-collar,single,primary,no,643.0,yes,no,unknown,15.0,may,297.0,1.0,-1.0,0.0,unknown,False
30.0,services,married,secondary,no,2191.0,yes,no,cellular,13.0,may,157.0,4.0,-1.0,0.0,unknown,False
44.0,technician,single,tertiary,no,643.0,no,no,cellular,26.0,may,222.0,3.0,-1.0,0.0,unknown,False
32.0,technician,single,tertiary,no,1212.0,yes,no,unknown,23.0,may,463.0,2.0,-1.0,0.0,unknown,False
35.0,technician,married,tertiary,no,944.0,no,no,cellular,8.0,aug,351.0,2.0,-1.0,0.0,unknown,False
30.0,admin.,single,secondary,no,-213.0,yes,yes,unknown,27.0,may,751.0,1.0,-1.0,0.0,unknown,True
37.0,blue-collar,married,secondary,no,965.0,yes,no,cellular,28.0,jul,119.0,4.0,-1.0,0.0,unknown,False
22.0,student,single,secondary,no,4038.0,yes,no,cellular,15.0,may,1380.0,1.0,-1.0,0.0,unknown,False
39.0,blue-collar,divorced,secondary,yes,-202.0,yes,yes,cellular,15.0,may,157.0,4.0,-1.0,0.0,unknown,False
44.0,management,married,tertiary,no,1732.0,yes,no,unknown,30.0,may,43.0,1.0,-1.0,0.0,unknown,False
27.0,management,single,tertiary,no,541.0,yes,no,unknown,12.0,may,145.0,1.0,-1.0,0.0,unknown,False
25.0,services,single,secondary,no,156.0,yes,yes,cellular,25.0,jul,602.0,5.0,-1.0,0.0,unknown,False
40.0,technician,married,primary,no,644.0,yes,no,cellular,16.0,apr,118.0,2.0,336.0,1.0,failure,False
40.0,services,married,unknown,no,88.0,yes,no,unknown,9.0,jun,78.0,2.0,-1.0,0.0,unknown,False
42.0,management,single,tertiary,no,10907.0,no,no,cellular,4.0,may,74.0,3.0,-1.0,0.0,unknown,False
28.0,unemployed,single,secondary,no,23.0,no,no,cellular,28.0,jan,154.0,1.0,-1.0,0.0,unknown,False
25.0,technician,single,tertiary,no,468.0,yes,no,unknown,15.0,may,147.0,1.0,-1.0,0.0,unknown,False
