Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
71,White,Male,married,Husband,United States,,,6514,0,college for less than one year,40,True
40,White,Female,never married,Unmarried,United States,professional specialty,private sector employee,0,0,college for one or more years without a degree,24,False
52,White,Female,married,Wife,United States,office and administrative support,local government,0,0,college for less than one year,72,False
51,White,Male,married,Husband,United States,execution and management,"owner of a non-incorporated business, professional practice, or farm",0,1672,bachelor's degree,70,False
19,Black,Female,never married,Other-relative,United States,sales sector,private sector employee,0,1719,high school graduate,30,False
28,White,Male,never married,Not-in-family,United States,professional specialty,state government,0,0,bachelor's degree,20,False
36,White,Male,never married,Not-in-family,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,high school graduate,45,False
24,White,Female,never married,Not-in-family,United States,office and administrative support,private sector employee,0,0,bachelor's degree,30,False
65,White,Male,married,Husband,United States,execution and management,"owner of a incorporated business, professional practice, or farm",99999,0,doctoral degree,40,True
56,White,Female,divorced,Unmarried,United States,office and administrative support,private sector employee,0,1617,high school graduate,40,False
51,White,Male,married,Husband,United States,professional specialty,local government,0,0,bachelor's degree,26,False
55,White,Male,divorced,Not-in-family,United States,execution and management,private sector employee,0,1504,college for less than one year,40,False
45,White,Male,married,Husband,United States,execution and management,"owner of a non-incorporated business, professional practice, or farm",0,0,finished 8th class,65,True
65,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",10605,0,high school graduate,60,True
21,White,Male,never married,Own-child,United States,,,0,0,college for less than one year,20,False
45,White,Female,married,Wife,United States,service sector,private sector employee,0,0,finished 11th class,36,False
32,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,college for less than one year,40,False
57,White,Male,married,Husband,United States,sales sector,"owner of a incorporated business, professional practice, or farm",99999,0,master's degree,40,True
37,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,bachelor's degree,40,True
35,White,Male,never married,Not-in-family,United States,sales sector,private sector employee,0,0,college for less than one year,40,False
27,White,Male,never married,Not-in-family,United States,execution and management,private sector employee,0,0,college for less than one year,45,False
57,Asian-Pac-Islander,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,high school graduate,40,False
17,White,Female,never married,Own-child,United States,sales sector,private sector employee,0,0,finished 11th class,15,False
30,White,Female,married,Wife,Germany,technology and support sector,private sector employee,0,0,college for one or more years without a degree,35,False
32,White,Male,separated,Own-child,United States,technology and support sector,private sector employee,0,1590,college for one or more years without a degree,40,False
18,White,Female,never married,Own-child,United States,service sector,private sector employee,0,0,high school graduate,20,False
50,Amer-Indian-Eskimo,Male,married,Husband,United States,execution and management,local government,0,0,college for less than one year,50,True
56,Black,Male,divorced,Not-in-family,,execution and management,private sector employee,0,0,high school graduate,40,False
58,White,Male,divorced,Not-in-family,United States,machine operator and inspector,private sector employee,3325,0,high school graduate,30,False
39,White,Male,married,Husband,Mexico,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,finished 6th class,50,False
19,White,Female,never married,Own-child,United States,sales sector,private sector employee,0,0,finished 12th class without diploma,30,False
23,Black,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,high school graduate,45,False
43,White,Female,divorced,Not-in-family,United States,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
74,White,Male,divorced,Other-relative,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,professional degree,40,False
50,White,Male,separated,Not-in-family,United States,professional specialty,"owner of a incorporated business, professional practice, or farm",0,0,doctoral degree,40,True
38,White,Female,never married,Not-in-family,United States,,,0,0,finished 11th class,32,False
23,White,Male,never married,Own-child,United States,execution and management,state government,0,0,bachelor's degree,30,False
35,White,Male,divorced,Own-child,United States,craft and repair sector,state government,0,0,high school graduate,40,False
45,Black,Female,divorced,Other-relative,United States,service sector,private sector employee,0,0,high school graduate,35,False
36,Asian-Pac-Islander,Female,never married,Not-in-family,China,sales sector,private sector employee,0,0,bachelor's degree,50,False
23,Black,Male,married,Husband,Ecuador,craft and repair sector,private sector employee,0,0,finished 12th class without diploma,30,False
25,White,Male,never married,Not-in-family,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,False
37,White,Female,married,Wife,United States,cleaning and maintenance sector,private sector employee,0,0,high school graduate,40,True
45,White,Male,married,Husband,United States,execution and management,"owner of a non-incorporated business, professional practice, or farm",0,0,finished 8th class,55,True
23,White,Female,never married,Not-in-family,United States,sales sector,private sector employee,0,0,bachelor's degree,40,False
52,White,Male,married,Husband,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,professional degree,70,True
65,White,Female,widowed,Not-in-family,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,False
40,White,Male,married,Husband,United States,cleaning and maintenance sector,private sector employee,0,0,high school graduate,40,False
43,White,Male,married,Husband,United States,execution and management,"owner of a non-incorporated business, professional practice, or farm",0,0,high school graduate,35,False
58,Black,Male,divorced,Not-in-family,United States,office and administrative support,local government,0,0,high school graduate,40,False
24,White,Female,never married,Own-child,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,False
25,White,Female,never married,Not-in-family,United States,professional specialty,state government,0,0,bachelor's degree,40,False
33,White,Male,married,Husband,United States,professional specialty,private sector employee,0,0,bachelor's degree,45,True
33,White,Female,separated,Own-child,United States,sales sector,private sector employee,0,0,finished 11th class,20,False
23,White,Male,never married,Own-child,United States,sales sector,private sector employee,0,0,high school graduate,60,False
40,Black,Female,divorced,Not-in-family,United States,professional specialty,federal government,0,1741,bachelor's degree,40,False
41,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,college for less than one year,35,True
65,White,Male,married,Husband,United States,office and administrative support,federal government,0,0,college for less than one year,48,True
40,Black,Male,married,Husband,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,high school graduate,40,True
23,Black,Female,never married,Own-child,Jamaica,machine operator and inspector,private sector employee,0,0,college for less than one year,20,False
33,White,Female,divorced,Unmarried,United States,execution and management,private sector employee,0,0,finished 11th class,40,True
43,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,high school graduate,65,False
32,White,Male,married,Husband,United States,protective services sector,private sector employee,0,0,high school graduate,40,False
54,White,Female,divorced,Not-in-family,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,master's degree,30,False
30,White,Male,married,Husband,United States,sales sector,private sector employee,2407,0,bachelor's degree,40,False
