Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
26,Black,Male,never married,Not-in-family,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,finished 11th class,40,False
28,White,Male,married,Husband,Germany,craft and repair sector,private sector employee,0,0,college for less than one year,50,True
33,,Male,married,Husband,Mexico,craft and repair sector,private sector employee,0,0,finished 9th class,40,False
36,White,Female,divorced,Unmarried,United States,execution and management,private sector employee,0,0,college for less than one year,35,False
47,Black,Male,divorced,Not-in-family,United States,machine operator and inspector,private sector employee,0,0,college for less than one year,40,False
36,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,45,False
46,White,Female,divorced,Unmarried,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,False
19,White,Male,never married,Other-relative,Mexico,"agriculture, forestry, and fisheries sector",private sector employee,0,0,finished 9th class,16,False
45,Asian-Pac-Islander,Female,married,Wife,,execution and management,"owner of a non-incorporated business, professional practice, or farm",0,0,bachelor's degree,48,False
48,White,Male,never married,Not-in-family,United States,professional specialty,private sector employee,0,0,master's degree,60,False
28,White,Female,married,Other-relative,United States,service sector,private sector employee,3137,0,college for one or more years without a degree,40,False
35,White,Male,married,Husband,United States,technology and support sector,state government,5013,0,college for less than one year,40,False
25,White,Male,married,Husband,United States,professional specialty,private sector employee,0,0,bachelor's degree,45,True
46,White,Female,divorced,Not-in-family,United States,office and administrative support,private sector employee,0,0,high school graduate,44,False
47,White,Male,married,Husband,United States,execution and management,"owner of a non-incorporated business, professional practice, or farm",0,0,high school graduate,50,True
34,White,Male,married,Husband,United States,professional specialty,private sector employee,0,0,bachelor's degree,40,True
36,White,Male,married,Husband,United States,professional specialty,local government,0,1887,bachelor's degree,40,True
56,White,Male,married,Husband,United States,sales sector,"owner of a incorporated business, professional practice, or farm",0,0,high school graduate,50,True
39,Asian-Pac-Islander,Male,married,Husband,Philippines,technology and support sector,private sector employee,0,0,college for one or more years without a degree,40,False
19,White,Male,never married,Own-child,United States,,,0,0,college for less than one year,22,False
59,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
44,White,Male,divorced,Not-in-family,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,high school graduate,40,False
34,White,Male,married,Husband,United States,cleaning and maintenance sector,private sector employee,0,0,college for less than one year,40,False
49,White,Male,married,Husband,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,finished 11th class,75,False
30,White,Male,married,Husband,United States,craft and repair sector,local government,0,0,high school graduate,40,False
29,White,Female,separated,Unmarried,United States,office and administrative support,private sector employee,0,0,college for one or more years without a degree,40,False
