age,race,sex,marital_status,relationship,native_country,occupation,workclass,capital_gain,capital_loss,education,hours_per_week,label
26,Black,Male,Never-married,Not-in-family,United-States,Transport-moving,Private,0,0,11th,40,False
28,White,Male,Married-civ-spouse,Husband,Germany,Craft-repair,Private,0,0,Some-college,50,True
33,Other,Male,Married-civ-spouse,Husband,Mexico,Craft-repair,Private,0,0,9th,40,False
36,White,Female,Divorced,Unmarried,United-States,Exec-managerial,Private,0,0,Some-college,35,False
47,Black,Male,Divorced,Not-in-family,United-States,Machine-op-inspct,Private,0,0,Some-college,40,False
36,White,Male,Married-civ-spouse,Husband,United-States,Craft-repair,Private,0,0,HS-grad,45,False
46,White,Female,Divorced,Unmarried,United-States,Adm-clerical,Private,0,0,Some-college,40,False
19,White,Male,Never-married,Other-relative,Mexico,Farming-fishing,Private,0,0,9th,16,False
45,Asian-Pac-Islander,Female,Married-civ-spouse,Wife,,Exec-managerial,Self-emp-not-inc,0,0,Bachelors,48,False
48,White,Male,Never-married,Not-in-family,United-States,Prof-specialty,Private,0,0,Masters,60,False
28,White,Female,Married-civ-spouse,Other-relative,United-States,Other-service,Private,3137,0,Assoc-voc,40,False
35,White,Male,Married-civ-spouse,Husband,United-States,Tech-support,State-gov,5013,0,Some-college,40,False
25,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Private,0,0,Bachelors,45,True
46,White,Female,Divorced,Not-in-family,United-States,Adm-clerical,Private,0,0,HS-grad,44,False
47,White,Male,Married-civ-spouse,Husband,United-States,Exec-managerial,Self-emp-not-inc,0,0,HS-grad,50,True
34,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Private,0,0,Bachelors,40,True
36,White,Male,Married-civ-spouse,Husband,United-States,Prof-specialty,Local-gov,0,1887,Bachelors,40,True
56,White,Male,Married-civ-spouse,Husband,United-States,Sales,Self-emp-inc,0,0,HS-grad,50,True
39,Asian-Pac-Islander,Male,Married-civ-spouse,Husband,Philippines,Tech-support,Private,0,0,Assoc-voc,40,False
19,White,Male,Never-married,Own-child,United-States,,,0,0,Some-college,22,False
