Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
28,White,Female,never married,Not-in-family,United States,professional specialty,local government,0,0,master's degree,40,False
22,White,Male,never married,Other-relative,United States,craft and repair sector,private sector employee,0,0,finished 10th class,30,False
49,White,Female,divorced,Other-relative,United States,sales sector,private sector employee,0,0,bachelor's degree,35,False
25,White,Male,married,Other-relative,Mexico,machine operator and inspector,private sector employee,0,0,finished 11th class,40,False
26,White,Female,separated,Own-child,United States,technology and support sector,private sector employee,0,0,high school graduate,40,False
23,Asian-Pac-Islander,Male,never married,Not-in-family,Taiwan,sales sector,private sector employee,0,0,bachelor's degree,50,False
58,White,Female,widowed,Not-in-family,United States,professional specialty,state government,0,0,college for less than one year,20,False
40,White,Male,married,Husband,United States,office and administrative support,state government,0,0,college for less than one year,40,False
39,White,Male,never married,Not-in-family,Columbia,cleaning and maintenance sector,private sector employee,0,0,finished 10th class,40,False
17,White,Male,never married,Own-child,United States,service sector,private sector employee,0,0,finished 10th class,20,False
47,Black,Female,married,Wife,United States,machine operator and inspector,private sector employee,15024,0,high school graduate,40,True
37,White,Female,divorced,Unmarried,United States,professional specialty,state government,0,0,master's degree,40,False
23,White,Female,never married,Own-child,United States,office and administrative support,private sector employee,2174,0,bachelor's degree,40,False
37,White,Male,never married,Not-in-family,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,high school graduate,86,False
33,White,Male,married,Not-in-family,United States,craft and repair sector,private sector employee,0,0,associate's degree,20,False
47,White,Female,divorced,Unmarried,United States,office and administrative support,local government,0,0,college for less than one year,40,False
57,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,False
43,White,Male,married,Husband,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,professional degree,20,False
41,White,Male,married,Husband,Iran,execution and management,private sector employee,0,0,bachelor's degree,50,True
33,White,Male,divorced,Own-child,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,False
47,,Male,never married,Not-in-family,,craft and repair sector,"owner of a incorporated business, professional practice, or farm",0,0,finished 8th class,40,False
37,White,Female,married,Wife,United States,professional specialty,private sector employee,0,0,college for one or more years without a degree,30,False
25,White,Female,never married,Not-in-family,United States,technology and support sector,private sector employee,0,0,bachelor's degree,10,False
28,White,Male,married,Husband,France,sales sector,private sector employee,0,0,master's degree,45,True
29,White,Male,never married,Not-in-family,United States,execution and management,private sector employee,0,0,bachelor's degree,40,False
68,White,Male,separated,Unmarried,Canada,sales sector,"owner of a incorporated business, professional practice, or farm",0,0,bachelor's degree,70,False
43,Black,Female,married,Wife,United States,professional specialty,local government,0,0,master's degree,35,True
42,,Male,married,Husband,Mexico,craft and repair sector,private sector employee,3103,0,finished 6th class,40,True
30,White,Male,never married,Unmarried,El-Salvador,service sector,private sector employee,0,0,no schooling,28,False
42,White,Male,married,Husband,United States,craft and repair sector,"owner of a non-incorporated business, professional practice, or farm",0,2002,high school graduate,40,False
38,White,Female,married,Wife,Poland,service sector,"owner of a incorporated business, professional practice, or farm",0,0,high school graduate,20,False
43,White,Male,never married,Not-in-family,United States,office and administrative support,private sector employee,0,0,master's degree,40,False
31,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,bachelor's degree,40,True
44,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,master's degree,50,True
22,White,Female,never married,Not-in-family,United States,sales sector,private sector employee,0,0,bachelor's degree,20,False
52,White,Female,divorced,Other-relative,United States,service sector,private sector employee,0,0,finished 10th class,25,False
30,Amer-Indian-Eskimo,Female,never married,Unmarried,United States,office and administrative support,private sector employee,0,0,associate's degree,40,False
45,White,Female,separated,Unmarried,United States,office and administrative support,private sector employee,0,0,high school graduate,38,False
32,White,Male,married,Husband,United States,professional specialty,state government,0,0,associate's degree,20,False
41,White,Male,divorced,Not-in-family,United States,professional specialty,state government,0,0,master's degree,35,False
30,White,Male,divorced,Unmarried,United States,craft and repair sector,private sector employee,0,0,high school graduate,55,False
24,White,Male,never married,Own-child,United States,craft and repair sector,private sector employee,0,0,college for less than one year,40,False
26,White,Male,married,Husband,United States,technology and support sector,private sector employee,0,0,college for less than one year,40,False
60,Asian-Pac-Islander,Male,married,Husband,Philippines,service sector,local government,0,0,college for less than one year,60,False
31,Black,Male,never married,Own-child,United States,service sector,private sector employee,0,0,high school graduate,40,False
60,Amer-Indian-Eskimo,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,college for less than one year,40,False
32,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,5178,0,high school graduate,40,True
45,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,high school graduate,45,False
78,White,Male,married,Husband,United States,,,0,0,high school graduate,16,False
19,White,Female,never married,Own-child,United States,service sector,private sector employee,0,0,high school graduate,20,False
34,White,Female,married,Wife,United States,professional specialty,local government,0,0,bachelor's degree,40,True
32,Black,Female,never married,Unmarried,United States,office and administrative support,local government,0,0,college for less than one year,40,False
51,White,Male,divorced,Not-in-family,United States,professional specialty,private sector employee,0,0,high school graduate,40,False
51,White,Female,divorced,Not-in-family,United States,service sector,private sector employee,0,0,high school graduate,40,False
60,White,Male,divorced,Not-in-family,United States,machine operator and inspector,private sector employee,0,0,finished 8th class,40,False
38,White,Male,never married,Unmarried,United States,craft and repair sector,private sector employee,1151,0,finished 11th class,40,False
34,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,college for less than one year,50,False
28,Black,Male,never married,Not-in-family,United States,execution and management,federal government,0,0,bachelor's degree,40,False
21,White,Male,never married,Own-child,United States,service sector,private sector employee,0,0,high school graduate,35,False
39,White,Male,never married,Not-in-family,United States,professional specialty,state government,0,0,bachelor's degree,45,False
44,White,Female,divorced,Not-in-family,United States,cleaning and maintenance sector,private sector employee,0,0,high school graduate,48,False
23,White,Female,never married,Own-child,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,finished 11th class,38,False
39,White,Male,married,Husband,United States,cleaning and maintenance sector,federal government,0,1977,college for less than one year,60,True
24,White,Female,never married,Not-in-family,United States,service sector,private sector employee,0,0,finished 11th class,20,False
37,Asian-Pac-Islander,Male,married,Husband,Thailand,execution and management,"owner of a incorporated business, professional practice, or farm",0,0,college for less than one year,75,True
25,White,Female,never married,Not-in-family,United States,office and administrative support,private sector employee,0,0,college for one or more years without a degree,42,False
49,White,Male,married,Husband,United States,service sector,private sector employee,0,0,college for less than one year,40,False
20,White,Female,never married,Own-child,United States,professional specialty,local government,0,0,college for less than one year,18,False
38,White,Male,married,Husband,Mexico,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
20,White,Female,never married,Own-child,United States,sales sector,private sector employee,0,0,college for less than one year,20,False
23,White,Male,never married,Own-child,United States,sales sector,private sector employee,0,0,high school graduate,60,False
22,White,Female,never married,Own-child,United States,service sector,private sector employee,0,0,high school graduate,40,False
44,White,Male,married,Husband,United States,execution and management,federal government,7688,0,bachelor's degree,40,True
28,White,Male,never married,Not-in-family,United States,,,0,0,finished 11th class,30,False
34,White,Male,separated,Unmarried,United States,craft and repair sector,private sector employee,0,0,high school graduate,80,False
41,Black,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,finished 11th class,40,False
49,White,Male,divorced,Not-in-family,United States,craft and repair sector,private sector employee,0,1669,high school graduate,40,False
37,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,1887,college for less than one year,40,True
54,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,bachelor's degree,60,True
69,White,Male,married,Husband,United States,,,0,0,bachelor's degree,40,False
43,White,Male,married,Husband,United States,machine operator and inspector,"owner of a incorporated business, professional practice, or farm",0,0,college for less than one year,50,False
58,Black,Female,divorced,Not-in-family,United States,craft and repair sector,federal government,14084,0,finished 11th class,40,True
76,White,Male,married,Husband,United States,office and administrative support,private sector employee,20051,0,bachelor's degree,50,True
26,White,Male,married,Husband,United States,,,0,2002,bachelor's degree,40,False
27,Asian-Pac-Islander,Female,never married,Not-in-family,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,bachelor's degree,30,False
25,White,Female,never married,Own-child,United States,technology and support sector,private sector employee,0,0,college for less than one year,40,False
51,Black,Male,never married,Not-in-family,United States,service sector,local government,0,0,high school graduate,40,False
56,White,Female,divorced,Not-in-family,United States,office and administrative support,local government,0,0,college for less than one year,35,False
25,White,Male,married,Husband,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,finished 12th class without diploma,40,False
52,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,True
63,White,Male,married,Husband,,professional specialty,private sector employee,0,0,bachelor's degree,50,True
54,White,Male,married,Husband,United States,office and administrative support,local government,7298,0,master's degree,40,True
22,White,Female,never married,Own-child,United States,sales sector,private sector employee,0,0,high school graduate,40,False
61,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,True
