Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
no checking account,48,critical account/ other credits existing (not at this bank),education,6110,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,48,existing credits paid back duly till now,business,4844,... < 100 DM,unemployed,3,male : single,none,2,"car or other, not in attribute 6",33,bank,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,12,delay in paying off in the past,car (used),1503,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),others,11938,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"car or other, not in attribute 6",39,none,own,2,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,20,no credits taken/ all credits paid back duly,car (used),6148,100 <= ... < 500 DM,... >= 7 years,3,male : married/widowed,none,4,"car or other, not in attribute 6",31,bank,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 <= ... < 1000 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,24,existing credits paid back duly till now,car (new),2255,unknown/ no savings account,... < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,54,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,42,none,own,3,unskilled - resident,2.0,none,yes,True
no checking account,9,critical account/ other credits existing (not at this bank),furniture/equipment,2406,... < 100 DM,unemployed,2,male : single,none,3,"car or other, not in attribute 6",31,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,True
no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,... < 100 DM,... < 1 year,4,male : married/widowed,co-applicant,1,building society savings agreement/ life insurance,43,none,own,1,unskilled - resident,2.0,none,yes,False
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),691,... < 100 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,1.0,none,yes,False
no checking account,12,critical account/ other credits existing (not at this bank),education,2012,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",61,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2366,500 <= ... < 1000 DM,4 <= ... < 7 years,3,male : divorced/separated,none,3,"car or other, not in attribute 6",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,15,all credits at this bank paid back duly,radio/television,1569,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",34,bank,own,1,unskilled - resident,2.0,none,yes,True
no checking account,18,critical account/ other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,male : single,none,4,unknown / no property,38,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,37,none,own,1,unskilled - resident,1.0,none,yes,False
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,100 <= ... < 500 DM,unemployed,1,male : divorced/separated,none,1,building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1.0,none,yes,False
