Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1.0,none,yes,False
no checking account,36,delay in paying off in the past,business,7980,unknown/ no savings account,... < 1 year,4,male : single,none,4,"car or other, not in attribute 6",27,none,rent,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
< 0 DM,12,existing credits paid back duly till now,education,795,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1.0,none,yes,False
< 0 DM,12,existing credits paid back duly till now,education,1200,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,bank,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,2577,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,1,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,24,existing credits paid back duly till now,radio/television,5152,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,"car or other, not in attribute 6",25,bank,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,54,no credits taken/ all credits paid back duly,business,15945,... < 100 DM,... < 1 year,3,male : single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,3780,... < 100 DM,... < 1 year,3,male : divorced/separated,none,2,"car or other, not in attribute 6",35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1.0,none,yes,True
no checking account,18,existing credits paid back duly till now,radio/television,433,... < 100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1.0,none,yes,False
no checking account,11,existing credits paid back duly till now,business,2142,... >= 1000 DM,... >= 7 years,1,male : divorced/separated,none,2,real estate,28,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/ unskilled - non-resident,1.0,none,yes,False
