Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2415,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,34,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,... < 1 year,4,male : single,none,2,building society savings agreement/ life insurance,29,bank,own,1,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),business,1887,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,28,bank,own,2,skilled employee / official,1.0,none,yes,True
no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= ... < 500 DM,... >= 7 years,2,male : single,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2718,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,20,none,rent,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,48,critical account/ other credits existing (not at this bank),furniture/equipment,5096,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,3,"car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee / official,1.0,none,yes,True
< 0 DM,9,existing credits paid back duly till now,radio/television,1364,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,real estate,59,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,27,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1941,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,35,none,own,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,True
