age,type of job,marital status,education,has credit in default?,"average yearly balance, in euros",has housing loan?,has personal loan?,contact communication type,last contact day of the month,last contact month of year,"last contact duration, in seconds",number of contacts performed during this campaign and for this client,number of days that passed by after the client was last contacted from a previous campaign,number of contacts performed before this campaign and for this client,outcome of the previous marketing campaign,label
30,management,single,tertiary,no,6825,no,no,cellular,4,feb,217,2,client was not previously contacted,0,unknown,False
59,management,divorced,tertiary,no,81,no,no,cellular,26,may,140,1,client was not previously contacted,0,unknown,False
28,blue-collar,single,secondary,no,322,no,no,telephone,11,sep,240,2,95,3,other,True
53,technician,married,secondary,no,1389,no,no,telephone,30,jul,34,4,client was not previously contacted,0,unknown,False
32,blue-collar,married,primary,no,183,yes,no,cellular,9,feb,308,4,208,3,other,False
33,management,single,tertiary,no,283,yes,no,cellular,14,may,40,1,client was not previously contacted,0,unknown,False
49,management,married,tertiary,no,64,no,no,unknown,11,jun,586,1,client was not previously contacted,0,unknown,True
29,services,single,tertiary,no,2564,yes,no,unknown,27,may,306,2,client was not previously contacted,0,unknown,False
40,technician,divorced,secondary,no,6,no,no,cellular,27,aug,26,16,client was not previously contacted,0,unknown,False
66,retired,married,secondary,no,3409,no,no,cellular,12,may,801,1,86,2,failure,False
39,admin.,married,secondary,yes,0,no,no,unknown,29,may,59,3,client was not previously contacted,0,unknown,False
41,self-employed,married,unknown,no,1377,yes,no,cellular,15,may,111,4,371,2,other,False
34,management,single,tertiary,no,747,no,no,cellular,31,aug,72,2,98,1,failure,False
30,admin.,married,secondary,no,667,yes,no,unknown,2,jun,154,2,client was not previously contacted,0,unknown,False
35,blue-collar,divorced,secondary,no,164,yes,no,cellular,18,may,11,5,364,13,failure,False
28,services,married,secondary,no,4,yes,no,unknown,27,jun,133,5,client was not previously contacted,0,unknown,False
53,self-employed,married,tertiary,no,1672,no,no,cellular,23,jul,438,1,client was not previously contacted,0,unknown,False
23,blue-collar,married,secondary,no,-295,yes,no,cellular,15,may,411,1,323,2,failure,False
34,technician,married,secondary,no,210,yes,yes,cellular,20,nov,199,1,client was not previously contacted,0,unknown,False
45,blue-collar,married,primary,no,-160,yes,no,unknown,20,jun,15,26,client was not previously contacted,0,unknown,False
