white piece strength,white piece file,white piece rank,black piece strength,black piece file,black piece rank,label
7,6,2,7,2,6,False
6,0,5,6,5,6,False
7,2,0,0,1,4,False
4,2,1,6,2,6,False
6,6,7,6,3,6,False
0,0,8,0,1,0,False
4,4,7,6,3,4,True
0,4,7,4,6,0,True
6,0,7,5,6,2,True
7,4,0,7,6,2,False
6,6,2,5,3,1,False
0,5,2,7,6,8,True
4,0,8,6,0,3,True
4,0,2,7,6,3,False
6,2,1,4,4,8,True
6,4,7,7,2,1,True
0,4,3,6,4,8,False
0,6,8,4,6,7,True
0,1,0,6,3,1,False
4,4,7,7,2,6,True
4,1,7,0,4,8,True
4,1,6,6,6,3,True
0,3,7,4,0,4,True
0,5,7,6,3,1,False
7,5,1,4,4,8,True
6,6,1,0,1,4,False
0,2,6,4,6,6,True
6,5,1,0,6,3,True
5,0,4,6,2,2,False
6,5,0,0,1,8,True
6,3,1,6,0,3,True
7,4,0,0,5,5,False
