age,type of job,marital status,education,has credit in default?,"average yearly balance, in euros",has housing loan?,has personal loan?,contact communication type,last contact day of the month,last contact month of year,"last contact duration, in seconds",number of contacts performed during this campaign and for this client,number of days that passed by after the client was last contacted from a previous campaign,number of contacts performed before this campaign and for this client,outcome of the previous marketing campaign,label
34,admin.,married,tertiary,no,79,yes,no,cellular,5,aug,203,1,92,5,success,True
36,management,married,tertiary,no,1113,no,no,cellular,1,sep,212,1,client was not previously contacted,0,unknown,True
72,retired,married,primary,no,1612,no,no,cellular,7,aug,530,2,client was not previously contacted,0,unknown,True
21,student,single,secondary,no,123,no,no,telephone,11,nov,513,1,91,1,success,True
66,retired,married,primary,no,3629,no,no,cellular,2,feb,474,1,172,2,other,True
59,technician,married,secondary,no,10925,no,no,cellular,21,apr,100,1,client was not previously contacted,0,unknown,True
37,technician,married,tertiary,no,127,yes,no,cellular,25,aug,192,1,193,1,success,True
64,retired,married,secondary,no,4787,no,no,cellular,28,oct,501,1,client was not previously contacted,0,unknown,True
33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,3,client was not previously contacted,0,unknown,True
32,management,married,tertiary,no,4945,no,no,cellular,4,jun,160,1,119,2,other,True
33,management,married,tertiary,no,0,yes,no,cellular,14,apr,535,3,328,1,failure,True
34,management,single,tertiary,no,48,yes,no,cellular,12,aug,810,3,93,6,failure,True
58,management,divorced,unknown,no,2986,no,no,cellular,16,sep,414,1,91,5,other,True
43,self-employed,married,secondary,no,14144,yes,no,cellular,21,nov,504,1,client was not previously contacted,0,unknown,True
41,unemployed,married,secondary,no,0,yes,yes,cellular,5,may,400,1,client was not previously contacted,0,unknown,True
60,retired,divorced,secondary,no,1099,no,no,cellular,11,jul,764,2,client was not previously contacted,0,unknown,True
44,self-employed,single,tertiary,no,1367,yes,no,cellular,13,apr,1232,3,146,1,other,True
41,entrepreneur,married,secondary,no,30,no,no,cellular,30,apr,460,1,client was not previously contacted,0,unknown,True
45,admin.,married,secondary,no,205,no,no,cellular,4,may,552,1,90,2,success,True
31,self-employed,single,tertiary,no,1657,yes,yes,cellular,28,jan,872,1,client was not previously contacted,0,unknown,True
30,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,5,client was not previously contacted,0,unknown,True
33,technician,single,tertiary,no,0,yes,no,cellular,21,nov,654,1,client was not previously contacted,0,unknown,True
25,admin.,single,secondary,no,122,yes,no,cellular,7,may,481,2,client was not previously contacted,0,unknown,True
86,retired,divorced,primary,no,0,no,no,telephone,26,aug,189,1,client was not previously contacted,0,unknown,True
34,admin.,married,secondary,no,48,yes,no,cellular,7,may,1806,2,287,3,other,True
48,housemaid,married,secondary,no,513,no,yes,cellular,28,jul,939,3,client was not previously contacted,0,unknown,True
39,unemployed,divorced,secondary,no,265,yes,no,unknown,27,may,93,1,555,2,other,True
62,retired,married,primary,no,1742,no,no,cellular,14,jun,167,2,98,6,other,True
60,technician,married,tertiary,no,-71,yes,yes,cellular,30,jan,1451,1,client was not previously contacted,0,unknown,True
39,admin.,divorced,secondary,no,728,yes,yes,cellular,18,oct,222,1,client was not previously contacted,0,unknown,True
54,technician,married,secondary,no,3994,no,yes,cellular,20,oct,595,2,187,2,success,True
41,management,married,tertiary,no,0,yes,no,cellular,18,nov,897,3,client was not previously contacted,0,unknown,True
59,retired,single,secondary,no,2,no,no,telephone,2,feb,935,1,client was not previously contacted,0,unknown,True
24,management,single,tertiary,no,393,no,no,cellular,27,sep,1298,1,client was not previously contacted,0,unknown,True
57,retired,divorced,tertiary,no,734,no,no,cellular,6,aug,1357,4,client was not previously contacted,0,unknown,True
27,admin.,married,secondary,no,3415,no,no,cellular,9,oct,266,3,184,1,success,True
62,management,married,tertiary,no,3371,no,no,cellular,25,mar,187,1,178,2,success,True
21,student,single,secondary,no,123,no,no,telephone,12,feb,379,5,93,2,success,True
43,unemployed,married,primary,no,519,no,no,unknown,20,jun,973,2,client was not previously contacted,0,unknown,True
42,technician,single,unknown,no,11115,no,no,cellular,10,aug,187,1,102,1,success,True
19,student,single,unknown,no,108,no,no,cellular,9,mar,273,2,182,1,success,True
53,retired,married,tertiary,no,2269,no,no,cellular,17,nov,1091,2,150,1,success,True
71,retired,married,primary,no,4657,no,no,cellular,16,feb,93,5,client was not previously contacted,0,unknown,True
37,unemployed,single,secondary,no,443,no,no,cellular,29,jan,1600,1,client was not previously contacted,0,unknown,True
60,retired,married,secondary,no,523,no,no,cellular,11,feb,467,1,182,3,success,True
39,technician,married,tertiary,no,206,no,no,cellular,20,oct,148,2,195,2,success,True
42,management,divorced,secondary,no,283,yes,no,cellular,23,jul,761,1,client was not previously contacted,0,unknown,True
46,technician,married,secondary,no,3,yes,yes,cellular,12,may,614,3,client was not previously contacted,0,unknown,True
29,admin.,divorced,tertiary,yes,0,no,yes,cellular,9,jul,426,3,client was not previously contacted,0,unknown,True
28,admin.,single,secondary,no,154,yes,no,cellular,15,may,536,1,364,1,other,True
59,unemployed,married,secondary,no,957,no,no,cellular,8,mar,301,1,89,2,success,True
23,technician,single,tertiary,no,1129,yes,no,unknown,28,may,806,1,client was not previously contacted,0,unknown,True
30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,2,client was not previously contacted,0,unknown,True
57,technician,divorced,secondary,no,3043,no,no,cellular,14,aug,707,2,client was not previously contacted,0,unknown,True
26,services,single,secondary,no,1347,no,no,telephone,18,jun,280,6,92,5,other,True
73,retired,married,tertiary,no,459,no,no,cellular,17,feb,281,1,client was not previously contacted,0,unknown,True
36,technician,married,tertiary,no,521,no,no,cellular,20,oct,347,3,client was not previously contacted,0,unknown,True
31,management,single,tertiary,no,533,no,no,cellular,12,nov,90,3,93,6,success,True
86,retired,married,primary,no,5236,no,no,telephone,1,apr,558,2,client was not previously contacted,0,unknown,True
26,blue-collar,single,secondary,no,2007,no,no,cellular,13,jul,272,3,182,2,success,True
62,retired,married,secondary,no,569,no,no,cellular,3,aug,187,2,180,6,success,True
27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,client was not previously contacted,0,unknown,True
48,services,divorced,secondary,no,-276,yes,yes,cellular,13,may,674,1,client was not previously contacted,0,unknown,True
46,management,married,unknown,no,2466,no,no,telephone,1,apr,216,3,370,1,failure,True
44,admin.,married,secondary,no,1074,yes,no,cellular,11,jul,911,2,client was not previously contacted,0,unknown,True
54,management,married,secondary,no,1134,yes,no,cellular,25,jul,1330,3,client was not previously contacted,0,unknown,True
33,services,single,secondary,no,489,yes,no,cellular,4,may,297,4,334,1,other,True
30,management,married,tertiary,no,102,yes,no,cellular,5,apr,470,7,426,3,other,True
26,management,single,tertiary,no,222,no,no,cellular,28,jun,247,1,63,2,success,True
25,management,single,tertiary,no,219,no,no,cellular,4,aug,576,1,96,1,success,True
30,student,single,tertiary,no,228,yes,no,cellular,13,may,314,2,client was not previously contacted,0,unknown,True
54,technician,married,secondary,no,10185,no,no,cellular,12,feb,251,1,186,3,success,True
55,blue-collar,married,secondary,no,0,no,no,unknown,12,jun,614,2,client was not previously contacted,0,unknown,True
26,technician,single,secondary,no,2002,no,no,cellular,29,jan,146,1,client was not previously contacted,0,unknown,True
42,technician,divorced,tertiary,no,2611,yes,no,cellular,25,jun,300,1,389,3,failure,True
31,admin.,single,tertiary,no,4041,no,no,cellular,30,apr,1034,2,client was not previously contacted,0,unknown,True
32,technician,single,unknown,no,491,no,no,cellular,9,jul,474,7,client was not previously contacted,0,unknown,True
38,technician,divorced,secondary,no,902,yes,no,cellular,4,may,301,3,90,1,success,True
30,management,single,tertiary,no,4889,no,no,cellular,11,aug,545,2,client was not previously contacted,0,unknown,True
49,admin.,married,secondary,no,0,no,no,cellular,30,apr,551,1,client was not previously contacted,0,unknown,True
58,retired,divorced,tertiary,no,3237,no,no,telephone,31,oct,615,1,client was not previously contacted,0,unknown,True
43,technician,single,secondary,no,451,no,no,cellular,12,aug,289,2,client was not previously contacted,0,unknown,True
41,blue-collar,single,secondary,yes,-386,no,yes,cellular,20,nov,477,1,client was not previously contacted,0,unknown,True
48,housemaid,single,primary,no,46,no,no,cellular,4,aug,118,1,1,3,success,True
40,unemployed,single,tertiary,no,7968,no,no,cellular,2,jun,596,1,client was not previously contacted,0,unknown,True
35,technician,married,tertiary,no,7050,no,no,cellular,10,feb,278,3,187,1,success,True
57,management,married,tertiary,no,830,yes,yes,cellular,8,may,662,1,367,1,success,True
25,student,single,tertiary,no,326,no,no,cellular,26,may,390,1,client was not previously contacted,0,unknown,True
26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,3,client was not previously contacted,0,unknown,True
32,management,married,tertiary,no,2667,yes,no,cellular,4,mar,251,1,181,4,failure,True
43,management,divorced,tertiary,no,580,yes,no,cellular,11,may,1514,1,284,2,failure,True
31,technician,married,unknown,no,14533,no,no,cellular,16,jun,245,2,client was not previously contacted,0,unknown,True
38,self-employed,single,tertiary,no,5774,yes,no,cellular,15,may,406,4,359,5,other,True
27,services,single,secondary,no,1347,no,no,telephone,28,dec,824,1,193,11,success,True
32,management,single,tertiary,no,769,no,no,cellular,29,aug,695,2,client was not previously contacted,0,unknown,True
37,admin.,single,tertiary,no,1000,yes,no,cellular,22,sep,239,1,99,2,success,True
69,technician,married,tertiary,no,482,no,no,cellular,29,jul,478,1,267,1,failure,True
30,management,married,tertiary,no,131,yes,no,cellular,11,aug,384,6,client was not previously contacted,0,unknown,True
73,retired,married,primary,no,279,no,no,cellular,28,jan,399,3,client was not previously contacted,0,unknown,True
57,management,married,tertiary,no,256,no,no,cellular,6,mar,227,1,client was not previously contacted,0,unknown,True
49,technician,married,tertiary,no,523,yes,no,cellular,2,jun,712,1,60,3,failure,True
26,student,single,tertiary,no,294,no,no,cellular,5,mar,87,1,91,2,success,True
34,management,married,tertiary,no,0,yes,no,cellular,30,apr,300,1,86,1,success,True
61,retired,married,tertiary,no,2557,yes,no,cellular,10,feb,158,2,92,5,success,True
64,retired,married,primary,no,12067,no,no,telephone,30,jul,367,2,92,2,success,True
29,blue-collar,single,secondary,no,734,yes,yes,cellular,30,apr,259,1,296,1,other,True
44,management,married,tertiary,no,1791,no,no,cellular,11,feb,71,1,190,1,success,True
52,management,married,tertiary,no,3634,no,no,cellular,8,feb,341,8,client was not previously contacted,0,unknown,True
76,retired,married,primary,no,3324,no,no,cellular,13,nov,122,1,92,3,success,True
33,services,married,secondary,no,114,no,yes,unknown,3,jul,676,1,client was not previously contacted,0,unknown,True
32,technician,single,tertiary,no,-770,yes,no,cellular,18,may,618,1,client was not previously contacted,0,unknown,True
29,admin.,single,secondary,no,1277,no,no,cellular,20,jul,165,2,481,1,success,True
29,admin.,single,secondary,no,27,yes,no,cellular,6,may,754,1,client was not previously contacted,0,unknown,True
33,management,divorced,tertiary,no,2885,no,no,cellular,5,aug,1051,2,client was not previously contacted,0,unknown,True
51,technician,married,secondary,no,117,no,no,cellular,18,feb,442,2,client was not previously contacted,0,unknown,True
35,blue-collar,married,secondary,no,149,yes,no,cellular,29,apr,507,3,349,1,other,True
62,retired,married,secondary,no,3114,no,no,cellular,18,may,243,2,186,1,success,True
39,technician,single,tertiary,no,25,yes,no,cellular,28,dec,315,1,210,2,success,True
28,blue-collar,single,secondary,no,1348,yes,no,cellular,6,aug,221,2,client was not previously contacted,0,unknown,True
61,admin.,married,secondary,no,4608,no,no,cellular,12,mar,212,1,client was not previously contacted,0,unknown,True
31,self-employed,single,tertiary,no,2589,no,no,cellular,21,nov,614,1,client was not previously contacted,0,unknown,True
55,technician,married,tertiary,no,-466,yes,no,cellular,15,may,901,1,client was not previously contacted,0,unknown,True
53,technician,divorced,tertiary,no,2228,no,no,cellular,17,nov,890,1,client was not previously contacted,0,unknown,True
43,technician,married,secondary,no,-754,yes,yes,cellular,9,jul,727,3,client was not previously contacted,0,unknown,True
58,entrepreneur,married,secondary,no,670,yes,no,cellular,12,may,1272,1,client was not previously contacted,0,unknown,True
47,management,single,tertiary,no,334,yes,no,cellular,26,mar,360,1,326,8,failure,True
28,management,single,tertiary,no,874,yes,no,cellular,5,jun,509,1,client was not previously contacted,0,unknown,True
29,blue-collar,single,secondary,no,322,no,no,unknown,14,jun,434,1,96,6,other,True
41,blue-collar,married,primary,no,1461,yes,no,unknown,6,jun,554,2,client was not previously contacted,0,unknown,True
51,management,single,tertiary,no,297,yes,no,cellular,15,may,415,4,375,1,failure,True
26,self-employed,single,tertiary,no,168,no,no,cellular,30,apr,394,1,client was not previously contacted,0,unknown,True
20,student,single,secondary,no,215,no,no,cellular,24,feb,175,1,92,6,success,True
36,technician,single,secondary,no,4136,yes,no,unknown,30,may,812,3,client was not previously contacted,0,unknown,True
25,technician,single,tertiary,no,1231,no,no,cellular,31,aug,271,2,client was not previously contacted,0,unknown,True
42,blue-collar,married,primary,no,2103,yes,no,cellular,13,apr,384,2,client was not previously contacted,0,unknown,True
62,management,married,tertiary,no,0,no,no,cellular,3,sep,299,1,client was not previously contacted,0,unknown,True
50,management,married,tertiary,no,5108,yes,no,cellular,18,dec,406,1,182,2,failure,True
53,blue-collar,married,primary,yes,-462,no,no,cellular,29,jan,470,1,client was not previously contacted,0,unknown,True
29,unemployed,single,primary,no,550,no,no,cellular,29,jan,801,1,client was not previously contacted,0,unknown,True
27,blue-collar,single,primary,no,232,yes,no,cellular,26,oct,701,2,client was not previously contacted,0,unknown,True
74,retired,married,primary,no,1413,no,no,cellular,25,feb,385,2,client was not previously contacted,0,unknown,True
30,management,single,tertiary,no,12857,yes,no,cellular,6,nov,150,1,client was not previously contacted,0,unknown,True
28,student,single,tertiary,no,3054,no,no,cellular,30,apr,384,1,80,6,other,True
90,retired,divorced,secondary,no,1,no,no,cellular,13,feb,152,3,client was not previously contacted,0,unknown,True
34,blue-collar,married,secondary,no,1464,yes,no,cellular,28,aug,207,3,130,5,other,True
31,self-employed,married,tertiary,no,168,no,no,cellular,4,feb,193,2,client was not previously contacted,0,unknown,True
28,admin.,divorced,secondary,no,-504,yes,yes,cellular,14,may,578,1,client was not previously contacted,0,unknown,True
25,technician,single,secondary,no,7103,yes,no,cellular,28,may,188,3,10,1,failure,True
51,management,single,secondary,no,1610,yes,no,unknown,16,jun,1248,3,client was not previously contacted,0,unknown,True
36,admin.,divorced,secondary,no,592,no,no,cellular,13,oct,204,2,99,5,failure,True
58,management,divorced,tertiary,no,5701,no,no,cellular,2,feb,521,1,client was not previously contacted,0,unknown,True
40,unemployed,married,secondary,no,1960,yes,no,unknown,2,jun,605,6,client was not previously contacted,0,unknown,True
33,blue-collar,divorced,secondary,no,3546,yes,no,unknown,23,may,777,2,client was not previously contacted,0,unknown,True
30,admin.,single,secondary,no,1309,no,no,cellular,28,jan,622,1,client was not previously contacted,0,unknown,True
34,blue-collar,married,secondary,no,243,yes,no,cellular,18,may,507,1,client was not previously contacted,0,unknown,True
39,management,married,secondary,no,2981,no,no,cellular,26,mar,200,1,client was not previously contacted,0,unknown,True
41,unemployed,married,secondary,no,1077,yes,yes,telephone,9,dec,207,3,387,2,failure,True
39,blue-collar,divorced,primary,no,1317,yes,no,cellular,20,nov,543,1,170,4,other,True
59,technician,divorced,secondary,no,2396,no,no,cellular,20,nov,488,1,client was not previously contacted,0,unknown,True
33,services,single,secondary,no,152,yes,no,cellular,25,may,202,2,365,2,success,True
52,unknown,married,unknown,no,5361,no,no,cellular,5,aug,607,3,client was not previously contacted,0,unknown,True
53,unemployed,divorced,secondary,no,587,no,no,cellular,19,nov,561,1,client was not previously contacted,0,unknown,True
