Buying price,Doors,Maintenance costs,Persons,Safety score,Trunk size,label
low,two,very high,two,medium,medium,0
low,two,medium,two,medium,big,0
medium,five or more,low,two,medium,small,0
very high,five or more,low,two,medium,small,0
low,two,high,two,low,medium,0
very high,four,very high,two,medium,big,0
high,three,low,two,low,medium,0
medium,two,high,four,low,small,0
high,three,very high,two,low,big,0
high,three,medium,more than four,medium,medium,1
low,three,very high,more than four,high,big,1
very high,three,low,four,medium,big,1
high,three,high,more than four,medium,medium,1
very high,two,very high,more than four,medium,big,0
high,two,low,four,medium,small,0
medium,two,medium,four,medium,big,1
medium,five or more,low,more than four,medium,big,2
medium,two,medium,four,low,medium,0
medium,four,low,more than four,medium,medium,2
very high,four,high,two,low,medium,0
very high,two,very high,more than four,high,big,0
low,two,very high,more than four,low,big,0
low,three,high,four,low,small,0
high,three,high,more than four,high,small,1
medium,four,very high,two,low,small,0
medium,three,very high,four,medium,big,1
medium,four,very high,two,high,medium,0
high,two,very high,four,low,big,0
high,five or more,high,four,high,small,1
medium,five or more,high,two,high,big,0
low,five or more,very high,more than four,high,medium,1
low,five or more,low,two,low,medium,0
high,two,low,more than four,high,medium,1
medium,two,medium,four,medium,medium,1
high,two,medium,more than four,medium,small,0
high,five or more,medium,four,high,small,1
low,two,medium,four,high,medium,2
high,five or more,medium,two,medium,medium,0
very high,two,low,more than four,high,medium,1
medium,two,medium,more than four,medium,big,1
high,two,medium,two,high,medium,0
high,five or more,high,more than four,high,big,1
very high,four,very high,more than four,medium,big,0
low,three,low,more than four,medium,big,2
very high,five or more,very high,two,medium,small,0
high,two,very high,two,medium,small,0
low,two,medium,two,high,small,0
high,two,medium,four,low,big,0
very high,four,medium,two,low,medium,0
very high,four,medium,four,low,small,0
medium,two,low,two,high,medium,0
low,four,medium,more than four,low,big,0
very high,three,very high,four,medium,small,0
very high,five or more,medium,two,high,medium,0
medium,four,low,four,high,medium,3
very high,five or more,very high,four,medium,medium,0
very high,two,very high,two,low,medium,0
medium,three,high,more than four,high,small,1
very high,five or more,medium,two,high,small,0
medium,three,low,more than four,low,big,0
very high,five or more,low,more than four,low,small,0
very high,two,high,two,high,small,0
medium,five or more,low,four,high,big,3
medium,two,high,four,high,small,1
