Buying price,Doors,Maintenance costs,Persons,Safety score,Trunk size,label
high,two,low,four,low,small,0
medium,three,low,four,high,small,2
high,two,very high,more than four,low,medium,0
high,two,low,four,medium,medium,0
low,two,low,more than four,medium,big,2
medium,three,medium,two,high,medium,0
medium,five or more,low,four,high,small,2
low,four,high,four,low,medium,0
very high,two,very high,four,low,small,0
very high,five or more,high,two,medium,big,0
very high,three,high,four,high,medium,0
high,five or more,very high,more than four,medium,small,0
low,two,high,two,low,small,0
low,five or more,high,four,low,small,0
very high,five or more,high,more than four,high,small,0
medium,five or more,high,two,low,small,0
medium,three,low,more than four,high,small,2
low,two,low,four,low,small,0
very high,three,low,four,medium,small,0
high,five or more,high,four,medium,small,0
very high,five or more,low,more than four,medium,small,0
low,two,high,more than four,medium,small,0
medium,five or more,very high,two,high,small,0
high,four,high,four,high,small,1
medium,five or more,very high,two,low,small,0
high,two,high,two,high,medium,0
medium,five or more,very high,four,medium,big,1
high,two,very high,four,high,medium,0
low,five or more,high,more than four,high,medium,3
low,four,low,two,medium,big,0
medium,five or more,very high,more than four,medium,medium,1
very high,three,very high,two,medium,big,0
