white piece strength,white piece file,white piece rank,black piece strength,black piece file,black piece rank,label
0,0,7,0,5,6,True
7,6,7,0,6,1,True
6,4,7,5,4,8,True
0,1,7,0,6,3,True
7,0,0,7,1,8,True
4,2,7,0,2,1,True
4,0,0,6,5,7,False
5,2,8,6,5,7,True
6,4,7,0,5,3,True
4,0,0,7,4,0,False
0,2,5,0,2,8,True
6,0,2,5,2,7,True
7,1,2,6,2,2,True
7,6,7,0,4,1,False
4,0,2,0,1,4,False
4,1,8,7,1,2,True
4,4,1,7,2,6,False
0,0,4,4,2,8,False
7,6,8,4,2,0,False
6,6,1,4,4,8,True
6,2,8,6,0,2,True
0,6,2,6,3,4,False
4,2,8,0,4,6,True
0,2,0,7,3,5,False
0,5,8,4,6,7,True
7,3,7,6,5,2,True
7,4,1,0,6,8,True
0,6,8,7,0,4,True
0,3,7,6,5,2,True
6,6,3,0,3,3,True
7,0,4,7,4,8,False
7,6,6,6,3,3,False
7,0,6,6,0,0,False
4,1,2,6,2,7,False
4,1,0,7,0,3,False
6,5,1,6,0,2,False
5,0,7,6,0,1,True
0,4,4,4,1,1,False
6,5,8,0,0,2,True
7,5,8,4,1,7,True
5,6,5,6,0,4,True
6,4,7,7,1,7,True
4,1,7,6,3,2,False
7,5,2,7,3,4,False
7,3,7,6,2,0,True
0,5,8,7,0,5,True
5,1,8,6,3,3,True
7,5,8,0,2,1,True
4,6,5,0,4,2,False
0,6,8,4,0,4,True
7,3,4,6,0,8,True
7,3,2,4,1,1,True
0,6,1,6,5,6,False
7,6,3,6,3,5,False
0,5,2,0,1,7,True
0,4,6,4,2,7,True
0,5,5,0,1,7,False
0,6,4,6,1,0,False
0,6,7,7,5,8,False
6,6,7,7,5,2,True
7,6,8,6,4,8,True
0,0,5,4,0,8,False
4,1,0,0,0,8,True
7,1,6,7,6,3,True
