Buying price,Doors,Maintenance costs,Persons,Safety score,Trunk size,label
low,four,high,four,medium,big,1
low,four,low,two,low,medium,0
very high,two,low,four,low,small,0
medium,two,very high,more than four,medium,big,1
very high,two,very high,more than four,medium,big,0
low,five or more,high,two,high,small,0
high,three,low,two,medium,small,0
low,five or more,high,four,high,medium,3
low,two,low,two,medium,big,0
high,two,very high,more than four,low,small,0
very high,four,very high,two,low,small,0
high,two,low,more than four,high,big,1
medium,two,high,more than four,medium,medium,0
high,five or more,very high,two,low,big,0
medium,two,very high,four,low,small,0
very high,five or more,very high,two,high,small,0
medium,three,medium,four,high,small,1
very high,three,medium,more than four,medium,small,0
low,three,medium,more than four,medium,small,1
high,two,low,four,high,medium,1
very high,four,high,four,medium,big,0
very high,five or more,very high,two,medium,medium,0
medium,three,high,more than four,low,small,0
medium,four,low,two,high,small,0
high,four,low,four,low,big,0
medium,four,high,four,low,small,0
low,three,high,two,high,small,0
medium,five or more,low,more than four,high,medium,3
high,three,low,two,high,small,0
medium,two,very high,two,high,small,0
medium,five or more,high,more than four,low,small,0
very high,two,very high,two,medium,big,0
medium,three,medium,four,medium,medium,1
medium,five or more,low,two,low,big,0
high,two,very high,more than four,high,small,0
high,five or more,low,four,high,medium,1
high,three,very high,two,high,medium,0
very high,two,low,more than four,medium,small,0
high,two,medium,four,high,small,1
low,five or more,very high,two,high,medium,0
high,three,medium,four,low,medium,0
low,five or more,low,two,medium,medium,0
very high,four,high,four,low,big,0
high,five or more,very high,four,low,big,0
low,four,high,four,high,medium,3
medium,four,medium,two,low,small,0
medium,five or more,high,four,low,big,0
high,four,high,more than four,low,medium,0
medium,two,medium,more than four,low,medium,0
low,two,low,two,high,small,0
medium,five or more,high,four,high,medium,1
high,five or more,very high,more than four,high,big,0
low,five or more,high,four,low,small,0
low,four,low,more than four,low,medium,0
medium,two,low,two,high,medium,0
low,five or more,medium,four,medium,big,2
low,five or more,low,two,low,medium,0
very high,two,medium,four,medium,small,0
low,five or more,medium,four,medium,small,1
very high,five or more,very high,four,low,big,0
very high,three,very high,four,low,medium,0
low,four,very high,more than four,high,small,1
high,four,medium,four,medium,small,0
low,three,high,two,low,medium,0
