buying,doors,maint,persons,safety_dict,lug_boot,label
med,4,low,4,high,med,3
vhigh,5more,med,more,high,med,1
low,3,vhigh,2,low,small,0
high,2,med,2,high,big,0
vhigh,5more,vhigh,2,med,med,0
med,5more,vhigh,more,high,med,1
vhigh,3,high,4,med,big,0
vhigh,3,high,more,low,med,0
vhigh,5more,low,more,high,big,1
high,2,med,more,high,big,1
vhigh,2,low,2,low,med,0
med,2,med,4,high,big,3
med,2,vhigh,more,med,small,0
high,5more,high,2,high,med,0
low,3,med,2,low,small,0
med,3,low,more,high,small,2
low,5more,low,4,high,med,3
vhigh,4,low,4,low,med,0
med,3,low,4,low,big,0
vhigh,4,med,more,low,med,0
high,5more,high,4,high,small,1
high,4,high,2,med,small,0
high,4,med,more,low,small,0
low,3,vhigh,2,med,med,0
vhigh,5more,vhigh,2,high,small,0
vhigh,4,med,4,high,med,1
low,2,low,4,low,big,0
med,2,high,4,med,big,1
med,4,med,4,low,small,0
low,2,med,more,low,small,0
low,5more,med,more,med,small,1
med,5more,low,2,low,small,0
