Buying price,Doors,Maintenance costs,Persons,Safety score,Trunk size,label
medium,two,medium,four,medium,medium,1
high,three,low,four,high,big,1
high,two,high,four,medium,small,0
high,five or more,high,more than four,low,big,0
medium,five or more,medium,more than four,medium,small,1
high,four,high,four,medium,big,1
very high,five or more,low,two,low,small,0
medium,two,low,more than four,medium,big,2
very high,three,low,two,high,medium,0
medium,four,medium,two,low,medium,0
medium,three,high,two,medium,big,0
high,two,low,two,medium,big,0
low,three,medium,four,medium,medium,1
low,two,low,four,high,medium,2
very high,four,medium,two,low,big,0
high,five or more,medium,more than four,medium,small,0
high,two,high,two,medium,small,0
low,five or more,low,more than four,low,small,0
high,four,low,two,low,medium,0
very high,four,very high,two,high,big,0
medium,three,low,two,high,small,0
very high,four,very high,more than four,high,medium,0
low,five or more,low,four,high,medium,3
very high,four,medium,more than four,low,big,0
low,two,high,more than four,high,big,3
medium,four,very high,four,low,medium,0
low,two,high,four,medium,big,1
very high,two,medium,more than four,medium,small,0
high,two,low,more than four,medium,small,0
medium,two,low,more than four,low,big,0
high,two,low,four,low,small,0
low,two,medium,more than four,high,big,3
