age,type of job,marital status,education,has credit in default?,"average yearly balance, in euros",has housing loan?,has personal loan?,contact communication type,last contact day of the month,last contact month of year,"last contact duration, in seconds",number of contacts performed during this campaign and for this client,number of days that passed by after the client was last contacted from a previous campaign,number of contacts performed before this campaign and for this client,outcome of the previous marketing campaign,label
43,blue-collar,married,secondary,no,-179,yes,no,cellular,30,jul,335,6,client was not previously contacted,0,unknown,False
37,management,married,secondary,no,859,no,no,cellular,28,aug,246,15,client was not previously contacted,0,unknown,False
46,entrepreneur,married,secondary,no,-880,no,yes,cellular,12,aug,185,2,client was not previously contacted,0,unknown,False
32,admin.,divorced,secondary,yes,-18,yes,no,unknown,12,may,155,3,client was not previously contacted,0,unknown,False
39,blue-collar,married,primary,no,104,yes,no,unknown,4,jun,624,2,client was not previously contacted,0,unknown,False
55,retired,married,tertiary,no,357,yes,no,cellular,11,aug,526,1,103,1,failure,False
29,unemployed,single,unknown,no,1584,no,no,cellular,6,sep,245,1,client was not previously contacted,0,unknown,True
38,blue-collar,divorced,primary,no,0,no,no,unknown,12,jun,49,2,client was not previously contacted,0,unknown,False
32,technician,single,secondary,no,90,no,no,cellular,22,aug,278,2,client was not previously contacted,0,unknown,False
38,management,divorced,tertiary,no,-199,yes,no,cellular,18,may,15,3,client was not previously contacted,0,unknown,False
39,entrepreneur,married,tertiary,no,0,no,no,cellular,25,aug,422,10,client was not previously contacted,0,unknown,False
38,management,single,tertiary,no,11971,yes,no,unknown,17,nov,609,2,101,3,failure,False
35,management,divorced,tertiary,no,160,yes,no,unknown,4,jun,141,6,client was not previously contacted,0,unknown,False
54,technician,divorced,secondary,no,136,no,yes,cellular,10,jul,151,4,client was not previously contacted,0,unknown,False
38,self-employed,married,secondary,no,854,yes,yes,cellular,28,dec,112,2,client was not previously contacted,0,unknown,False
60,admin.,divorced,unknown,no,791,yes,no,unknown,13,may,144,1,client was not previously contacted,0,unknown,False
33,management,single,tertiary,no,3495,yes,yes,cellular,21,nov,11,2,client was not previously contacted,0,unknown,False
57,management,married,secondary,no,262,no,no,cellular,25,jul,276,1,client was not previously contacted,0,unknown,False
52,management,married,tertiary,no,1415,no,no,cellular,4,aug,163,1,client was not previously contacted,0,unknown,False
48,unemployed,married,secondary,no,41,yes,no,unknown,5,may,179,2,client was not previously contacted,0,unknown,False
63,retired,divorced,secondary,no,859,no,no,cellular,13,feb,92,1,client was not previously contacted,0,unknown,False
