Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),business,2326,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute 6",27,bank,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1245,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,"car or other, not in attribute 6",33,none,own,1,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,1068,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,2.0,none,yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,951,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",27,bank,rent,4,skilled employee / official,1.0,none,yes,False
no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,9,existing credits paid back duly till now,radio/television,1366,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1.0,none,yes,False
no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,True
no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,... < 100 DM,unemployed,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",65,none,own,2,unemployed/ unskilled - non-resident,1.0,none,yes,True
0 <= ... < 200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/ unskilled - non-resident,1.0,none,yes,False
