Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
2,13,3250,32,True
8,2,500,16,False
2,2,500,4,True
4,5,1250,14,True
23,15,3750,57,False
6,2,500,11,True
14,3,750,21,False
11,1,250,11,False
4,33,8250,98,True
11,1,250,11,False
14,4,1000,26,False
16,7,1750,28,False
4,8,2000,34,True
2,7,1750,77,False
21,3,750,26,True
4,1,250,4,False
2,6,1500,22,False
21,2,500,21,True
0,26,6500,76,True
2,9,2250,75,False
2,5,1250,63,False
11,5,1250,35,False
3,5,1250,12,True
23,2,500,28,False
16,15,3750,87,False
11,3,750,37,False
2,11,2750,46,False
1,14,3500,95,False
2,15,3750,64,False
2,7,1750,58,True
2,6,1500,45,False
21,1,250,21,False
4,1,250,4,False
2,11,2750,40,True
14,3,750,26,False
4,2,500,4,True
4,20,5000,69,True
23,3,750,33,False
16,6,1500,81,False
9,1,250,9,False
23,2,500,26,False
4,2,500,4,False
4,5,1250,35,True
9,9,2250,16,False
74,1,250,74,False
11,2,500,11,False
4,12,3000,34,True
4,9,2250,40,False
10,5,1250,38,False
4,3,750,28,False
21,3,750,35,False
2,2,500,14,False
2,6,1500,28,True
11,3,750,26,False
16,7,1750,39,False
14,1,250,14,False
14,5,1250,74,False
16,1,250,16,False
11,1,250,11,True
21,3,750,70,False
4,6,1500,47,False
11,22,5500,98,False
9,9,2250,45,False
23,2,500,87,False
