Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
11,4,1000,28,False
16,7,1750,39,False
11,2,500,21,False
2,2,500,4,False
4,14,3500,40,False
4,2,500,4,True
11,4,1000,16,True
11,2,500,14,False
4,8,2000,21,False
23,1,250,23,False
21,2,500,23,False
16,1,250,16,False
2,6,1500,16,True
14,1,250,14,False
3,10,2500,33,True
16,2,500,27,False
11,3,750,23,False
14,4,1000,38,False
4,2,500,51,True
4,2,500,14,False
14,3,750,26,False
2,12,3000,82,False
21,13,3250,57,False
4,16,4000,98,True
11,5,1250,41,False
23,3,750,48,False
9,3,750,34,False
11,8,2000,46,False
4,8,2000,34,True
14,5,1250,28,False
9,4,1000,65,False
11,17,4250,79,True
1,9,2250,51,False
2,2,500,4,True
2,1,250,2,False
2,3,750,4,True
4,3,750,16,True
14,7,1750,45,False
5,7,1750,26,True
23,3,750,33,False
4,1,250,4,True
21,1,250,21,False
10,5,1250,38,False
16,4,1000,28,False
11,1,250,11,False
2,2,500,22,False
2,9,2250,75,False
2,1,250,2,False
16,2,500,16,False
2,6,1500,28,True
14,2,500,14,False
2,3,750,14,False
9,2,500,26,False
16,1,250,16,False
4,1,250,4,True
23,3,750,62,False
2,3,750,38,True
9,8,2000,38,True
14,4,1000,64,False
16,1,250,16,False
14,4,1000,57,False
2,4,1000,16,False
4,1,250,4,True
23,1,250,23,False
4,5,1250,58,False
4,1,250,4,True
23,2,500,23,False
4,6,1500,47,False
4,13,3250,39,True
2,2,500,10,True
4,1,250,4,False
4,4,1000,34,True
2,11,2750,79,True
2,44,11000,98,False
7,10,2500,47,False
21,7,1750,38,False
16,4,1000,40,False
2,1,250,2,False
4,6,1500,52,False
2,1,250,2,False
4,2,500,4,False
2,3,750,22,False
5,24,6000,79,False
39,1,250,39,False
2,1,250,2,True
4,1,250,4,False
2,7,1750,77,False
2,4,1000,35,False
21,3,750,64,False
11,7,1750,62,True
6,2,500,11,True
14,18,4500,78,False
10,4,1000,16,False
21,1,250,21,False
2,5,1250,33,True
11,6,1500,41,False
11,4,1000,61,False
2,11,2750,46,True
2,2,500,4,False
21,1,250,21,False
8,9,2250,64,False
2,1,250,2,False
16,10,2500,62,False
4,2,500,13,False
4,6,1500,46,False
2,3,750,19,False
16,1,250,16,False
4,5,1250,58,False
2,2,500,14,False
4,2,500,59,False
16,1,250,16,False
21,2,500,25,False
12,13,3250,59,False
4,1,250,4,False
2,3,750,22,False
2,34,8500,77,True
23,2,500,28,False
2,5,1250,26,False
11,1,250,11,True
4,5,1250,23,True
3,14,3500,35,False
4,7,1750,52,False
14,1,250,14,False
2,1,250,2,False
23,3,750,28,False
11,1,250,11,False
21,16,4000,64,False
2,12,3000,70,True
23,4,1000,87,False
16,2,500,16,False
23,1,250,23,False
2,15,3750,49,True
1,14,3500,95,False
14,3,750,21,False
14,4,1000,26,False
16,6,1500,50,False
2,1,250,2,False
4,1,250,4,False
2,12,3000,52,False
4,2,500,31,False
2,1,250,2,False
2,8,2000,28,True
6,22,5500,28,True
7,9,2250,89,True
2,2,500,14,False
1,24,6000,77,False
2,6,1500,26,True
16,4,1000,45,False
4,14,3500,86,False
9,9,2250,16,False
2,2,500,2,False
2,1,250,2,False
11,2,500,11,False
2,21,5250,52,True
4,11,2750,61,False
23,2,500,26,False
23,5,1250,58,False
21,3,750,26,True
14,7,1750,72,False
4,4,1000,4,False
14,2,500,14,False
16,4,1000,58,False
9,2,500,11,False
4,8,2000,28,False
4,1,250,4,False
2,11,2750,28,False
4,1,250,4,False
11,22,5500,98,False
4,8,2000,40,True
2,1,250,2,False
16,1,250,16,False
14,1,250,14,False
4,2,500,52,False
2,5,1250,16,False
2,2,500,11,True
8,9,2250,58,False
16,6,1500,40,False
14,4,1000,30,False
4,1,250,4,False
4,1,250,4,False
18,8,2000,95,False
2,3,750,24,False
2,1,250,2,False
21,6,1500,86,False
11,1,250,11,False
4,1,250,4,False
2,3,750,9,True
11,2,500,17,False
4,7,1750,82,False
11,2,500,16,False
16,3,750,21,False
2,6,1500,26,False
21,5,1250,60,False
16,5,1250,60,False
2,1,250,2,False
23,1,250,23,False
4,4,1000,26,False
2,2,500,16,False
16,5,1250,27,False
2,2,500,11,True
14,1,250,14,False
4,17,4250,71,True
12,11,2750,23,False
13,3,750,14,True
7,12,3000,86,False
2,4,1000,35,False
2,1,250,2,False
14,1,250,14,False
23,1,250,23,False
4,11,2750,78,False
14,3,750,28,False
4,9,2250,55,False
9,9,2250,54,False
4,7,1750,22,True
23,8,2000,46,False
2,2,500,4,True
11,2,500,24,False
16,3,750,34,False
4,5,1250,46,False
6,3,750,14,False
14,3,750,52,False
9,1,250,9,False
14,4,1000,22,True
14,5,1250,64,False
14,2,500,14,False
2,1,250,2,True
11,1,250,11,False
4,4,1000,26,True
11,1,250,11,False
5,46,11500,98,True
2,5,1250,26,False
4,1,250,4,False
16,5,1250,71,False
3,6,1500,21,False
4,6,1500,35,True
14,2,500,14,False
4,1,250,4,False
5,6,1500,28,False
11,11,2750,38,False
11,7,1750,37,False
2,6,1500,28,False
11,2,500,26,False
4,3,750,71,False
4,20,5000,69,True
23,7,1750,88,False
2,5,1250,11,True
4,6,1500,14,False
4,1,250,4,False
11,5,1250,35,False
2,16,4000,64,False
21,1,250,21,False
16,2,500,70,False
4,2,500,4,False
21,1,250,21,False
14,1,250,14,False
4,3,750,25,True
