Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
4,1,250,4,False
11,1,250,11,False
16,1,250,16,False
4,5,1250,23,True
4,6,1500,35,False
14,5,1250,26,False
2,4,1000,16,False
2,5,1250,11,True
14,4,1000,38,False
11,6,1500,28,False
23,3,750,39,False
1,14,3500,95,False
2,14,3500,57,True
2,2,500,23,False
14,2,500,14,False
15,16,4000,82,False
2,2,500,11,True
3,1,250,3,True
21,1,250,21,False
4,3,750,25,True
21,2,500,23,False
10,5,1250,38,False
23,2,500,23,False
14,4,1000,40,False
4,2,500,29,False
2,1,250,2,False
4,12,3000,34,True
14,1,250,14,False
1,7,1750,57,False
23,1,250,23,False
4,3,750,16,False
11,1,250,11,False
2,7,1750,77,False
2,4,1000,16,False
2,2,500,11,True
23,4,1000,87,False
21,3,750,38,False
14,1,250,14,False
16,1,250,16,False
4,8,2000,34,True
14,1,250,14,False
2,5,1250,34,False
8,9,2250,64,False
4,2,500,59,False
4,7,1750,58,False
23,1,250,23,False
4,7,1750,82,False
11,5,1250,33,False
4,1,250,4,True
9,1,250,9,False
3,6,1500,21,False
2,11,2750,26,False
2,12,3000,70,True
2,3,750,4,True
14,7,1750,45,False
4,8,2000,21,False
16,7,1750,38,False
16,2,500,16,False
4,1,250,4,False
2,5,1250,16,False
11,1,250,11,False
4,3,750,34,False
23,1,250,23,False
4,7,1750,62,False
11,6,1500,58,False
2,4,1000,26,False
16,1,250,16,False
4,6,1500,43,False
23,3,750,89,False
21,1,250,21,False
11,2,500,26,False
23,4,1000,45,False
4,5,1250,26,True
2,21,5250,52,True
14,8,2000,26,False
4,5,1250,14,True
14,3,750,31,False
2,1,250,2,False
4,1,250,4,False
11,2,500,38,True
3,2,500,23,False
4,5,1250,74,False
4,10,2500,28,True
14,5,1250,74,False
7,5,1250,35,False
38,1,250,38,False
2,4,1000,16,False
11,1,250,11,False
2,1,250,2,False
2,5,1250,16,True
16,10,2500,89,False
2,4,1000,16,False
16,3,750,21,False
23,2,500,28,False
14,1,250,14,False
2,6,1500,26,False
4,2,500,46,False
16,4,1000,33,False
4,6,1500,35,False
11,5,1250,18,False
4,4,1000,34,True
2,2,500,22,False
11,3,750,37,False
2,2,500,11,False
14,4,1000,22,True
3,5,1250,26,False
2,2,500,10,False
21,1,250,21,False
9,9,2250,16,False
4,1,250,4,False
2,4,1000,16,False
21,2,500,35,False
2,10,2500,49,False
2,11,2750,79,True
4,1,250,4,True
9,2,500,11,False
4,1,250,4,False
7,10,2500,47,False
23,5,1250,33,False
4,6,1500,38,True
23,4,1000,53,False
4,6,1500,35,True
4,1,250,4,False
9,2,500,26,False
4,4,1000,46,False
11,7,1750,62,True
2,7,1750,77,False
4,1,250,4,True
