median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,label
3.1587,47.0,998.0,211.0,597.0,185.0,37.75,-122.17,False
6.2503,2.0,12360.0,1747.0,4438.0,1470.0,38.66,-121.13,True
2.5368,35.0,1267.0,212.0,710.0,204.0,32.8,-117.14,False
2.59,21.0,1834.0,321.0,1120.0,314.0,36.71,-119.52,False
4.4375,26.0,2081.0,339.0,906.0,323.0,38.45,-122.66,True
6.3835,31.0,1736.0,250.0,497.0,170.0,36.61,-121.95,True
4.3047,27.0,2676.0,652.0,2661.0,623.0,34.3,-118.45,False
4.9118,26.0,3087.0,532.0,1597.0,483.0,37.55,-122.03,True
3.1979,17.0,841.0,146.0,473.0,154.0,32.96,-115.59,False
2.0,25.0,980.0,276.0,896.0,245.0,34.65,-120.45,False
1.9125,39.0,598.0,149.0,366.0,132.0,35.35,-119.01,False
2.3787,21.0,1607.0,356.0,834.0,352.0,38.29,-122.32,False
2.0547,34.0,1848.0,667.0,1351.0,589.0,34.06,-118.31,True
1.8967,15.0,2342.0,535.0,1064.0,433.0,39.5,-123.34,False
3.5607,21.0,3691.0,640.0,1758.0,603.0,38.83,-121.21,False
4.7019,35.0,1213.0,221.0,790.0,243.0,37.63,-122.09,False
4.9355,34.0,3150.0,518.0,1392.0,480.0,34.25,-118.25,True
2.9705,23.0,2474.0,594.0,1107.0,536.0,32.75,-117.16,True
2.1776,46.0,879.0,253.0,1010.0,221.0,34.01,-118.26,False
3.4048,30.0,2722.0,584.0,628.0,384.0,36.55,-121.94,True
5.6047,34.0,988.0,173.0,759.0,184.0,33.81,-117.92,True
3.3447,21.0,3235.0,648.0,1820.0,614.0,36.79,-119.84,False
4.6976,36.0,2381.0,419.0,1669.0,444.0,33.92,-118.09,False
1.9125,36.0,1813.0,560.0,1501.0,544.0,34.14,-118.24,True
2.1833,52.0,5486.0,1044.0,1977.0,754.0,40.35,-121.03,False
2.4659,45.0,1778.0,339.0,839.0,319.0,38.35,-121.99,False
3.0417,25.0,1611.0,383.0,554.0,327.0,33.67,-117.95,False
3.5083,52.0,1777.0,454.0,671.0,439.0,34.08,-118.33,True
4.1765,52.0,2204.0,498.0,899.0,445.0,33.77,-118.15,True
2.0871,20.0,1273.0,354.0,1548.0,355.0,33.64,-116.11,False
1.998,27.0,12342.0,2630.0,1300.0,566.0,34.24,-116.94,False
2.1667,11.0,1161.0,235.0,640.0,210.0,33.72,-117.28,False
5.3922,34.0,4613.0,749.0,2050.0,725.0,37.28,-121.9,True
1.9138,29.0,2274.0,514.0,1234.0,521.0,36.32,-119.28,False
4.3939,22.0,14034.0,3020.0,6266.0,2952.0,37.5,-122.31,True
6.3434,30.0,2532.0,464.0,1056.0,419.0,33.89,-118.39,True
3.7609,6.0,3157.0,721.0,1695.0,710.0,33.55,-117.67,True
15.0001,38.0,2176.0,266.0,798.0,243.0,34.19,-118.2,True
2.6458,41.0,570.0,135.0,466.0,121.0,33.93,-118.27,False
2.25,20.0,4810.0,1074.0,1304.0,740.0,33.69,-116.5,True
2.4511,37.0,709.0,187.0,390.0,142.0,33.2,-115.6,False
3.3239,52.0,4001.0,809.0,1886.0,756.0,37.76,-122.47,True
3.3571,17.0,3139.0,569.0,1612.0,516.0,34.06,-117.38,False
2.7143,31.0,1291.0,356.0,1252.0,373.0,33.64,-117.93,True
