median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,label
7.2211,23.0,1655.0,223.0,706.0,219.0,37.68,-121.92,True
4.6625,44.0,2324.0,413.0,823.0,375.0,38.6,-121.45,False
4.8286,17.0,4713.0,740.0,2531.0,723.0,32.87,-116.96,False
4.8274,21.0,1738.0,295.0,983.0,298.0,32.57,-117.12,False
2.2917,44.0,376.0,87.0,273.0,107.0,34.09,-117.28,False
1.755,47.0,1486.0,335.0,765.0,329.0,40.8,-124.15,False
2.6875,23.0,1494.0,275.0,678.0,235.0,36.27,-119.25,False
2.4263,32.0,1174.0,373.0,1758.0,361.0,33.97,-118.15,False
4.038,52.0,2657.0,772.0,1014.0,685.0,37.8,-122.42,True
8.1888,37.0,5477.0,833.0,1925.0,757.0,34.09,-118.53,True
2.3583,41.0,1045.0,233.0,632.0,230.0,37.37,-121.01,False
6.2064,29.0,3393.0,574.0,1471.0,587.0,34.17,-118.58,True
2.2155,31.0,2931.0,716.0,1969.0,588.0,35.35,-119.0,False
3.2355,30.0,3745.0,767.0,1762.0,748.0,36.66,-121.65,True
5.6677,26.0,2342.0,383.0,1290.0,394.0,33.86,-118.02,True
3.0476,45.0,3803.0,970.0,1690.0,871.0,34.02,-118.46,True
2.5434,28.0,2223.0,752.0,1271.0,684.0,34.1,-118.34,True
1.4833,23.0,1387.0,325.0,640.0,289.0,39.53,-121.65,False
3.3389,33.0,1782.0,394.0,1517.0,376.0,34.03,-117.95,False
2.6384,47.0,1147.0,297.0,1097.0,307.0,33.97,-118.22,False
2.3347,36.0,2341.0,520.0,2138.0,523.0,34.05,-117.66,False
3.775,9.0,2356.0,469.0,1556.0,386.0,34.43,-118.66,False
4.2386,44.0,2795.0,496.0,1235.0,469.0,34.16,-118.1,True
7.6091,43.0,2228.0,438.0,960.0,395.0,34.09,-118.6,True
3.4079,18.0,3469.0,661.0,1452.0,628.0,37.69,-121.0,False
2.1563,22.0,2623.0,732.0,1283.0,718.0,32.76,-117.13,False
4.0329,16.0,2331.0,450.0,1074.0,400.0,38.34,-121.97,False
5.3254,24.0,534.0,88.0,249.0,74.0,33.7,-117.88,True
2.6087,21.0,1937.0,389.0,1002.0,373.0,37.25,-121.0,False
