median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,label
0.536,33.0,69.0,28.0,47.0,14.0,37.44,-121.31,False
4.7009,22.0,5215.0,1193.0,2048.0,1121.0,34.05,-118.47,True
3.5,31.0,3073.0,617.0,2640.0,594.0,34.09,-117.98,False
2.7201,17.0,3145.0,621.0,1432.0,559.0,38.75,-120.63,False
5.305,5.0,7748.0,1557.0,4768.0,1393.0,34.4,-118.52,True
2.375,42.0,2050.0,434.0,1073.0,416.0,38.42,-122.74,False
2.3,28.0,3008.0,629.0,2537.0,596.0,33.79,-118.22,False
3.0938,32.0,1203.0,287.0,571.0,255.0,38.25,-122.04,False
3.9485,35.0,3669.0,617.0,1694.0,585.0,32.72,-117.05,False
2.5025,38.0,2152.0,451.0,1320.0,457.0,37.79,-121.22,False
2.8233,31.0,4345.0,1158.0,1987.0,1070.0,34.06,-118.38,True
2.2545,18.0,4297.0,1420.0,4332.0,1286.0,34.07,-118.25,True
3.0114,47.0,1453.0,356.0,787.0,345.0,34.16,-118.27,True
4.1458,6.0,2104.0,348.0,841.0,320.0,34.1,-116.38,False
4.5744,52.0,2302.0,457.0,1154.0,424.0,37.74,-122.49,True
3.5208,19.0,3814.0,790.0,2219.0,804.0,37.69,-121.02,False
4.125,52.0,836.0,175.0,747.0,166.0,33.95,-118.37,False
4.1719,5.0,1113.0,186.0,631.0,168.0,34.58,-118.08,False
5.0,18.0,5505.0,1005.0,2641.0,971.0,37.56,-121.99,True
3.7437,36.0,2000.0,533.0,1234.0,535.0,34.1,-118.21,True
0.9,52.0,3260.0,1535.0,3260.0,1457.0,37.8,-122.41,True
3.2171,16.0,2017.0,423.0,1177.0,414.0,39.44,-123.79,False
2.1776,35.0,2159.0,492.0,1694.0,475.0,32.67,-115.5,False
1.9152,28.0,2160.0,608.0,1339.0,571.0,32.76,-117.12,False
2.7663,29.0,4610.0,1043.0,1569.0,592.0,34.25,-117.31,False
6.5284,16.0,1426.0,216.0,652.0,226.0,33.9,-117.89,True
7.266,52.0,2640.0,366.0,973.0,355.0,37.89,-122.27,True
1.8315,28.0,1768.0,423.0,1066.0,392.0,37.67,-120.99,False
2.8393,15.0,2654.0,530.0,1267.0,489.0,37.31,-119.64,False
2.2734,47.0,2161.0,440.0,966.0,360.0,38.09,-122.22,False
1.9074,37.0,2451.0,668.0,2824.0,598.0,34.01,-118.26,False
1.6336,23.0,6379.0,1636.0,1350.0,568.0,34.24,-116.91,False
