Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,3620,... < 100 DM,1 <= ... < 4 years,1,male : single,guarantor,2,building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,2.0,none,yes,True
0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,14421,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,36,existing credits paid back duly till now,furniture/equipment,9034,100 <= ... < 500 DM,... < 1 year,4,male : single,co-applicant,1,unknown / no property,29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,36,critical account/ other credits existing (not at this bank),furniture/equipment,7127,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
< 0 DM,36,existing credits paid back duly till now,others,15857,... < 100 DM,unemployed,2,male : divorced/separated,co-applicant,3,"car or other, not in attribute 6",43,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,True
no checking account,10,existing credits paid back duly till now,car (new),1546,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,31,none,own,1,unskilled - resident,2.0,none,no,True
0 <= ... < 200 DM,6,all credits at this bank paid back duly,education,433,... >= 1000 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,24,bank,rent,1,skilled employee / official,2.0,none,yes,False
0 <= ... < 200 DM,12,existing credits paid back duly till now,repairs,639,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,4439,... < 100 DM,... >= 7 years,1,male : single,co-applicant,1,real estate,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,21,existing credits paid back duly till now,business,1572,... >= 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1.0,none,yes,True
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,522,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,42,none,own,2,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
< 0 DM,6,existing credits paid back duly till now,education,448,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1.0,none,yes,False
< 0 DM,21,existing credits paid back duly till now,radio/television,2606,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,30,existing credits paid back duly till now,radio/television,2522,... < 100 DM,... >= 7 years,1,male : single,guarantor,3,building society savings agreement/ life insurance,39,none,own,1,skilled employee / official,2.0,none,yes,True
no checking account,24,existing credits paid back duly till now,radio/television,3235,500 <= ... < 1000 DM,... >= 7 years,3,male : divorced/separated,none,2,"car or other, not in attribute 6",26,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2223,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,52,bank,own,2,skilled employee / official,1.0,none,yes,True
no checking account,12,existing credits paid back duly till now,radio/television,707,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,30,bank,own,2,skilled employee / official,1.0,none,yes,True
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2404,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1.0,none,yes,True
>= 200 DM,36,existing credits paid back duly till now,radio/television,4473,... < 100 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute 6",35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,2,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1670,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
no checking account,36,existing credits paid back duly till now,car (used),8133,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,30,bank,own,1,skilled employee / official,1.0,none,yes,True
no checking account,24,delay in paying off in the past,business,3863,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,unknown / no property,32,none,for free,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1941,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,35,none,own,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,True
no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= ... < 500 DM,... >= 7 years,2,male : single,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
no checking account,20,critical account/ other credits existing (not at this bank),car (new),3485,unknown/ no savings account,... < 1 year,2,male : divorced/separated,none,4,real estate,44,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,54,no credits taken/ all credits paid back duly,business,15945,... < 100 DM,... < 1 year,3,male : single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
< 0 DM,39,critical account/ other credits existing (not at this bank),furniture/equipment,14179,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,building society savings agreement/ life insurance,30,none,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 <= ... < 500 DM,... < 1 year,4,male : single,none,1,"car or other, not in attribute 6",27,none,own,1,skilled employee / official,1.0,none,yes,True
