Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
no checking account,36,critical account/ other credits existing (not at this bank),car (new),6614,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,... >= 7 years,2,male : single,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1.0,none,yes,True
< 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,2,skilled employee / official,1.0,none,yes,False
< 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1038,... < 100 DM,4 <= ... < 7 years,4,male : single,co-applicant,3,building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,3,"car or other, not in attribute 6",35,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,3108,... < 100 DM,... < 1 year,2,male : divorced/separated,none,4,building society savings agreement/ life insurance,31,none,own,1,unskilled - resident,1.0,none,yes,False
>= 200 DM,15,existing credits paid back duly till now,education,1905,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",40,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,15,existing credits paid back duly till now,education,4623,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/ life insurance,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,36,existing credits paid back duly till now,furniture/equipment,9034,100 <= ... < 500 DM,... < 1 year,4,male : single,co-applicant,1,unknown / no property,29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (used),5129,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,74,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,car (new),8358,500 <= ... < 1000 DM,... < 1 year,1,female : divorced/separated/married,none,1,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1743,... < 100 DM,... >= 7 years,4,male : single,none,2,building society savings agreement/ life insurance,48,none,own,2,unskilled - resident,1.0,none,yes,True
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1055,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,6,delay in paying off in the past,business,1449,100 <= ... < 500 DM,... >= 7 years,1,male : divorced/separated,none,2,"car or other, not in attribute 6",31,bank,own,2,skilled employee / official,2.0,none,yes,True
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 <= ... < 500 DM,... < 1 year,4,male : single,none,1,"car or other, not in attribute 6",27,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,12,critical account/ other credits existing (not at this bank),education,2748,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1.0,none,yes,True
< 0 DM,12,existing credits paid back duly till now,car (new),2579,... < 100 DM,... < 1 year,4,male : single,none,1,real estate,33,none,own,1,unskilled - resident,2.0,none,yes,False
no checking account,6,delay in paying off in the past,radio/television,932,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,... >= 7 years,4,male : single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1.0,none,yes,True
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,717,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,52,none,own,3,skilled employee / official,1.0,none,yes,True
< 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,338,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",52,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,15,delay in paying off in the past,car (used),3594,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,46,none,own,2,unskilled - resident,1.0,none,yes,True
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1800,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",24,none,own,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,... >= 1000 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,22,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,12,existing credits paid back duly till now,business,1076,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",no,True
0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1.0,none,yes,False
no checking account,36,delay in paying off in the past,business,7980,unknown/ no savings account,... < 1 year,4,male : single,none,4,"car or other, not in attribute 6",27,none,rent,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
>= 200 DM,30,critical account/ other credits existing (not at this bank),radio/television,3017,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,47,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2273,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,2.0,none,yes,True
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1471,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,35,none,for free,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,business,841,100 <= ... < 500 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1.0,none,yes,True
no checking account,48,critical account/ other credits existing (not at this bank),car (used),8858,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown/ no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,real estate,45,none,own,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,True
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,5150,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute 6",33,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1.0,none,no,True
< 0 DM,24,all credits at this bank paid back duly,car (new),1193,... < 100 DM,unemployed,1,female : divorced/separated/married,co-applicant,4,unknown / no property,29,none,rent,2,unemployed/ unskilled - non-resident,1.0,none,yes,False
0 <= ... < 200 DM,12,existing credits paid back duly till now,business,1037,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,4,real estate,39,none,own,1,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1163,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,44,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,72,existing credits paid back duly till now,radio/television,5595,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1.0,none,yes,False
< 0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,True
no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 <= ... < 1000 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",40,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2424,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,53,none,own,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,27,critical account/ other credits existing (not at this bank),radio/television,2520,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,23,none,own,2,unskilled - resident,1.0,none,yes,False
no checking account,36,critical account/ other credits existing (not at this bank),radio/television,9566,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",31,stores,own,2,skilled employee / official,1.0,none,yes,True
