Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
0 <= ... < 200 DM,30,delay in paying off in the past,radio/television,1919,100 <= ... < 500 DM,... < 1 year,4,male : single,none,3,unknown / no property,30,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,False
no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,10,existing credits paid back duly till now,car (new),1364,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",64,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,3017,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,real estate,34,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,retraining,754,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,38,none,own,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2273,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,2.0,none,yes,True
no checking account,24,existing credits paid back duly till now,furniture/equipment,3972,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,6,all credits at this bank paid back duly,education,1198,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,35,none,for free,1,skilled employee / official,1.0,none,yes,False
no checking account,12,existing credits paid back duly till now,business,1542,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,"car or other, not in attribute 6",36,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
>= 200 DM,12,delay in paying off in the past,car (new),2247,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",36,stores,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2.0,"yes, registered under the customers name",yes,True
< 0 DM,42,existing credits paid back duly till now,radio/television,3965,... < 100 DM,... < 1 year,4,male : single,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1.0,none,yes,False
no checking account,36,critical account/ other credits existing (not at this bank),radio/television,3342,unknown/ no savings account,... >= 7 years,4,male : single,none,2,"car or other, not in attribute 6",51,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,21,existing credits paid back duly till now,business,1572,... >= 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),business,3652,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1.0,none,yes,True
