median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,label
3.5364,36.0,3982.0,1045.0,2251.0,995.0,37.42,-122.13,True
5.8479,25.0,3319.0,531.0,1560.0,502.0,37.26,-121.89,True
4.8295,44.0,2490.0,430.0,1305.0,411.0,33.95,-118.31,False
4.2768,21.0,6108.0,1130.0,3244.0,1113.0,33.87,-118.27,True
6.1464,34.0,2795.0,460.0,1267.0,443.0,34.25,-118.35,True
4.0156,35.0,1214.0,300.0,478.0,265.0,33.99,-118.46,True
3.9583,42.0,1667.0,395.0,1041.0,387.0,37.74,-122.5,True
4.7961,4.0,1380.0,322.0,755.0,286.0,33.12,-117.29,False
3.3269,15.0,2701.0,576.0,1245.0,513.0,35.65,-117.68,False
2.535,37.0,2116.0,503.0,1109.0,448.0,37.68,-122.1,False
1.5625,17.0,353.0,112.0,359.0,118.0,33.19,-117.38,False
3.5288,42.0,4261.0,840.0,2013.0,801.0,36.66,-121.65,True
4.4271,35.0,1843.0,329.0,1041.0,317.0,34.22,-118.56,True
2.2321,46.0,271.0,74.0,150.0,55.0,34.15,-118.09,True
1.6929,20.0,2373.0,779.0,1659.0,676.0,37.8,-122.26,False
2.6339,41.0,857.0,201.0,934.0,227.0,33.93,-118.2,False
2.9167,43.0,1160.0,304.0,393.0,250.0,34.01,-118.47,True
4.3269,35.0,1117.0,181.0,496.0,168.0,33.82,-117.95,True
2.5172,31.0,1738.0,422.0,746.0,355.0,36.97,-121.94,True
2.2431,41.0,1147.0,243.0,583.0,239.0,39.13,-121.62,False
4.5375,23.0,184.0,44.0,118.0,40.0,37.74,-122.44,True
2.1078,30.0,2294.0,508.0,1753.0,482.0,35.36,-118.95,False
1.3371,29.0,1202.0,290.0,383.0,156.0,34.2,-116.06,False
1.6875,52.0,729.0,160.0,395.0,155.0,37.84,-122.28,False
3.6563,18.0,1703.0,360.0,354.0,163.0,39.17,-120.18,False
2.0324,35.0,1012.0,245.0,633.0,240.0,36.78,-119.81,False
3.2132,19.0,2682.0,518.0,1134.0,399.0,37.39,-118.6,False
3.6053,35.0,1335.0,296.0,635.0,296.0,37.3,-121.92,True
3.9647,12.0,3738.0,710.0,2337.0,664.0,36.14,-121.2,False
2.875,41.0,1440.0,325.0,1014.0,322.0,34.21,-118.44,False
3.775,23.0,407.0,108.0,647.0,96.0,33.73,-117.86,False
2.3523,52.0,1257.0,257.0,624.0,243.0,36.33,-119.65,False
3.2123,17.0,3507.0,696.0,1867.0,709.0,38.14,-121.3,False
3.2614,19.0,3518.0,658.0,2091.0,610.0,33.36,-117.1,False
3.0,46.0,1453.0,306.0,817.0,310.0,37.72,-122.47,True
5.0497,38.0,2968.0,475.0,1176.0,454.0,38.58,-121.38,True
2.2292,45.0,907.0,176.0,463.0,190.0,38.79,-121.23,False
4.7381,43.0,1934.0,303.0,847.0,300.0,37.61,-122.41,True
3.139,25.0,6348.0,1615.0,4188.0,1497.0,33.87,-118.01,True
3.5,49.0,2290.0,482.0,1201.0,479.0,39.44,-123.79,False
2.8649,4.0,2866.0,648.0,1311.0,578.0,34.93,-120.43,True
6.7612,28.0,2040.0,297.0,848.0,280.0,34.2,-118.85,True
3.9408,34.0,1730.0,427.0,1008.0,393.0,33.8,-118.34,True
4.2708,52.0,2082.0,425.0,801.0,411.0,37.75,-122.44,True
6.981,31.0,3190.0,489.0,1362.0,480.0,34.21,-118.33,True
1.2745,15.0,1635.0,553.0,1347.0,597.0,32.67,-117.1,False
2.7875,49.0,2843.0,880.0,2004.0,796.0,34.1,-118.28,True
2.6111,13.0,3239.0,849.0,2751.0,813.0,33.88,-117.59,False
2.6582,15.0,4799.0,1209.0,2554.0,1057.0,34.1,-117.63,False
2.9688,42.0,1597.0,373.0,1311.0,352.0,34.08,-118.03,False
2.0833,50.0,1587.0,448.0,877.0,380.0,38.56,-121.48,False
2.7857,43.0,1455.0,300.0,747.0,279.0,40.58,-122.4,False
4.375,35.0,1309.0,276.0,1113.0,253.0,34.05,-117.95,False
3.7863,34.0,2152.0,430.0,1516.0,386.0,36.95,-121.79,True
5.7652,18.0,3405.0,556.0,1945.0,509.0,33.87,-118.07,True
1.5625,22.0,1665.0,405.0,826.0,382.0,40.59,-124.14,False
1.6148,16.0,3331.0,839.0,1955.0,763.0,36.32,-119.33,False
1.7431,52.0,1391.0,287.0,632.0,276.0,34.95,-120.42,False
3.0,35.0,2248.0,615.0,1762.0,622.0,34.08,-118.12,True
2.64,45.0,2225.0,486.0,1304.0,459.0,37.93,-122.34,False
2.7039,34.0,2129.0,350.0,969.0,314.0,38.95,-121.47,False
2.1838,32.0,1132.0,266.0,1211.0,279.0,33.89,-118.24,False
3.3056,46.0,1840.0,379.0,866.0,360.0,34.18,-118.35,True
1.5417,51.0,902.0,320.0,650.0,334.0,34.14,-118.26,True
5.2736,35.0,2470.0,416.0,1386.0,411.0,33.93,-118.03,False
1.0,33.0,1234.0,373.0,777.0,298.0,33.19,-115.46,False
3.1445,45.0,1607.0,331.0,633.0,332.0,34.11,-118.28,True
2.6083,27.0,2025.0,565.0,2189.0,577.0,34.06,-118.18,False
5.785,25.0,5622.0,998.0,2537.0,1009.0,33.85,-118.37,True
6.5437,14.0,6239.0,901.0,2923.0,904.0,33.9,-117.78,True
1.0,45.0,204.0,62.0,133.0,51.0,39.2,-121.07,False
4.1875,45.0,1165.0,236.0,845.0,251.0,37.57,-122.31,True
3.9864,12.0,5608.0,1049.0,2595.0,1067.0,37.71,-121.73,True
1.6435,34.0,2299.0,579.0,1300.0,536.0,38.55,-121.74,False
2.8942,27.0,1004.0,192.0,470.0,192.0,38.13,-121.3,False
5.3683,26.0,2503.0,449.0,1218.0,426.0,34.01,-118.41,True
3.4432,16.0,1495.0,292.0,472.0,284.0,38.01,-122.53,False
4.0197,17.0,2287.0,390.0,1330.0,393.0,36.59,-119.62,False
6.0531,25.0,2765.0,475.0,1666.0,474.0,33.8,-117.81,True
1.875,44.0,448.0,116.0,504.0,96.0,33.99,-118.24,False
2.182,15.0,4203.0,966.0,1756.0,695.0,34.18,-116.29,False
5.2949,33.0,1984.0,289.0,842.0,276.0,38.65,-121.27,False
5.308,33.0,2005.0,392.0,1043.0,351.0,34.44,-119.15,True
4.636,33.0,2383.0,428.0,1269.0,421.0,34.13,-117.86,True
2.3704,38.0,2082.0,532.0,1592.0,510.0,33.85,-117.92,False
0.9227,11.0,1961.0,435.0,113.0,53.0,38.9,-120.3,False
3.4091,14.0,4407.0,1209.0,2676.0,1128.0,34.23,-118.59,False
5.7157,26.0,2989.0,479.0,1596.0,475.0,33.75,-118.02,True
2.7474,43.0,1772.0,422.0,1573.0,401.0,37.58,-122.33,True
5.2001,16.0,3757.0,650.0,1291.0,614.0,33.75,-118.04,True
1.942,31.0,2712.0,628.0,1519.0,629.0,33.74,-116.97,False
3.6832,20.0,4126.0,1031.0,2079.0,975.0,37.58,-121.98,True
3.2083,34.0,2856.0,555.0,1627.0,522.0,32.78,-115.56,False
3.3715,52.0,2994.0,821.0,1240.0,779.0,37.8,-122.43,True
2.0132,35.0,2624.0,1116.0,3548.0,1008.0,34.09,-118.29,True
2.5104,38.0,2005.0,385.0,882.0,353.0,38.73,-120.81,False
2.5488,42.0,1619.0,340.0,906.0,339.0,37.96,-121.33,False
3.5972,26.0,2145.0,471.0,1150.0,429.0,33.9,-118.14,True
6.0321,17.0,2143.0,324.0,1073.0,330.0,34.44,-119.92,True
2.4583,29.0,749.0,185.0,708.0,196.0,33.92,-118.18,False
6.5847,23.0,3318.0,408.0,1124.0,393.0,37.92,-122.03,True
3.0833,50.0,3518.0,812.0,1724.0,758.0,34.05,-118.36,True
1.6725,47.0,3038.0,1533.0,4225.0,1472.0,34.06,-118.31,True
2.6842,28.0,2616.0,630.0,2218.0,621.0,34.07,-118.18,False
4.1111,10.0,2769.0,619.0,1045.0,469.0,38.03,-121.88,False
2.0417,39.0,2073.0,566.0,1246.0,547.0,34.01,-118.31,False
