median income,median age,total rooms,total bedrooms,population,households,latitude,longitude,label
1.4113,52,945,243,576,220,37.82,-122.28,False
2.4786,14,1508,347,1679,345,36.49,-120.22,False
2.7457,37,1549,301,863,275,38.16,-122.41,True
2.9386,23,3075,860,1584,806,33.74,-118.3,True
6.0994,25,2237,331,1121,365,34.18,-118.95,True
3.8571,24,3756,681,1586,739,36.8,-119.83,False
4.6779,16,1081,181,792,184,38.25,-122.01,False
1.3365,23,1724,576,1336,542,34.01,-118.1,True
1.8355,34,842,186,635,165,39.36,-121.69,False
1.2387,42,4219,1125,3549,993,37.72,-122.42,True
2.4674,31,2450,559,1459,478,37.99,-121.18,False
4.175,18,4813,849,2333,843,38.4,-121.36,False
3.1711,35,3295,560,1454,536,38.59,-121.31,False
2.625,34,431,85,391,77,38.67,-121.63,True
3.6,44,3494,635,693,415,36.55,-121.92,True
5.5922,35,2183,363,988,351,34.45,-119.71,True
7.8252,10,9467,1181,3819,1122,34.16,-117.59,True
3.5673,17,1827,348,766,335,34.65,-118.23,False
4.4,18,2377,414,1359,424,36.28,-119.16,False
1.2413,11,3071,911,2812,774,32.69,-117.1,False
3.4817,15,2966,558,1687,527,38.02,-121.91,False
3.125,11,1214,228,633,199,38.01,-120.24,False
4.5938,17,3523,669,2150,666,37.64,-122.46,True
1.65,52,1494,610,1630,590,37.76,-122.42,True
2.5,52,1009,231,929,210,37.33,-121.9,False
4.3542,42,2304,442,862,429,34.16,-118.36,True
15.0001,37,2716,302,809,291,34.09,-118.41,True
6.3249,15,10860,1653,4178,1581,34.26,-118.62,True
1.3801,39,2062,588,1933,570,33.98,-118.27,False
8.4476,21,3837,578,1509,509,34.04,-118.85,True
3.155,25,3642,726,1729,673,35.11,-120.59,True
6.0062,17,2123,341,1067,339,37.24,-121.78,True
4.7266,38,1862,319,975,305,33.98,-118.06,False
3.0068,23,6010,1116,2710,1149,39.76,-121.82,False
4.7132,50,2113,398,793,418,34.1,-118.27,True
2.0875,13,3801,1116,1986,1078,34.19,-118.31,True
3.5,49,2290,482,1201,479,39.44,-123.79,False
1.6435,25,2581,528,1642,509,36.72,-119.82,False
8.1844,22,3205,429,1083,410,32.81,-117.23,True
7.0897,52,1389,191,514,202,37.86,-122.25,True
1.7679,39,45,8,22,9,37.63,-120.92,True
2.0242,52,1384,295,561,244,38.55,-121.47,False
0.8836,30,1821,738,1648,684,37.8,-122.41,True
2.125,37,1038,222,521,211,37.8,-121.22,False
3.6818,35,1813,393,1093,374,37.65,-122.08,False
3.625,22,1288,243,593,220,38.39,-122.82,True
3.7,35,1051,259,517,234,37.52,-122.27,True
4.6696,17,1317,256,679,272,33.8,-117.92,False
2.726,29,4716,1372,2515,1272,33.84,-118.17,True
1.75,35,2607,685,2016,618,38.13,-121.27,False
3.0,38,2122,394,843,410,35.38,-119.03,False
5.4337,11,3045,522,1563,516,36.3,-119.33,False
3.5192,9,2748,521,1663,565,38.57,-121.31,False
2.5893,29,3494,662,1781,616,36.8,-119.76,False
3.5208,20,260,67,69,50,34.0,-116.57,False
