white piece strength,white piece file,white piece rank,black piece strength,black piece file,black piece rank,label
6,6,1,0,3,2,False
0,5,4,6,2,2,False
6,0,0,7,6,5,False
6,6,3,0,5,6,True
7,3,7,6,4,8,True
6,1,0,6,5,7,False
7,1,0,7,0,8,True
0,1,4,7,3,6,False
0,2,1,7,3,1,True
5,6,8,6,1,1,True
4,4,2,7,3,7,False
4,2,8,7,1,7,True
4,6,6,7,1,8,True
0,6,5,0,2,8,True
0,5,0,6,5,1,False
0,6,1,0,1,1,False
0,0,1,7,3,1,False
0,2,5,6,1,2,True
6,4,8,0,2,4,True
7,1,0,6,5,1,False
5,5,2,6,5,8,False
6,4,1,4,4,8,True
0,3,7,6,2,1,True
4,3,4,0,5,1,False
5,6,2,6,2,6,False
0,5,1,4,3,6,False
0,2,4,7,0,4,True
0,1,4,4,4,7,False
4,5,1,0,1,5,False
4,6,3,7,4,8,False
4,5,1,7,6,3,False
6,0,5,6,6,1,True
