white piece strength,white piece file,white piece rank,black piece strength,black piece file,black piece rank,label
0,1,6,6,1,8,False
6,2,8,7,1,8,True
0,1,0,7,0,4,True
7,1,1,0,1,7,False
7,1,1,0,4,6,False
7,5,8,7,0,8,True
7,3,6,7,0,0,True
6,2,0,4,6,5,True
6,0,3,5,0,5,True
7,2,8,7,4,7,True
0,2,0,7,0,7,True
7,3,5,7,4,1,False
4,1,1,0,1,6,False
7,3,1,7,6,6,False
0,6,4,0,3,6,True
6,1,2,0,2,7,True
0,0,7,4,3,3,False
4,1,0,6,1,7,False
0,5,0,7,1,7,True
0,0,3,4,3,5,False
6,3,1,0,2,7,True
7,3,1,7,0,5,True
0,2,4,0,1,6,True
6,1,2,6,0,7,True
7,4,1,7,5,7,True
6,1,1,7,0,0,False
0,6,5,7,4,6,True
7,6,3,4,2,1,False
6,0,8,7,6,2,True
4,1,2,0,1,4,False
0,4,3,0,2,6,True
5,0,8,6,6,7,True
4,0,0,0,5,8,False
4,6,0,6,6,3,False
4,0,2,7,6,2,False
4,4,7,0,4,0,False
4,4,1,0,3,5,False
6,2,2,6,5,6,True
7,0,4,4,2,8,True
7,1,0,0,6,1,False
7,0,0,0,1,0,True
6,3,1,0,6,8,True
4,3,6,7,5,6,True
6,0,7,0,3,2,False
5,1,0,6,1,1,False
0,0,6,0,6,8,True
5,1,2,6,4,8,False
0,1,3,7,3,5,False
6,6,4,0,3,1,False
0,3,7,7,5,7,True
4,5,8,7,0,7,True
0,2,7,0,1,1,True
0,5,2,4,0,6,False
6,6,8,6,3,6,True
0,6,0,7,0,7,True
5,3,4,6,0,8,True
0,1,3,6,5,0,False
0,1,5,7,6,0,False
6,4,0,7,6,3,True
6,6,4,6,0,5,True
4,1,7,0,5,2,True
7,6,6,0,1,7,False
6,0,4,6,3,5,False
0,2,5,0,5,0,False
