median income,median age,total rooms,total bedrooms,population,households,latitude,longitude,label
1.8015,15,2873,903,1094,659,33.75,-117.01,False
5.0077,35,802,153,445,150,33.93,-118.0,True
3.1563,31,1643,499,1253,499,34.42,-119.71,True
15.0001,38,2176,266,798,243,34.19,-118.2,True
7.2315,35,3701,528,1511,517,37.88,-122.1,True
4.0714,19,2967,528,112,48,39.01,-120.06,True
5.0353,12,6474,1467,2516,1390,37.56,-122.29,True
2.6941,11,3606,699,2074,644,36.93,-120.04,False
2.0881,24,4210,920,1283,829,33.71,-117.2,False
2.964,14,3395,1059,2258,945,37.67,-122.48,True
1.5875,15,1517,361,1275,343,36.42,-119.09,False
3.2792,32,4071,888,1900,874,34.27,-119.24,True
4.6726,6,1891,341,969,330,36.81,-119.87,False
3.4455,4,2142,625,1176,483,33.52,-117.69,True
3.6362,6,5661,1287,2943,1162,34.17,-117.32,False
2.125,30,2502,523,1296,481,40.47,-122.33,False
2.4375,15,4784,1039,1810,986,33.22,-117.32,False
2.7717,52,1006,291,445,257,37.8,-122.44,True
3.8333,15,3042,588,918,336,38.89,-120.03,False
7.8239,29,1720,269,612,258,33.51,-117.74,True
4.2098,35,1458,262,723,257,32.79,-117.13,False
2.1786,46,2054,502,1170,494,35.28,-120.66,True
7.4219,31,1317,284,523,274,34.06,-118.43,True
3.575,52,3095,682,1269,639,37.77,-122.45,True
3.7014,24,2917,543,1878,531,38.15,-122.25,False
4.6357,4,23915,4135,10877,3958,33.15,-117.27,True
3.7419,52,2059,416,999,402,37.79,-122.46,True
2.3068,24,1535,276,664,273,39.77,-121.59,False
4.5814,24,4365,804,2663,753,33.71,-117.89,True
4.0324,22,3272,618,1784,591,33.99,-117.89,True
8.3841,35,1471,210,735,219,34.23,-118.52,True
1.6821,18,2226,490,859,451,40.57,-122.35,False
1.9937,21,1353,380,1688,367,34.07,-118.2,False
1.7418,8,3271,797,2700,688,35.79,-119.25,False
5.8269,16,2084,292,1099,292,38.35,-121.95,False
5.4372,30,2460,403,1277,395,33.79,-118.01,True
2.8359,30,3162,640,1660,639,36.78,-119.83,False
6.6331,36,1389,225,623,223,37.29,-121.9,True
2.918,39,4098,1100,2054,1053,34.0,-118.46,True
3.5333,15,1705,478,759,479,33.9,-117.88,False
6.3586,23,5647,786,2050,738,34.18,-118.83,True
3.7647,32,2622,541,1022,464,37.92,-122.51,True
4.0893,16,1586,377,625,344,34.15,-118.34,True
2.8406,34,5871,1914,2689,1789,37.81,-122.26,True
3.6,32,1444,317,1177,311,34.23,-118.37,False
2.375,36,21,7,21,9,34.03,-118.06,False
3.8304,34,2001,388,1461,397,34.09,-118.04,True
2.3159,13,4503,1137,3094,1091,33.16,-117.2,False
4.1339,26,2641,633,3657,617,33.79,-117.82,True
1.8571,16,4279,951,1596,666,38.99,-122.65,False
10.2849,26,3521,455,1336,451,33.64,-117.87,True
5.6018,16,2355,345,1014,348,38.37,-122.71,True
8.4443,17,3785,494,1527,507,34.15,-118.84,True
3.934,18,943,213,544,179,37.03,-121.79,True
1.3532,14,2374,557,723,427,39.03,-122.91,False
2.5,42,657,147,526,132,33.93,-118.25,False
7.2707,8,3088,474,1799,456,37.33,-121.77,True
3.6696,15,3080,617,1446,599,38.4,-122.84,True
5.5777,21,5541,776,2214,737,37.94,-122.03,True
2.4028,17,858,262,47,27,40.06,-121.54,False
4.75,20,2806,477,1369,460,38.47,-122.66,True
3.1103,33,1039,256,1432,272,34.21,-119.17,False
