age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
25.0,technician,single,secondary,no,-80.0,yes,yes,unknown,3.0,jun,89.0,1.0,-1.0,0.0,unknown,False
37.0,technician,single,tertiary,no,6889.0,yes,no,cellular,17.0,apr,108.0,2.0,147.0,1.0,failure,False
50.0,admin.,married,secondary,no,-79.0,no,yes,cellular,6.0,aug,138.0,7.0,-1.0,0.0,unknown,False
39.0,management,single,primary,no,375.0,no,no,telephone,31.0,jul,80.0,2.0,-1.0,0.0,unknown,False
36.0,blue-collar,married,primary,no,300.0,yes,no,cellular,12.0,may,57.0,1.0,342.0,1.0,failure,False
46.0,admin.,divorced,secondary,no,1198.0,yes,yes,cellular,7.0,apr,837.0,1.0,307.0,1.0,other,False
59.0,retired,divorced,secondary,no,5583.0,yes,no,cellular,30.0,apr,720.0,1.0,-1.0,0.0,unknown,True
43.0,blue-collar,married,secondary,no,388.0,yes,yes,cellular,6.0,may,644.0,1.0,355.0,2.0,failure,False
43.0,technician,divorced,secondary,no,1413.0,yes,no,telephone,28.0,jul,75.0,3.0,-1.0,0.0,unknown,False
31.0,admin.,single,secondary,no,-182.0,yes,no,cellular,7.0,jul,181.0,2.0,-1.0,0.0,unknown,False
46.0,blue-collar,married,secondary,no,0.0,yes,no,cellular,17.0,nov,127.0,1.0,-1.0,0.0,unknown,False
38.0,admin.,married,secondary,no,1.0,yes,no,cellular,11.0,may,63.0,7.0,-1.0,0.0,unknown,False
34.0,housemaid,married,primary,no,87.0,yes,no,unknown,15.0,may,139.0,2.0,-1.0,0.0,unknown,False
27.0,blue-collar,married,secondary,no,102.0,no,yes,cellular,7.0,jul,159.0,2.0,-1.0,0.0,unknown,False
48.0,admin.,married,primary,no,607.0,no,no,unknown,20.0,jun,29.0,2.0,-1.0,0.0,unknown,False
38.0,admin.,married,secondary,no,1.0,no,no,unknown,6.0,may,76.0,1.0,-1.0,0.0,unknown,False
25.0,management,single,tertiary,no,490.0,no,no,cellular,7.0,sep,394.0,1.0,-1.0,0.0,unknown,False
32.0,technician,single,secondary,no,234.0,no,no,cellular,27.0,mar,166.0,2.0,-1.0,0.0,unknown,False
45.0,services,married,secondary,no,1306.0,no,no,unknown,11.0,jun,125.0,3.0,-1.0,0.0,unknown,False
32.0,admin.,married,secondary,no,337.0,no,no,cellular,15.0,may,51.0,3.0,368.0,1.0,failure,False
44.0,entrepreneur,divorced,tertiary,no,134.0,yes,no,cellular,12.0,may,78.0,5.0,-1.0,0.0,unknown,False
33.0,blue-collar,divorced,secondary,no,60.0,no,no,unknown,6.0,may,190.0,3.0,-1.0,0.0,unknown,False
30.0,services,single,tertiary,no,1.0,no,no,cellular,4.0,feb,66.0,2.0,-1.0,0.0,unknown,False
43.0,management,divorced,tertiary,no,36.0,no,no,cellular,4.0,aug,79.0,1.0,-1.0,0.0,unknown,False
40.0,admin.,married,secondary,no,367.0,yes,no,telephone,5.0,feb,89.0,1.0,274.0,1.0,failure,False
38.0,technician,single,secondary,no,46.0,no,no,cellular,25.0,aug,90.0,2.0,-1.0,0.0,unknown,False
25.0,technician,single,secondary,no,1298.0,no,no,cellular,2.0,sep,206.0,7.0,94.0,2.0,other,False
44.0,services,married,secondary,no,26.0,yes,no,unknown,2.0,jun,119.0,9.0,-1.0,0.0,unknown,False
28.0,blue-collar,single,secondary,no,-208.0,yes,no,cellular,15.0,may,136.0,3.0,359.0,2.0,failure,False
39.0,technician,married,secondary,no,1385.0,yes,yes,telephone,9.0,jul,446.0,1.0,-1.0,0.0,unknown,False
46.0,self-employed,divorced,tertiary,no,926.0,yes,no,cellular,19.0,nov,168.0,2.0,153.0,1.0,other,False
52.0,entrepreneur,married,primary,no,657.0,no,no,telephone,7.0,dec,91.0,2.0,217.0,1.0,other,False
42.0,technician,single,secondary,no,275.0,no,no,cellular,29.0,jul,522.0,3.0,-1.0,0.0,unknown,False
33.0,entrepreneur,divorced,tertiary,no,37.0,no,yes,cellular,8.0,jul,1082.0,1.0,-1.0,0.0,unknown,True
87.0,retired,married,primary,no,2190.0,no,no,telephone,12.0,jan,512.0,2.0,-1.0,0.0,unknown,True
58.0,technician,married,secondary,no,1.0,no,no,cellular,28.0,jan,536.0,2.0,-1.0,0.0,unknown,False
32.0,management,single,tertiary,no,887.0,yes,no,cellular,24.0,jul,53.0,5.0,-1.0,0.0,unknown,False
55.0,entrepreneur,married,secondary,no,204.0,no,no,cellular,14.0,jul,455.0,13.0,-1.0,0.0,unknown,False
25.0,management,married,tertiary,no,-242.0,yes,yes,cellular,18.0,may,600.0,4.0,332.0,4.0,other,True
71.0,retired,married,primary,no,2600.0,no,no,cellular,7.0,aug,212.0,1.0,-1.0,0.0,unknown,True
90.0,retired,divorced,primary,no,712.0,no,no,telephone,3.0,mar,557.0,1.0,-1.0,0.0,unknown,True
51.0,unemployed,married,secondary,no,425.0,yes,no,unknown,14.0,may,286.0,14.0,-1.0,0.0,unknown,False
40.0,blue-collar,divorced,primary,no,21.0,yes,no,unknown,9.0,may,584.0,1.0,-1.0,0.0,unknown,False
57.0,entrepreneur,married,primary,no,1153.0,yes,yes,unknown,9.0,jun,238.0,6.0,-1.0,0.0,unknown,False
36.0,management,married,tertiary,no,6641.0,no,no,cellular,30.0,jul,105.0,4.0,-1.0,0.0,unknown,False
56.0,self-employed,divorced,secondary,no,0.0,no,no,cellular,18.0,nov,348.0,1.0,-1.0,0.0,unknown,False
28.0,management,single,tertiary,no,890.0,yes,no,cellular,7.0,sep,201.0,1.0,-1.0,0.0,unknown,True
46.0,blue-collar,divorced,primary,no,-35.0,yes,no,cellular,13.0,may,69.0,1.0,-1.0,0.0,unknown,False
53.0,admin.,divorced,secondary,no,28.0,yes,yes,cellular,12.0,may,673.0,4.0,-1.0,0.0,unknown,False
28.0,technician,single,secondary,no,981.0,yes,no,cellular,24.0,jul,225.0,1.0,-1.0,0.0,unknown,False
31.0,blue-collar,single,secondary,no,823.0,no,no,unknown,26.0,may,174.0,3.0,-1.0,0.0,unknown,False
42.0,blue-collar,married,primary,no,-97.0,yes,no,cellular,3.0,feb,216.0,4.0,271.0,5.0,failure,False
49.0,blue-collar,married,primary,no,418.0,no,no,cellular,18.0,aug,1559.0,7.0,-1.0,0.0,unknown,False
34.0,blue-collar,married,secondary,no,1235.0,yes,yes,cellular,9.0,apr,464.0,1.0,-1.0,0.0,unknown,False
54.0,management,married,tertiary,no,4112.0,no,no,unknown,19.0,jun,86.0,1.0,-1.0,0.0,unknown,False
50.0,management,married,tertiary,no,463.0,no,yes,cellular,17.0,nov,141.0,3.0,-1.0,0.0,unknown,False
31.0,management,married,tertiary,no,917.0,yes,no,cellular,27.0,aug,100.0,9.0,-1.0,0.0,unknown,False
29.0,student,single,secondary,no,948.0,yes,no,unknown,6.0,may,75.0,2.0,-1.0,0.0,unknown,False
30.0,management,married,tertiary,no,14.0,no,no,cellular,24.0,jul,90.0,2.0,-1.0,0.0,unknown,False
26.0,student,single,secondary,no,1209.0,yes,no,cellular,7.0,may,57.0,4.0,-1.0,0.0,unknown,False
50.0,technician,married,tertiary,no,3117.0,no,no,cellular,20.0,nov,44.0,2.0,164.0,1.0,failure,False
35.0,management,married,tertiary,no,0.0,yes,no,cellular,7.0,apr,139.0,1.0,243.0,2.0,other,False
57.0,blue-collar,married,unknown,no,1463.0,no,no,cellular,8.0,aug,163.0,2.0,-1.0,0.0,unknown,False
46.0,management,married,tertiary,no,716.0,yes,yes,cellular,17.0,nov,106.0,1.0,-1.0,0.0,unknown,False
57.0,management,married,primary,no,80.0,no,yes,cellular,31.0,jul,158.0,7.0,-1.0,0.0,unknown,False
44.0,technician,divorced,secondary,no,414.0,yes,yes,unknown,6.0,jun,81.0,2.0,-1.0,0.0,unknown,False
32.0,technician,married,tertiary,no,0.0,yes,no,cellular,22.0,jul,520.0,1.0,-1.0,0.0,unknown,False
32.0,services,married,secondary,no,386.0,no,no,cellular,12.0,aug,305.0,3.0,104.0,1.0,failure,False
48.0,unemployed,divorced,secondary,no,1266.0,yes,no,telephone,3.0,feb,45.0,1.0,-1.0,0.0,unknown,False
37.0,services,married,secondary,no,4017.0,no,no,cellular,16.0,oct,156.0,1.0,-1.0,0.0,unknown,True
61.0,retired,married,unknown,no,-492.0,no,yes,unknown,4.0,jul,333.0,1.0,-1.0,0.0,unknown,False
37.0,admin.,single,secondary,no,0.0,yes,no,unknown,5.0,may,137.0,1.0,-1.0,0.0,unknown,False
38.0,blue-collar,divorced,secondary,no,157.0,no,no,unknown,9.0,jun,299.0,5.0,-1.0,0.0,unknown,False
31.0,technician,married,secondary,no,0.0,yes,no,cellular,17.0,nov,326.0,2.0,-1.0,0.0,unknown,False
41.0,entrepreneur,single,secondary,no,3216.0,no,no,unknown,9.0,jun,718.0,3.0,-1.0,0.0,unknown,False
57.0,retired,married,primary,no,3401.0,yes,no,unknown,14.0,may,271.0,2.0,-1.0,0.0,unknown,False
31.0,blue-collar,married,primary,no,389.0,yes,no,cellular,20.0,nov,198.0,2.0,-1.0,0.0,unknown,False
55.0,admin.,married,secondary,no,602.0,no,no,cellular,7.0,sep,350.0,1.0,98.0,5.0,success,True
57.0,entrepreneur,married,unknown,no,975.0,yes,yes,cellular,22.0,jul,236.0,4.0,-1.0,0.0,unknown,False
33.0,technician,married,tertiary,no,1126.0,yes,no,unknown,6.0,sep,11.0,1.0,490.0,5.0,other,False
26.0,management,single,tertiary,no,4683.0,yes,no,telephone,5.0,nov,5.0,1.0,-1.0,0.0,unknown,False
37.0,admin.,married,secondary,no,756.0,yes,no,cellular,20.0,apr,207.0,2.0,-1.0,0.0,unknown,False
46.0,entrepreneur,married,tertiary,no,193.0,yes,no,cellular,7.0,may,201.0,8.0,-1.0,0.0,unknown,False
29.0,admin.,single,secondary,no,-349.0,yes,no,cellular,15.0,may,233.0,4.0,-1.0,0.0,unknown,False
48.0,unemployed,married,secondary,no,0.0,no,no,telephone,31.0,jul,35.0,11.0,-1.0,0.0,unknown,False
45.0,admin.,married,secondary,no,369.0,yes,no,cellular,15.0,may,20.0,5.0,-1.0,0.0,unknown,False
37.0,management,single,tertiary,no,198.0,no,no,cellular,20.0,aug,304.0,5.0,-1.0,0.0,unknown,False
33.0,admin.,single,secondary,no,241.0,no,no,cellular,22.0,jul,490.0,1.0,-1.0,0.0,unknown,False
25.0,blue-collar,single,secondary,no,579.0,yes,no,unknown,28.0,may,225.0,4.0,-1.0,0.0,unknown,False
31.0,management,single,tertiary,no,448.0,yes,no,cellular,11.0,aug,135.0,2.0,-1.0,0.0,unknown,False
49.0,blue-collar,married,primary,no,762.0,yes,no,cellular,7.0,may,373.0,2.0,360.0,4.0,failure,False
31.0,admin.,divorced,secondary,no,82.0,no,no,unknown,28.0,may,254.0,1.0,-1.0,0.0,unknown,False
35.0,technician,single,secondary,no,1501.0,yes,no,cellular,15.0,may,26.0,1.0,357.0,1.0,other,False
25.0,blue-collar,single,secondary,yes,15.0,yes,no,telephone,6.0,may,44.0,1.0,-1.0,0.0,unknown,False
39.0,admin.,divorced,secondary,no,32.0,no,yes,unknown,20.0,jun,8.0,10.0,-1.0,0.0,unknown,False
33.0,management,married,tertiary,no,864.0,yes,no,cellular,20.0,apr,170.0,1.0,235.0,19.0,failure,False
31.0,technician,single,secondary,no,373.0,no,no,cellular,22.0,aug,346.0,5.0,-1.0,0.0,unknown,False
44.0,technician,divorced,secondary,no,2340.0,no,no,cellular,29.0,jul,637.0,3.0,-1.0,0.0,unknown,False
49.0,blue-collar,single,secondary,no,8982.0,yes,no,cellular,13.0,apr,470.0,2.0,334.0,1.0,failure,False
54.0,management,divorced,tertiary,no,427.0,yes,yes,cellular,4.0,feb,85.0,2.0,231.0,2.0,other,False
47.0,management,single,tertiary,no,191.0,yes,no,unknown,26.0,may,212.0,1.0,-1.0,0.0,unknown,False
41.0,housemaid,married,tertiary,no,783.0,yes,no,unknown,30.0,may,130.0,2.0,-1.0,0.0,unknown,False
46.0,services,married,secondary,no,0.0,yes,no,cellular,22.0,jun,154.0,1.0,124.0,1.0,other,False
36.0,housemaid,married,secondary,no,409.0,yes,no,cellular,8.0,may,104.0,2.0,-1.0,0.0,unknown,False
50.0,admin.,married,secondary,no,176.0,no,no,cellular,29.0,jul,155.0,2.0,-1.0,0.0,unknown,False
36.0,blue-collar,married,secondary,no,1165.0,yes,no,unknown,13.0,may,1001.0,4.0,-1.0,0.0,unknown,True
53.0,services,married,secondary,no,367.0,yes,yes,cellular,29.0,jan,155.0,1.0,261.0,2.0,failure,False
31.0,admin.,married,secondary,no,-581.0,yes,no,unknown,2.0,jun,562.0,3.0,-1.0,0.0,unknown,False
36.0,admin.,single,secondary,no,11174.0,yes,no,cellular,15.0,apr,953.0,1.0,-1.0,0.0,unknown,True
31.0,blue-collar,single,secondary,no,350.0,yes,no,cellular,5.0,may,383.0,5.0,-1.0,0.0,unknown,False
63.0,unknown,married,secondary,no,556.0,no,no,cellular,9.0,jul,122.0,4.0,-1.0,0.0,unknown,False
49.0,management,single,tertiary,no,493.0,no,no,cellular,23.0,apr,191.0,1.0,-1.0,0.0,unknown,False
49.0,housemaid,married,primary,no,785.0,no,no,unknown,16.0,jun,190.0,6.0,-1.0,0.0,unknown,False
58.0,retired,divorced,secondary,no,-370.0,no,no,cellular,17.0,nov,1449.0,1.0,-1.0,0.0,unknown,False
44.0,management,married,secondary,no,438.0,yes,no,telephone,9.0,jul,42.0,1.0,-1.0,0.0,unknown,False
42.0,technician,married,secondary,no,1066.0,no,no,cellular,26.0,may,125.0,1.0,104.0,3.0,success,False
35.0,admin.,divorced,secondary,no,30.0,no,no,unknown,23.0,may,186.0,1.0,-1.0,0.0,unknown,False
41.0,self-employed,married,secondary,no,1.0,no,no,cellular,19.0,aug,55.0,4.0,-1.0,0.0,unknown,False
31.0,technician,married,secondary,no,-160.0,yes,no,cellular,14.0,jul,126.0,6.0,-1.0,0.0,unknown,False
