age,type of job,marital status,education,has credit in default?,"average yearly balance, in euros",has housing loan?,has personal loan?,contact communication type,last contact day of the month,last contact month of year,"last contact duration, in seconds",number of contacts performed during this campaign and for this client,number of days that passed by after the client was last contacted from a previous campaign,number of contacts performed before this campaign and for this client,outcome of the previous marketing campaign,label
28,management,single,tertiary,no,882,no,yes,cellular,29,jan,94,1,205,2,failure,False
46,blue-collar,married,secondary,no,2173,yes,no,unknown,21,may,98,5,client was not previously contacted,0,unknown,False
51,retired,single,secondary,no,5885,no,no,telephone,3,feb,134,6,client was not previously contacted,0,unknown,False
41,management,married,tertiary,no,5,no,no,unknown,5,jun,178,1,client was not previously contacted,0,unknown,False
35,management,married,tertiary,no,36,no,yes,cellular,16,jul,1656,5,client was not previously contacted,0,unknown,True
32,admin.,married,secondary,no,340,yes,no,unknown,29,may,665,1,client was not previously contacted,0,unknown,False
34,technician,married,tertiary,no,7050,no,no,cellular,7,aug,130,1,client was not previously contacted,0,unknown,True
34,management,single,tertiary,no,26575,no,no,cellular,18,nov,93,1,client was not previously contacted,0,unknown,False
37,blue-collar,single,secondary,no,1127,yes,no,cellular,17,apr,72,2,281,1,failure,False
39,blue-collar,single,unknown,no,3583,no,no,unknown,5,jun,97,2,client was not previously contacted,0,unknown,False
22,student,single,secondary,no,2488,no,no,cellular,8,nov,449,2,38,10,other,True
43,management,divorced,tertiary,no,3327,no,no,telephone,28,aug,146,19,client was not previously contacted,0,unknown,False
55,admin.,married,secondary,no,8304,no,no,cellular,1,sep,193,1,92,1,success,True
30,unemployed,married,secondary,no,-98,yes,no,unknown,27,may,173,1,client was not previously contacted,0,unknown,False
42,blue-collar,married,secondary,no,671,yes,no,unknown,20,jun,10,29,client was not previously contacted,0,unknown,False
47,admin.,single,secondary,no,15,no,no,unknown,12,may,181,4,client was not previously contacted,0,unknown,False
50,unemployed,divorced,unknown,no,1088,no,no,cellular,2,feb,749,1,client was not previously contacted,0,unknown,True
45,technician,married,secondary,no,0,no,no,telephone,13,aug,99,1,client was not previously contacted,0,unknown,False
58,retired,married,primary,no,-257,yes,yes,cellular,8,aug,163,2,client was not previously contacted,0,unknown,False
38,admin.,married,secondary,no,326,yes,no,cellular,17,apr,69,2,client was not previously contacted,0,unknown,False
46,management,single,tertiary,no,6651,no,no,cellular,22,may,114,1,60,1,failure,False
31,self-employed,single,secondary,no,0,no,yes,telephone,6,feb,287,6,client was not previously contacted,0,unknown,False
60,housemaid,married,primary,no,887,no,no,cellular,14,aug,95,2,client was not previously contacted,0,unknown,False
39,entrepreneur,married,tertiary,no,3,no,no,unknown,20,jun,12,14,client was not previously contacted,0,unknown,False
35,technician,single,tertiary,no,0,yes,no,telephone,28,aug,46,2,client was not previously contacted,0,unknown,False
30,management,single,tertiary,no,112,yes,yes,cellular,12,may,451,2,349,2,failure,False
28,student,married,tertiary,no,1,no,no,cellular,15,jul,92,4,client was not previously contacted,0,unknown,False
31,blue-collar,married,secondary,no,1329,yes,yes,unknown,9,may,134,1,client was not previously contacted,0,unknown,False
36,unemployed,single,tertiary,no,577,yes,no,unknown,30,may,155,1,client was not previously contacted,0,unknown,False
65,retired,married,primary,no,1004,no,no,cellular,28,oct,371,1,client was not previously contacted,0,unknown,True
43,blue-collar,married,primary,no,479,yes,no,cellular,14,may,293,2,370,2,failure,False
44,technician,married,secondary,no,0,no,yes,cellular,4,feb,351,2,client was not previously contacted,0,unknown,False
51,admin.,divorced,secondary,no,115,yes,yes,unknown,8,may,136,1,client was not previously contacted,0,unknown,False
34,management,single,tertiary,no,-444,yes,yes,cellular,17,apr,129,2,148,4,other,False
38,services,divorced,secondary,no,904,yes,no,cellular,16,apr,361,1,339,1,failure,False
36,services,single,secondary,no,260,yes,no,unknown,27,may,132,8,client was not previously contacted,0,unknown,False
29,unknown,single,secondary,no,1288,no,no,cellular,3,feb,266,1,client was not previously contacted,0,unknown,False
