Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
0 <= ... < 200 DM,48,delay in paying off in the past,education,6224,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,50,none,for free,1,skilled employee / official,1.0,none,yes,False
no checking account,12,existing credits paid back duly till now,radio/television,3077,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute 6",52,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,24,existing credits paid back duly till now,furniture/equipment,929,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,"car or other, not in attribute 6",31,stores,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4 <= ... < 7 years,3,male : single,none,2,"car or other, not in attribute 6",31,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,True
< 0 DM,24,existing credits paid back duly till now,car (used),2924,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,4,unknown / no property,63,bank,own,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
no checking account,60,critical account/ other credits existing (not at this bank),car (new),13756,unknown/ no savings account,... >= 7 years,2,male : single,none,4,unknown / no property,63,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 <= ... < 500 DM,... < 1 year,4,male : divorced/separated,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1740,... < 100 DM,... >= 7 years,2,male : married/widowed,none,2,real estate,30,none,rent,2,skilled employee / official,1.0,none,yes,True
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,2996,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,none,4,"car or other, not in attribute 6",20,none,own,1,skilled employee / official,1.0,none,yes,False
no checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1.0,none,no,True
