Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,700,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,36,none,for free,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2273,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,"car or other, not in attribute 6",32,none,own,2,skilled employee / official,2.0,none,yes,True
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1360,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,31,none,own,2,skilled employee / official,1.0,none,yes,True
< 0 DM,18,delay in paying off in the past,education,8471,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute 6",23,none,rent,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,18,existing credits paid back duly till now,car (new),4380,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,4,"car or other, not in attribute 6",35,none,own,1,unskilled - resident,2.0,"yes, registered under the customers name",yes,True
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),3676,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,real estate,37,none,rent,3,skilled employee / official,2.0,none,yes,True
no checking account,6,critical account/ other credits existing (not at this bank),car (new),2080,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2.0,none,yes,True
< 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,2,skilled employee / official,1.0,none,yes,False
< 0 DM,36,delay in paying off in the past,business,2145,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,"car or other, not in attribute 6",24,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
no checking account,24,existing credits paid back duly till now,radio/television,3430,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
< 0 DM,18,existing credits paid back duly till now,radio/television,3509,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,guarantor,1,real estate,25,none,own,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,6,critical account/ other credits existing (not at this bank),car (new),1343,... < 100 DM,... >= 7 years,1,male : single,none,4,real estate,46,none,own,2,skilled employee / official,2.0,none,no,True
no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,47,bank,own,3,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
< 0 DM,24,existing credits paid back duly till now,car (new),3123,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1.0,none,yes,False
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,36,no credits taken/ all credits paid back duly,repairs,2613,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,24,critical account/ other credits existing (not at this bank),business,4526,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,74,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
>= 200 DM,9,existing credits paid back duly till now,radio/television,745,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,28,none,own,1,unskilled - resident,1.0,none,yes,False
0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,2631,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,1,unskilled - resident,1.0,none,yes,True
no checking account,24,delay in paying off in the past,car (used),4679,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,"car or other, not in attribute 6",35,none,own,2,unskilled - resident,1.0,"yes, registered under the customers name",yes,True
no checking account,24,existing credits paid back duly till now,car (new),1249,... < 100 DM,... < 1 year,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,12,critical account/ other credits existing (not at this bank),business,1264,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1.0,none,yes,True
no checking account,9,existing credits paid back duly till now,education,3832,unknown/ no savings account,... >= 7 years,1,male : single,none,4,real estate,64,none,own,1,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),radio/television,2337,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1155,... < 100 DM,... >= 7 years,3,male : married/widowed,guarantor,3,real estate,40,bank,own,2,unskilled - resident,1.0,none,yes,True
no checking account,18,existing credits paid back duly till now,business,1950,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,"car or other, not in attribute 6",34,stores,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,9,critical account/ other credits existing (not at this bank),radio/television,3074,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,2,real estate,33,none,own,2,skilled employee / official,2.0,none,yes,True
no checking account,9,existing credits paid back duly till now,radio/television,2753,100 <= ... < 500 DM,... >= 7 years,3,male : single,co-applicant,4,"car or other, not in attribute 6",35,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,unknown / no property,44,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,1,building society savings agreement/ life insurance,21,none,own,1,unskilled - resident,1.0,none,yes,True
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
