Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
23,19,4750,62,False
2,4,1000,26,False
7,5,1250,52,False
16,6,1500,81,False
16,1,250,16,False
2,3,750,52,False
2,11,2750,46,False
4,16,4000,70,True
2,2,500,10,True
23,1,250,23,False
14,5,1250,74,False
23,2,500,28,False
2,1,250,2,False
14,1,250,14,False
14,2,500,14,True
2,7,1750,14,True
3,8,2000,50,False
23,1,250,23,False
14,4,1000,23,True
38,1,250,38,False
1,14,3500,95,False
11,1,250,11,False
4,7,1750,52,False
20,14,3500,69,True
9,9,2250,38,False
4,9,2250,38,True
21,2,500,41,False
14,1,250,14,False
2,6,1500,15,True
2,5,1250,26,False
21,1,250,21,False
21,3,750,64,False
4,1,250,4,False
4,2,500,4,False
23,1,250,23,False
16,1,250,16,False
21,1,250,21,False
14,3,750,19,True
9,2,500,52,False
13,4,1000,21,False
14,18,4500,78,False
23,4,1000,53,False
10,5,1250,38,False
2,14,3500,48,True
2,2,500,4,False
16,1,250,16,False
16,3,750,23,False
4,6,1500,28,True
2,3,750,9,True
4,1,250,4,False
14,8,2000,26,False
14,4,1000,30,False
14,6,1500,51,False
2,6,1500,22,True
2,50,12500,98,True
21,2,500,35,False
5,14,3500,86,False
2,4,1000,16,False
23,2,500,87,False
2,6,1500,16,True
4,12,3000,88,False
4,2,500,4,False
18,2,500,23,False
2,1,250,2,False
11,1,250,11,False
14,2,500,16,False
4,6,1500,46,False
12,9,2250,60,False
2,1,250,2,False
4,1,250,4,False
2,5,1250,11,True
2,2,500,11,True
4,5,1250,16,True
16,3,750,35,False
16,7,1750,39,False
14,7,1750,26,False
14,1,250,14,False
11,6,1500,28,False
11,3,750,15,False
16,2,500,26,False
14,2,500,14,False
11,8,2000,72,False
2,11,2750,28,False
11,5,1250,38,False
2,7,1750,46,True
2,1,250,2,True
11,6,1500,26,False
0,13,3250,28,True
4,1,250,4,False
11,5,1250,33,False
2,4,1000,43,False
23,2,500,23,False
2,11,2750,41,True
14,2,500,14,False
2,4,1000,14,False
11,8,2000,52,True
1,14,3500,58,False
21,4,1000,52,False
9,2,500,52,False
2,9,2250,36,False
4,5,1250,46,False
6,17,4250,70,False
16,3,750,40,False
6,3,750,26,False
14,3,750,26,False
11,6,1500,27,False
4,11,2750,95,False
4,6,1500,35,True
4,1,250,4,False
4,7,1750,58,False
7,11,2750,89,False
11,2,500,70,False
23,3,750,40,False
16,1,250,16,False
4,5,1250,16,True
9,3,750,14,False
35,3,750,64,False
17,7,1750,58,True
4,2,500,41,False
4,2,500,30,False
14,16,4000,98,False
4,6,1500,30,False
2,6,1500,75,False
16,15,3750,87,False
11,8,2000,46,False
23,3,750,48,False
4,2,500,4,True
4,4,1000,34,True
