Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
11,1,250,11,False
21,1,250,21,False
21,1,250,21,False
2,4,1000,26,False
16,5,1250,27,False
4,6,1500,47,False
10,4,1000,16,False
14,5,1250,26,False
2,1,250,2,False
2,1,250,2,False
2,5,1250,33,True
14,2,500,14,False
2,12,3000,52,False
1,16,4000,35,True
2,11,2750,46,True
4,1,250,4,False
16,3,750,19,False
21,3,750,35,False
16,2,500,70,False
2,4,1000,16,True
11,1,250,11,False
23,1,250,23,False
14,3,750,26,False
14,2,500,21,True
0,8,2000,59,False
2,2,500,4,True
2,6,1500,28,True
14,7,1750,47,False
21,1,250,21,False
21,2,500,23,False
11,10,2500,35,False
4,2,500,9,False
2,4,1000,23,False
4,4,1000,4,False
4,2,500,4,False
14,3,750,35,False
14,8,2000,50,False
23,3,750,39,False
16,1,250,16,False
11,9,2250,33,False
23,1,250,23,False
16,8,2000,76,False
14,3,750,83,False
4,14,3500,86,False
4,1,250,4,False
4,1,250,4,False
4,9,2250,28,False
4,9,2250,46,False
4,1,250,4,True
16,4,1000,45,False
23,1,250,23,False
9,9,2250,45,False
2,12,3000,47,True
3,5,1250,26,False
21,3,750,40,False
14,5,1250,28,False
39,1,250,39,False
4,1,250,4,False
23,3,750,89,False
16,4,1000,33,False
4,5,1250,58,False
16,1,250,16,False
4,1,250,4,False
2,2,500,23,False
11,2,500,11,False
2,1,250,2,False
4,20,5000,69,True
23,2,500,23,False
2,6,1500,47,False
11,3,750,37,False
1,7,1750,57,False
2,7,1750,29,False
2,12,3000,95,False
3,5,1250,12,True
4,4,1000,41,False
2,4,1000,70,False
21,1,250,21,False
2,1,250,2,True
2,2,500,4,True
14,1,250,14,False
11,14,3500,73,True
2,5,1250,16,True
11,8,2000,48,False
4,10,2500,28,True
4,9,2250,55,False
4,3,750,71,False
11,2,500,26,False
4,1,250,4,False
11,3,750,40,True
2,13,3250,76,True
8,2,500,16,False
15,5,1250,33,False
23,6,1500,70,False
11,17,4250,79,True
4,8,2000,34,True
2,7,1750,77,False
4,9,2250,26,True
2,1,250,2,False
4,9,2250,40,False
4,1,250,4,True
4,6,1500,16,True
4,2,500,23,False
2,11,2750,40,True
16,1,250,16,False
2,2,500,10,False
9,4,1000,65,False
11,1,250,11,False
4,2,500,31,False
16,2,500,27,False
14,2,500,14,False
2,4,1000,14,True
11,4,1000,58,False
4,1,250,4,False
2,21,5250,52,True
2,2,500,4,True
2,2,500,2,False
2,1,250,2,False
11,22,5500,98,False
11,2,500,17,False
14,1,250,14,False
2,3,750,22,False
11,4,1000,59,False
12,13,3250,59,False
4,1,250,4,False
2,2,500,11,False
4,7,1750,28,False
3,2,500,23,False
9,8,2000,38,True
2,1,250,2,False
2,2,500,14,False
4,1,250,4,True
4,6,1500,14,False
21,7,1750,38,False
2,2,500,16,False
14,1,250,14,False
11,2,500,24,False
2,2,500,11,False
2,1,250,2,True
14,1,250,14,False
16,4,1000,28,False
2,13,3250,32,True
2,5,1250,37,False
2,6,1500,22,False
2,5,1250,16,False
5,7,1750,26,True
4,7,1750,22,True
4,1,250,4,False
2,5,1250,16,True
16,1,250,16,False
