Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
11,4,1000,34,False
16,6,1500,50,False
12,15,3750,71,False
23,2,500,26,False
12,11,2750,39,False
4,2,500,30,False
2,3,750,21,False
21,1,250,21,False
4,14,3500,40,False
9,3,750,34,False
16,3,750,46,False
21,5,1250,60,False
9,1,250,9,False
5,24,6000,79,False
7,9,2250,89,True
4,10,2500,28,True
23,1,250,23,False
4,1,250,4,True
2,4,1000,16,False
11,2,500,11,False
4,7,1750,52,False
11,4,1000,74,False
14,3,750,31,False
2,3,750,11,False
11,2,500,70,False
14,2,500,14,False
11,5,1250,37,True
21,2,500,25,False
14,7,1750,45,False
2,1,250,2,False
2,1,250,2,False
2,2,500,14,False
