Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
2,3,750,35,False
4,3,750,34,False
0,3,750,4,False
2,3,750,9,True
3,6,1500,21,False
11,1,250,11,True
2,1,250,2,False
4,5,1250,23,False
25,6,1500,50,False
9,1,250,9,False
23,1,250,23,False
4,2,500,4,True
4,3,750,16,False
2,1,250,2,False
4,1,250,4,True
14,3,750,33,False
7,5,1250,35,False
13,4,1000,21,False
4,7,1750,52,False
4,7,1750,58,False
2,1,250,2,True
4,19,4750,69,True
2,7,1750,35,True
4,9,2250,38,True
2,34,8500,77,True
16,12,3000,50,False
16,1,250,16,False
21,1,250,21,False
16,1,250,16,False
2,1,250,2,False
14,2,500,14,True
4,5,1250,26,True
2,3,750,16,True
21,16,4000,64,False
4,11,2750,61,False
4,4,1000,18,False
16,6,1500,35,True
4,7,1750,58,False
0,13,3250,28,True
4,5,1250,58,False
11,2,500,14,False
14,3,750,31,False
16,10,2500,89,False
2,11,2750,46,False
1,13,3250,47,False
74,1,250,74,False
2,1,250,2,False
16,8,2000,28,False
4,4,1000,46,False
21,3,750,64,False
4,6,1500,52,False
9,5,1250,19,False
2,8,2000,28,True
23,3,750,33,False
2,10,2500,28,True
2,50,12500,98,True
2,4,1000,14,True
7,11,2750,89,False
4,4,1000,43,True
14,2,500,14,False
16,3,750,50,False
4,1,250,4,False
14,5,1250,50,False
23,1,250,23,True
