Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
4,1,250,4,False
2,2,500,4,False
4,11,2750,78,False
2,3,750,77,False
2,1,250,2,False
21,1,250,21,False
0,8,2000,59,False
2,5,1250,16,False
3,21,5250,42,True
11,22,5500,98,False
14,4,1000,23,True
4,1,250,4,False
2,1,250,2,False
6,17,4250,70,False
16,1,250,16,False
7,5,1250,35,False
2,2,500,2,False
8,8,2000,52,True
2,11,2750,26,False
14,2,500,14,False
14,2,500,14,False
2,1,250,2,False
72,1,250,72,False
16,14,3500,83,False
12,13,3250,59,False
14,7,1750,26,False
2,1,250,2,False
21,2,500,21,False
4,4,1000,26,True
4,7,1750,62,False
11,3,750,76,False
2,1,250,2,False
