Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
4,6,1500,14,False
21,16,4000,64,False
11,4,1000,59,False
14,3,750,33,False
2,2,500,10,False
2,21,5250,52,True
14,1,250,14,False
21,1,250,21,False
2,2,500,11,True
2,12,3000,95,False
2,4,1000,16,False
14,2,500,14,False
14,1,250,14,False
23,19,4750,62,False
5,11,2750,75,False
2,6,1500,41,True
4,2,500,23,False
16,7,1750,38,False
21,2,500,23,False
14,3,750,83,False
23,6,1500,45,False
4,1,250,4,False
16,14,3500,83,False
14,2,500,29,False
4,1,250,4,False
2,1,250,2,False
1,13,3250,47,False
23,38,9500,98,False
2,6,1500,26,True
23,1,250,23,False
14,3,750,26,False
16,1,250,16,False
2,3,750,22,False
4,5,1250,58,False
11,3,750,16,True
11,2,500,14,False
2,2,500,22,False
4,9,2250,46,False
5,6,1500,28,False
2,2,500,14,False
2,9,2250,75,False
2,1,250,2,False
4,9,2250,28,False
9,2,500,11,False
16,4,1000,58,False
11,2,500,11,False
23,1,250,23,False
16,1,250,16,False
4,5,1250,11,True
2,8,2000,35,True
11,2,500,24,False
2,11,2750,28,False
22,1,250,22,True
23,3,750,41,False
11,4,1000,27,False
2,1,250,2,False
2,5,1250,34,False
4,1,250,4,False
11,4,1000,16,True
4,6,1500,52,False
4,1,250,4,False
7,2,500,16,False
21,2,500,23,False
2,7,1750,77,False
