recency,frequency,monetary,time,label
4.0,1.0,250.0,4.0,False
2.0,2.0,500.0,4.0,False
4.0,11.0,2750.0,78.0,False
2.0,3.0,750.0,77.0,False
2.0,1.0,250.0,2.0,False
21.0,1.0,250.0,21.0,False
0.0,8.0,2000.0,59.0,False
2.0,5.0,1250.0,16.0,False
3.0,21.0,5250.0,42.0,True
11.0,22.0,5500.0,98.0,False
14.0,4.0,1000.0,23.0,True
4.0,1.0,250.0,4.0,False
2.0,1.0,250.0,2.0,False
6.0,17.0,4250.0,70.0,False
16.0,1.0,250.0,16.0,False
7.0,5.0,1250.0,35.0,False
2.0,2.0,500.0,2.0,False
8.0,8.0,2000.0,52.0,True
2.0,11.0,2750.0,26.0,False
14.0,2.0,500.0,14.0,False
14.0,2.0,500.0,14.0,False
2.0,1.0,250.0,2.0,False
72.0,1.0,250.0,72.0,False
16.0,14.0,3500.0,83.0,False
12.0,13.0,3250.0,59.0,False
14.0,7.0,1750.0,26.0,False
2.0,1.0,250.0,2.0,False
21.0,2.0,500.0,21.0,False
4.0,4.0,1000.0,26.0,True
4.0,7.0,1750.0,62.0,False
11.0,3.0,750.0,76.0,False
2.0,1.0,250.0,2.0,False
