Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
16,4,1000,28,False
4,1,250,4,False
4,2,500,13,False
3,1,250,3,True
17,7,1750,58,True
11,5,1250,18,False
21,16,4000,64,False
16,1,250,16,False
4,5,1250,28,False
4,1,250,4,False
2,1,250,2,False
16,7,1750,39,False
16,5,1250,71,False
4,5,1250,16,True
20,14,3500,69,True
14,4,1000,28,True
4,8,2000,21,False
2,2,500,2,False
13,3,750,16,False
16,2,500,27,False
6,22,5500,28,True
11,6,1500,28,False
2,2,500,11,True
4,5,1250,23,False
2,4,1000,26,False
11,3,750,76,False
23,8,2000,64,False
11,7,1750,75,False
4,33,8250,98,True
2,6,1500,15,True
2,11,2750,79,True
14,5,1250,14,False
11,1,250,11,False
4,2,500,4,False
3,2,500,23,False
11,9,2250,33,False
11,8,2000,52,True
2,6,1500,22,True
4,6,1500,52,False
35,3,750,64,False
4,1,250,4,False
5,7,1750,26,True
16,1,250,16,False
4,4,1000,14,True
11,2,500,24,False
4,4,1000,16,False
23,1,250,23,False
2,1,250,2,False
2,11,2750,46,True
9,2,500,11,False
4,1,250,4,True
14,5,1250,28,True
2,5,1250,16,True
11,7,1750,29,False
2,2,500,14,False
23,1,250,23,False
2,2,500,2,False
2,13,3250,32,True
4,9,2250,55,False
2,1,250,2,False
4,6,1500,14,False
16,1,250,16,False
4,5,1250,58,False
23,3,750,48,False
11,4,1000,59,False
21,7,1750,38,False
9,3,750,52,False
16,16,4000,77,False
14,16,4000,98,False
21,1,250,21,False
21,2,500,23,False
16,5,1250,27,False
4,1,250,4,False
9,8,2000,38,True
11,3,750,76,False
13,3,750,14,True
16,1,250,16,False
14,5,1250,64,False
21,3,750,40,False
11,5,1250,35,False
21,3,750,35,False
16,7,1750,28,False
3,5,1250,26,False
23,2,500,28,False
21,1,250,21,False
23,3,750,39,False
23,4,1000,53,False
4,14,3500,40,False
6,3,750,14,False
2,2,500,14,False
4,17,4250,71,True
11,1,250,11,False
16,1,250,16,False
14,1,250,14,False
16,5,1250,60,False
4,7,1750,62,False
4,1,250,4,True
4,2,500,46,False
2,2,500,4,False
4,9,2250,40,False
4,1,250,4,False
2,12,3000,47,True
2,5,1250,63,False
2,3,750,75,True
4,9,2250,46,False
21,1,250,21,False
23,3,750,35,False
6,2,500,11,True
4,5,1250,33,True
14,2,500,14,False
13,8,2000,26,False
2,1,250,2,False
4,5,1250,35,True
4,8,2000,46,True
2,2,500,11,False
23,38,9500,98,False
4,11,2750,61,False
4,6,1500,39,False
23,2,500,26,False
11,2,500,25,False
23,4,1000,87,False
2,8,2000,35,True
11,3,750,14,False
11,4,1000,58,False
11,3,750,26,False
11,4,1000,34,False
14,3,750,33,False
21,1,250,21,False
