Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
11,4,1000,61,False
14,3,750,83,False
4,6,1500,47,False
2,5,1250,37,False
11,10,2500,35,False
2,11,2750,40,True
14,4,1000,28,True
15,16,4000,82,False
4,4,1000,26,True
4,1,250,4,False
21,1,250,21,False
16,1,250,16,False
2,3,750,22,False
2,4,1000,23,False
2,6,1500,15,True
11,17,4250,79,True
4,2,500,4,False
10,4,1000,16,False
2,5,1250,33,True
14,4,1000,38,False
3,21,5250,42,True
4,5,1250,23,False
11,3,750,15,False
21,3,750,35,False
16,6,1500,35,False
2,1,250,2,False
16,4,1000,23,False
14,3,750,33,False
2,2,500,4,True
11,4,1000,58,False
14,16,4000,70,False
11,7,1750,62,True
14,2,500,14,False
9,9,2250,38,False
23,5,1250,33,False
3,14,3500,35,False
9,2,500,11,False
14,2,500,14,False
4,1,250,4,True
2,1,250,2,False
4,11,2750,64,True
2,3,750,14,False
11,4,1000,74,False
14,3,750,79,False
14,1,250,14,False
2,9,2250,75,False
16,1,250,16,False
16,1,250,16,False
16,7,1750,38,False
2,11,2750,23,False
4,1,250,4,False
18,2,500,23,False
2,6,1500,41,True
4,4,1000,46,False
21,1,250,21,False
14,2,500,14,False
11,1,250,11,False
2,4,1000,16,False
6,3,750,14,False
23,4,1000,53,False
2,8,2000,35,True
11,4,1000,27,False
7,10,2500,47,False
9,5,1250,19,False
4,2,500,59,False
23,2,500,28,False
2,2,500,14,False
4,10,2500,28,True
21,2,500,23,False
14,1,250,14,False
1,13,3250,47,False
4,5,1250,16,True
16,2,500,16,False
23,8,2000,64,False
4,6,1500,16,True
14,3,750,28,False
2,6,1500,75,False
4,5,1250,58,False
2,1,250,2,True
11,3,750,40,True
4,1,250,4,False
2,1,250,2,True
23,12,3000,86,False
2,6,1500,45,False
11,6,1500,26,False
4,4,1000,16,False
4,7,1750,22,True
4,5,1250,28,False
2,2,500,11,False
4,1,250,4,False
9,1,250,9,False
11,16,4000,89,False
21,3,750,38,False
2,4,1000,43,False
11,8,2000,41,True
14,1,250,14,False
4,1,250,4,True
11,5,1250,50,False
4,1,250,4,False
4,1,250,4,False
4,6,1500,43,False
2,16,4000,64,False
4,6,1500,14,False
16,6,1500,35,True
23,38,9500,98,False
14,8,2000,50,True
4,23,5750,58,False
14,4,1000,30,False
11,2,500,24,False
4,7,1750,62,False
16,8,2000,28,False
11,11,2750,38,False
14,3,750,35,False
14,3,750,41,False
11,2,500,11,False
2,6,1500,22,False
11,3,750,16,True
4,1,250,4,True
3,6,1500,21,False
2,3,750,9,True
2,3,750,11,False
4,5,1250,26,True
2,2,500,4,False
2,2,500,4,False
2,6,1500,15,True
16,3,750,35,False
2,6,1500,47,False
11,6,1500,71,False
2,2,500,4,True
14,1,250,14,False
22,1,250,22,True
4,6,1500,28,True
4,5,1250,11,True
4,5,1250,58,False
16,5,1250,71,False
11,4,1000,59,False
23,1,250,23,False
10,5,1250,38,False
11,9,2250,72,True
2,2,500,4,True
4,1,250,4,False
4,1,250,4,False
4,3,750,25,True
2,1,250,2,False
23,1,250,23,False
16,8,2000,76,False
11,5,1250,38,False
20,14,3500,69,True
11,3,750,14,False
2,1,250,2,True
23,3,750,35,False
2,3,750,75,True
23,2,500,26,False
16,3,750,19,False
2,1,250,2,False
11,2,500,52,False
2,4,1000,16,False
11,8,2000,52,True
14,1,250,14,False
11,2,500,11,False
25,6,1500,50,False
4,2,500,4,False
21,13,3250,57,False
23,2,500,23,False
21,3,750,26,False
23,2,500,38,False
11,1,250,11,False
2,12,3000,82,False
2,7,1750,77,False
4,2,500,4,False
4,17,4250,71,True
11,24,6000,64,False
14,4,1000,23,True
11,5,1250,33,False
2,1,250,2,False
5,6,1500,28,False
4,4,1000,41,False
2,5,1250,16,True
2,15,3750,64,False
1,14,3500,58,False
23,8,2000,46,False
1,14,3500,95,False
2,12,3000,52,False
21,1,250,21,False
21,16,4000,64,False
14,7,1750,35,False
4,7,1750,58,False
2,12,3000,98,False
2,4,1000,14,True
4,2,500,23,False
16,3,750,46,False
11,1,250,11,False
3,5,1250,38,False
12,15,3750,71,False
16,4,1000,58,False
11,1,250,11,False
14,8,2000,50,False
14,2,500,14,False
21,7,1750,38,False
4,6,1500,14,False
4,2,500,41,False
23,1,250,23,False
4,2,500,14,False
12,11,2750,23,False
14,16,4000,98,False
2,2,500,22,False
23,8,2000,69,False
21,3,750,38,False
9,3,750,34,False
4,6,1500,35,False
16,1,250,16,False
2,1,250,2,False
23,3,750,41,False
2,2,500,16,False
2,9,2250,22,True
9,1,250,9,False
2,3,750,4,True
21,1,250,21,False
2,11,2750,79,True
4,6,1500,30,False
14,6,1500,51,False
4,33,8250,98,True
2,2,500,11,True
12,11,2750,39,False
16,5,1250,27,False
11,3,750,76,False
2,14,3500,48,True
11,5,1250,35,False
2,5,1250,47,True
23,1,250,23,False
14,5,1250,64,False
4,4,1000,43,True
14,4,1000,64,False
14,13,3250,57,False
21,1,250,21,False
13,7,1750,76,False
2,2,500,11,True
0,2,500,4,False
7,5,1250,35,False
23,3,750,39,False
23,3,750,33,False
14,5,1250,26,False
16,5,1250,40,True
4,1,250,4,False
23,1,250,23,False
4,1,250,4,False
2,5,1250,16,False
11,2,500,21,False
2,4,1000,16,False
4,9,2250,55,False
4,2,500,4,False
14,3,750,21,False
2,9,2250,74,False
4,11,2750,95,False
12,12,3000,58,False
4,3,750,71,False
