Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
4,5,1250,16,True
5,11,2750,75,False
21,2,500,35,False
16,6,1500,50,False
11,1,250,11,False
2,5,1250,16,False
14,3,750,31,False
1,9,2250,51,False
4,5,1250,26,True
2,2,500,33,False
4,1,250,4,True
16,4,1000,45,False
14,7,1750,45,False
9,2,500,52,False
9,2,500,16,True
2,2,500,16,False
2,13,3250,32,True
16,1,250,16,False
2,1,250,2,False
7,14,3500,48,False
4,3,750,16,True
7,2,500,16,False
4,2,500,13,False
23,1,250,23,False
2,1,250,2,False
2,4,1000,14,False
3,2,500,23,False
4,17,4250,71,True
16,1,250,16,False
1,16,4000,35,True
16,1,250,16,False
25,6,1500,50,False
21,2,500,33,False
2,3,750,24,False
14,1,250,14,False
2,2,500,11,True
11,22,5500,98,False
1,7,1750,57,False
14,2,500,14,False
2,2,500,4,False
4,5,1250,74,False
2,4,1000,14,True
4,1,250,4,False
4,1,250,4,False
2,12,3000,52,False
21,4,1000,52,False
4,3,750,25,True
21,6,1500,48,False
14,1,250,14,False
20,14,3500,69,True
16,7,1750,39,False
9,3,750,34,False
21,1,250,21,False
21,1,250,21,False
16,1,250,16,False
4,16,4000,98,True
14,1,250,14,False
11,6,1500,41,False
14,1,250,14,False
4,9,2250,26,True
2,2,500,14,False
21,3,750,26,True
2,6,1500,22,True
14,6,1500,51,False
