Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
2,3,750,35,False
2,3,750,14,False
14,2,500,14,False
3,5,1250,26,False
7,5,1250,52,False
0,3,750,4,False
12,9,2250,60,False
4,16,4000,38,True
16,4,1000,58,False
4,2,500,51,True
4,17,4250,71,True
2,7,1750,58,True
4,1,250,4,False
2,5,1250,16,False
74,1,250,74,False
11,4,1000,59,False
2,2,500,16,False
4,5,1250,58,False
9,1,250,9,False
2,7,1750,77,False
2,6,1500,35,True
2,12,3000,47,True
23,3,750,28,False
11,8,2000,52,True
4,1,250,4,True
4,5,1250,46,False
16,1,250,16,False
16,1,250,16,False
21,3,750,26,True
11,7,1750,64,False
2,4,1000,16,False
11,2,500,17,False
16,14,3500,83,False
11,12,3000,58,False
16,5,1250,27,False
11,1,250,11,False
10,4,1000,16,False
11,1,250,11,False
2,5,1250,26,False
16,1,250,16,False
1,24,6000,77,False
4,6,1500,16,True
2,5,1250,37,False
23,1,250,23,False
4,1,250,4,False
2,20,5000,45,True
16,3,750,86,False
4,2,500,4,True
4,11,2750,28,False
11,2,500,14,False
4,6,1500,41,True
2,10,2500,49,False
2,1,250,2,False
4,7,1750,32,True
14,2,500,14,True
2,1,250,2,False
2,1,250,2,False
2,2,500,2,False
16,1,250,16,False
11,5,1250,41,False
9,3,750,34,False
2,11,2750,40,True
4,3,750,24,False
4,5,1250,23,False
2,6,1500,41,True
4,6,1500,43,False
1,13,3250,47,False
16,15,3750,87,False
4,4,1000,4,False
11,7,1750,75,False
16,12,3000,50,False
4,7,1750,62,False
4,2,500,31,False
2,1,250,2,False
11,8,2000,48,False
2,7,1750,29,False
11,16,4000,89,False
4,7,1750,52,False
4,12,3000,34,True
14,2,500,35,False
2,4,1000,14,True
4,4,1000,14,True
4,1,250,4,False
16,8,2000,28,False
2,12,3000,95,False
2,13,3250,53,True
4,1,250,4,True
11,7,1750,37,False
4,5,1250,16,True
21,2,500,25,False
4,2,500,4,False
16,3,750,50,False
2,4,1000,35,False
11,6,1500,58,False
23,2,500,26,False
14,8,2000,50,False
14,8,2000,46,False
23,1,250,23,False
2,12,3000,52,False
18,8,2000,95,False
4,8,2000,34,True
4,3,750,16,True
2,1,250,2,True
8,9,2250,58,False
17,7,1750,58,True
2,15,3750,64,False
21,1,250,21,False
9,2,500,26,False
4,9,2250,55,False
4,1,250,4,False
2,34,8500,77,True
2,5,1250,16,True
14,2,500,16,False
6,17,4250,70,False
4,7,1750,52,False
2,3,750,38,True
14,4,1000,26,False
4,8,2000,46,True
2,1,250,2,False
2,6,1500,22,True
2,1,250,2,False
16,3,750,34,False
4,7,1750,58,False
26,5,1250,49,True
3,16,4000,74,False
14,5,1250,64,False
12,12,3000,58,False
11,24,6000,64,False
2,1,250,2,False
4,2,500,4,True
4,2,500,59,False
2,9,2250,22,True
4,1,250,4,False
11,14,3500,73,True
11,1,250,11,False
14,1,250,14,False
2,15,3750,49,True
9,3,750,14,False
16,4,1000,33,False
4,5,1250,58,False
2,6,1500,45,False
16,1,250,16,False
22,1,250,22,True
2,1,250,2,False
16,3,750,19,False
2,21,5250,52,True
3,4,1000,29,True
25,6,1500,50,False
4,4,1000,18,False
2,2,500,10,False
4,5,1250,58,False
2,7,1750,76,False
2,2,500,41,False
11,5,1250,35,False
4,2,500,4,True
14,5,1250,50,False
14,1,250,14,False
4,3,750,25,True
4,2,500,9,True
2,11,2750,46,True
4,5,1250,16,True
13,3,750,16,False
14,2,500,21,True
14,7,1750,72,False
23,1,250,23,True
9,9,2250,16,False
16,6,1500,50,False
11,2,500,26,False
14,3,750,33,False
11,2,500,16,False
4,6,1500,46,False
14,1,250,14,False
11,3,750,76,False
21,2,500,23,False
12,15,3750,71,False
23,1,250,23,False
11,4,1000,27,False
21,3,750,40,False
4,2,500,46,False
11,1,250,11,False
21,1,250,21,False
2,1,250,2,False
4,6,1500,47,False
2,2,500,2,False
21,1,250,21,False
2,11,2750,23,False
2,2,500,33,False
11,3,750,16,True
4,6,1500,23,True
13,3,750,14,True
4,1,250,4,False
2,1,250,2,False
4,1,250,4,False
4,10,2500,28,True
4,1,250,4,True
2,1,250,2,False
21,1,250,21,False
9,2,500,52,False
11,6,1500,27,False
2,5,1250,16,True
7,11,2750,89,False
5,14,3500,86,False
15,5,1250,33,False
14,1,250,14,False
23,2,500,23,False
16,8,2000,76,False
21,1,250,21,False
14,6,1500,51,False
14,1,250,14,False
23,3,750,62,False
9,4,1000,65,False
4,4,1000,16,False
2,14,3500,57,True
4,1,250,4,False
2,2,500,11,False
4,5,1250,28,False
2,1,250,2,False
11,3,750,40,True
2,3,750,19,False
16,1,250,16,False
2,2,500,11,True
16,2,500,26,False
9,5,1250,19,False
14,4,1000,26,False
14,5,1250,28,False
11,5,1250,50,False
2,4,1000,14,True
11,8,2000,41,True
4,5,1250,11,True
2,3,750,16,True
14,7,1750,35,False
23,1,250,23,False
18,2,500,23,False
14,1,250,14,False
4,6,1500,35,False
4,3,750,71,False
21,1,250,21,False
4,6,1500,39,False
21,1,250,21,False
11,2,500,52,False
3,21,5250,42,True
4,6,1500,30,False
2,6,1500,26,False
9,9,2250,45,False
2,4,1000,14,False
14,3,750,28,False
4,8,2000,28,False
16,6,1500,81,False
2,16,4000,81,False
23,5,1250,58,False
10,8,2000,39,False
3,10,2500,33,True
2,6,1500,28,True
4,5,1250,26,True
16,1,250,16,False
14,1,250,14,False
