Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
16,3,750,86,False
16,7,1750,93,False
23,1,250,23,False
1,14,3500,58,False
4,10,2500,28,True
4,6,1500,47,False
2,8,2000,35,True
14,1,250,14,False
2,1,250,2,False
21,2,500,23,False
9,2,500,26,False
3,2,500,23,False
14,3,750,26,False
11,8,2000,72,False
9,9,2250,16,False
2,2,500,11,False
4,5,1250,46,False
14,1,250,14,False
14,7,1750,45,False
2,6,1500,26,False
11,6,1500,41,False
2,1,250,2,False
2,4,1000,70,False
2,2,500,2,False
21,5,1250,60,False
11,2,500,24,False
14,5,1250,28,True
21,2,500,25,False
23,14,3500,93,False
4,1,250,4,False
2,5,1250,16,False
13,4,1000,21,False
3,5,1250,12,True
21,6,1500,86,False
23,15,3750,57,False
4,9,2250,40,False
2,2,500,4,True
2,12,3000,52,False
2,2,500,2,False
14,1,250,14,False
14,3,750,28,False
2,1,250,2,False
4,4,1000,16,False
2,20,5000,45,True
4,5,1250,28,False
9,9,2250,54,False
4,4,1000,34,True
14,3,750,26,False
11,7,1750,64,False
23,19,4750,62,False
11,2,500,21,False
2,2,500,4,True
14,7,1750,73,False
4,5,1250,11,True
23,12,3000,86,False
11,8,2000,48,False
2,3,750,21,False
3,16,4000,74,False
14,8,2000,50,False
16,1,250,16,False
2,6,1500,28,True
4,8,2000,48,True
2,1,250,2,False
2,15,3750,64,False
10,4,1000,16,False
2,10,2500,52,False
11,12,3000,58,False
4,2,500,9,False
4,3,750,16,True
14,2,500,14,False
14,6,1500,34,False
4,5,1250,16,True
2,7,1750,35,True
4,6,1500,35,True
2,7,1750,29,False
11,1,250,11,False
4,1,250,4,False
4,4,1000,4,False
4,1,250,4,False
11,14,3500,73,True
2,6,1500,16,True
11,10,2500,35,False
2,12,3000,82,False
4,8,2000,46,True
14,3,750,79,False
14,2,500,14,False
2,2,500,14,False
11,1,250,11,True
21,1,250,21,True
2,3,750,35,False
2,6,1500,47,False
4,1,250,4,False
16,1,250,16,False
2,1,250,2,False
5,46,11500,98,True
2,6,1500,22,True
11,3,750,76,False
23,1,250,23,False
2,3,750,14,False
3,17,4250,86,False
2,1,250,2,False
4,11,2750,78,False
2,1,250,2,False
2,9,2250,22,True
4,3,750,16,False
11,8,2000,52,True
2,4,1000,16,False
16,15,3750,87,False
4,8,2000,40,True
21,1,250,21,False
9,2,500,52,False
9,4,1000,65,False
11,17,4250,79,True
8,8,2000,52,True
2,1,250,2,False
4,2,500,4,True
4,1,250,4,False
2,7,1750,46,True
23,2,500,23,False
4,6,1500,28,True
16,6,1500,81,False
4,6,1500,35,False
14,8,2000,50,True
2,1,250,2,False
21,2,500,21,False
21,1,250,21,False
4,11,2750,28,False
3,10,2500,33,True
