Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
11,6,1500,58,False
13,4,1000,21,False
9,2,500,16,True
23,2,500,23,False
4,8,2000,26,True
11,1,250,11,False
6,17,4250,70,False
2,5,1250,11,True
0,26,6500,76,True
11,2,500,26,False
4,19,4750,69,True
4,6,1500,30,False
2,2,500,23,False
2,2,500,11,True
2,6,1500,15,True
11,3,750,16,True
4,1,250,4,False
2,10,2500,52,False
14,2,500,14,False
2,1,250,2,False
4,7,1750,58,False
4,6,1500,41,True
11,6,1500,27,False
4,1,250,4,False
21,1,250,21,False
2,2,500,33,False
2,6,1500,26,False
11,2,500,17,False
6,22,5500,28,True
4,16,4000,98,True
2,13,3250,53,True
9,5,1250,19,False
