recency,frequency,monetary,time,label
2.0,1.0,250.0,2.0,False
2.0,1.0,250.0,2.0,False
4.0,1.0,250.0,4.0,False
2.0,4.0,1000.0,35.0,False
6.0,17.0,4250.0,70.0,False
2.0,7.0,1750.0,58.0,True
11.0,2.0,500.0,38.0,True
11.0,1.0,250.0,11.0,True
11.0,3.0,750.0,76.0,False
4.0,2.0,500.0,9.0,True
23.0,1.0,250.0,23.0,False
23.0,6.0,1500.0,70.0,False
2.0,6.0,1500.0,15.0,True
2.0,2.0,500.0,2.0,False
14.0,1.0,250.0,14.0,False
11.0,3.0,750.0,23.0,False
18.0,2.0,500.0,23.0,False
14.0,3.0,750.0,79.0,False
9.0,11.0,2750.0,49.0,True
2.0,13.0,3250.0,76.0,True
14.0,4.0,1000.0,30.0,False
23.0,1.0,250.0,23.0,False
16.0,3.0,750.0,23.0,False
14.0,7.0,1750.0,73.0,False
4.0,1.0,250.0,4.0,False
2.0,7.0,1750.0,32.0,True
21.0,1.0,250.0,21.0,False
1.0,13.0,3250.0,47.0,False
16.0,3.0,750.0,86.0,False
16.0,7.0,1750.0,64.0,False
14.0,2.0,500.0,14.0,False
2.0,2.0,500.0,11.0,False
