Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
2,1,250,2,False
2,1,250,2,False
4,1,250,4,False
2,4,1000,35,False
6,17,4250,70,False
2,7,1750,58,True
11,2,500,38,True
11,1,250,11,True
11,3,750,76,False
4,2,500,9,True
23,1,250,23,False
23,6,1500,70,False
2,6,1500,15,True
2,2,500,2,False
14,1,250,14,False
11,3,750,23,False
18,2,500,23,False
14,3,750,79,False
9,11,2750,49,True
2,13,3250,76,True
14,4,1000,30,False
23,1,250,23,False
16,3,750,23,False
14,7,1750,73,False
4,1,250,4,False
2,7,1750,32,True
21,1,250,21,False
1,13,3250,47,False
16,3,750,86,False
16,7,1750,64,False
14,2,500,14,False
2,2,500,11,False
