Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
23,5,1250,33,False
2,16,4000,81,False
2,3,750,77,False
10,5,1250,38,False
14,1,250,14,False
23,1,250,23,False
4,10,2500,28,True
2,7,1750,77,False
40,1,250,40,False
11,1,250,11,False
14,1,250,14,False
2,10,2500,49,False
16,3,750,21,True
4,7,1750,52,False
16,2,500,70,False
21,1,250,21,False
2,3,750,4,True
2,6,1500,28,True
2,6,1500,26,False
14,1,250,14,False
14,7,1750,45,False
16,7,1750,38,False
4,2,500,4,False
2,3,750,24,False
4,1,250,4,False
11,2,500,21,False
2,7,1750,29,False
21,13,3250,57,False
2,1,250,2,False
4,5,1250,16,True
2,2,500,14,False
2,6,1500,22,False
9,11,2750,49,True
7,14,3500,48,False
4,5,1250,33,True
4,1,250,4,False
16,1,250,16,False
16,4,1000,40,False
16,1,250,16,False
4,2,500,4,True
4,23,5750,58,False
3,4,1000,29,True
4,4,1000,14,True
15,16,4000,82,False
8,10,2500,63,False
2,4,1000,70,False
21,5,1250,60,False
39,1,250,39,False
11,8,2000,41,True
21,3,750,26,False
2,2,500,4,True
2,7,1750,32,True
14,5,1250,74,False
2,14,3500,48,True
35,3,750,64,False
2,1,250,2,False
9,9,2250,38,False
21,1,250,21,False
7,5,1250,35,False
14,4,1000,26,False
11,5,1250,33,False
7,11,2750,89,False
11,1,250,11,False
11,16,4000,89,False
14,2,500,14,True
1,14,3500,58,False
4,6,1500,41,True
14,16,4000,70,False
9,1,250,9,False
4,1,250,4,False
11,6,1500,27,False
4,7,1750,28,False
2,4,1000,16,False
6,3,750,26,False
21,3,750,35,False
4,2,500,9,True
14,3,750,52,False
2,2,500,10,False
11,7,1750,37,False
2,2,500,4,True
4,1,250,4,True
21,2,500,25,False
4,11,2750,64,True
4,16,4000,38,True
2,10,2500,64,False
25,6,1500,50,False
14,16,4000,98,False
11,2,500,11,False
4,9,2250,26,True
2,2,500,22,False
4,14,3500,86,False
4,2,500,9,False
2,1,250,2,False
2,3,750,52,False
16,4,1000,45,False
2,12,3000,47,True
23,8,2000,64,False
4,1,250,4,True
0,3,750,4,False
11,2,500,21,False
2,2,500,10,True
4,3,750,28,False
14,3,750,26,False
2,4,1000,16,True
4,8,2000,26,True
11,9,2250,33,False
16,1,250,16,False
16,7,1750,93,False
11,3,750,23,False
23,2,500,23,False
4,5,1250,16,True
4,4,1000,26,False
16,6,1500,50,False
4,5,1250,58,False
2,1,250,2,True
4,2,500,4,False
4,2,500,4,False
4,3,750,16,False
11,17,4250,79,True
2,4,1000,43,False
16,1,250,16,False
11,3,750,23,False
2,1,250,2,False
9,5,1250,51,True
12,15,3750,71,False
21,2,500,23,False
4,3,750,16,False
21,3,750,26,True
