Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
4,5,1250,74,False
4,2,500,51,True
14,2,500,14,False
4,1,250,4,True
1,14,3500,95,False
4,1,250,4,False
2,5,1250,26,False
2,15,3750,64,False
4,7,1750,58,False
4,3,750,25,True
13,3,750,16,False
16,7,1750,28,False
4,5,1250,26,True
14,5,1250,50,False
4,5,1250,58,False
16,4,1000,58,False
2,1,250,2,False
21,2,500,21,True
9,1,250,9,False
23,3,750,40,False
4,11,2750,28,False
14,1,250,14,False
14,4,1000,23,True
11,2,500,11,False
14,4,1000,38,False
4,4,1000,46,False
16,1,250,16,False
23,1,250,23,False
16,3,750,34,False
4,7,1750,25,False
2,6,1500,45,False
4,2,500,13,False
2,11,2750,23,False
4,7,1750,62,False
2,12,3000,82,False
4,3,750,34,False
4,2,500,52,False
14,7,1750,35,False
2,1,250,2,False
21,1,250,21,False
6,22,5500,28,True
4,2,500,4,True
4,2,500,14,False
21,1,250,21,False
9,2,500,11,False
3,10,2500,33,True
2,1,250,2,True
4,8,2000,28,False
4,6,1500,43,False
4,2,500,59,False
11,3,750,14,False
2,2,500,11,True
7,10,2500,47,False
6,2,500,11,True
11,7,1750,75,False
3,6,1500,21,False
4,1,250,4,False
4,8,2000,40,True
14,2,500,14,False
9,2,500,52,False
4,1,250,4,False
4,6,1500,39,False
1,24,6000,77,False
17,7,1750,58,True
21,2,500,33,False
14,4,1000,40,False
2,1,250,2,False
8,9,2250,58,False
2,1,250,2,False
2,5,1250,34,False
11,4,1000,61,False
11,3,750,26,False
4,2,500,4,True
2,5,1250,26,False
14,6,1500,34,False
8,8,2000,52,True
21,1,250,21,False
4,6,1500,35,False
9,3,750,34,False
21,1,250,21,False
4,5,1250,28,False
4,3,750,24,False
4,1,250,4,False
4,1,250,4,False
2,1,250,2,False
4,2,500,4,False
11,6,1500,71,False
14,2,500,14,False
2,14,3500,57,True
2,2,500,14,False
3,14,3500,35,False
4,5,1250,46,False
4,1,250,4,False
4,8,2000,21,False
2,1,250,2,True
23,8,2000,46,False
23,2,500,26,False
21,2,500,23,False
0,26,6500,76,True
2,5,1250,47,True
14,2,500,14,False
14,2,500,14,False
14,5,1250,64,False
11,2,500,14,False
13,3,750,14,True
16,1,250,16,False
2,3,750,11,False
2,9,2250,74,False
74,1,250,74,False
21,1,250,21,False
2,2,500,33,False
2,16,4000,64,False
23,1,250,23,False
4,6,1500,38,True
4,14,3500,40,False
4,11,2750,78,False
12,11,2750,23,False
16,7,1750,39,False
11,2,500,52,False
4,6,1500,52,False
13,4,1000,21,False
16,5,1250,71,False
7,2,500,16,False
4,1,250,4,False
23,14,3500,93,False
2,8,2000,35,True
4,2,500,29,False
4,6,1500,46,False
4,16,4000,70,True
14,4,1000,64,False
2,3,750,35,False
11,2,500,11,False
16,5,1250,40,True
2,1,250,2,False
2,9,2250,22,True
2,3,750,75,True
14,2,500,29,False
4,1,250,4,False
23,2,500,23,False
14,3,750,28,False
11,4,1000,27,False
2,4,1000,14,True
4,12,3000,34,True
4,2,500,46,False
11,8,2000,52,True
2,1,250,2,False
11,8,2000,46,False
2,4,1000,16,False
16,1,250,16,False
4,17,4250,71,True
