Recency - months since last donation,Frequency - total number of donation,Monetary - total blood donated in c.c.,Time - months since first donation,label
14,3,750,19,True
23,2,500,38,False
16,7,1750,87,True
4,3,750,16,True
21,3,750,26,False
21,1,250,21,False
4,10,2500,28,True
23,5,1250,58,False
11,4,1000,59,False
11,2,500,38,True
16,3,750,21,False
2,1,250,2,False
23,2,500,26,False
4,2,500,4,False
2,5,1250,16,False
2,2,500,11,True
14,3,750,35,False
4,12,3000,88,False
23,5,1250,33,False
21,2,500,25,False
2,3,750,9,True
11,1,250,11,False
9,3,750,14,False
2,20,5000,45,True
4,5,1250,16,True
11,2,500,25,False
16,4,1000,23,False
11,7,1750,64,False
23,1,250,23,False
6,3,750,14,False
4,5,1250,34,False
4,7,1750,82,False
14,5,1250,74,False
16,2,500,16,False
4,1,250,4,False
21,16,4000,64,False
15,5,1250,33,False
4,2,500,9,True
4,13,3250,39,True
16,1,250,16,False
14,13,3250,57,False
14,4,1000,28,True
7,5,1250,35,False
11,4,1000,34,False
4,6,1500,41,True
5,24,6000,79,False
11,16,4000,89,False
12,15,3750,71,False
2,11,2750,79,True
4,9,2250,40,False
11,1,250,11,False
2,4,1000,16,False
14,2,500,21,True
4,1,250,4,True
4,1,250,4,False
2,1,250,2,False
4,1,250,4,False
11,10,2500,35,False
14,3,750,41,False
14,7,1750,73,False
11,22,5500,98,False
16,3,750,46,False
2,4,1000,16,False
21,1,250,21,True
